sample_id,source_present_volume_fraction,source_active_z_layers,source_active_z_layer_fraction,stack_z_layer_count,stack_unique_conductivity_triplets,stack_conductivity_transition_fraction,top_h_W_m2K,condition_category,log_s_phys_K,P_operator_W,log_P_operator_W,q_weighted_local_kz_W_mK,q_weighted_inverse_kz_mK_W,q_low_k_overlap_fraction,source_concentration,source_z_centroid_normalized,source_layer_kz_heterogeneity_cv,harmonic_kx_W_mK,harmonic_ky_W_mK,harmonic_kz_W_mK,anisotropy_xy_over_z,log_Lx_m,log_Ly_m,log_Lz_m,log_top_area_m2,log_top_h_W_m2K,T_bottom_K,T_inf_K,T_inf_minus_T_bottom_K,bc_top_cv_fraction,bc_bottom_cv_fraction,bc_side_cv_fraction,train_nn_distance_24d,train_nn_sample_id,deltaT_quartile,true_scale_cv_rms_K,V38_point_sse_K2,V38_shape_sse_K2,V38_scale_sse_K2,V38_cross_sse_K2,V38_sample_relative_rmse,V42_point_sse_K2,V42_shape_sse_K2,V42_scale_sse_K2,V42_cross_sse_K2,V42_sample_relative_rmse,V44_point_sse_K2,V44_shape_sse_K2,V44_scale_sse_K2,V44_cross_sse_K2,V44_sample_relative_rmse,V45_point_sse_K2,V45_shape_sse_K2,V45_scale_sse_K2,V45_cross_sse_K2,V45_sample_relative_rmse,V46_point_sse_K2,V46_shape_sse_K2,V46_scale_sse_K2,V46_cross_sse_K2,V46_sample_relative_rmse
sample_0014,0.0962962962962963,2,0.5,4,3,1.0,2765.5367474252816,h3_ahigh_z2,-0.6505143254861006,1.4152010381866746,0.3472715974603109,6.182670004290516,0.1661538199456739,0.9924971583731877,4.260259628488802,0.3763821418421966,0.2336639120088151,16.434891254639908,16.434891254639908,11.797956086532027,1.3930286851466738,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,7.924990017151651,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,1.6481254082960315,sample_0215,Q4,1.2896650226372384,24.882071876417562,18.56157620703052,3.683642711575063,2.6368529578119815,0.13241418338698965,22.07386968568919,22.715061964019878,0.8091255055192342,-1.450317783849924,0.12662882889958443,21.31153643187455,20.6375796031851,0.11901769009153762,0.5549391385979143,0.12244478133502835,17.284745053648244,17.5379661370801,0.03374072345844198,-0.28696180689029827,0.10846824813414654,21.519902101605872,20.830574682809072,3.7962212440800447,-3.10689382528324,0.13167628664803144
sample_0023,0.1451851851851852,2,0.5,4,4,1.0,2393.1171030531204,h3_ahigh_z2,-1.9733824320815603,0.4648959858257915,-0.7659415848124613,42.282544189687755,0.13091247094509895,0.4250541056875939,2.7512598557253845,0.4811135717876031,0.04014176027907974,10.962411964801857,10.962411964801857,8.859624986724366,1.2373449193649162,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,7.780352022378894,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,0.9673913415061951,sample_0580,Q2,0.2629658707962856,1.1813021688391727,0.9645556118972441,0.1636351120404425,0.05311144490148589,0.15253560671677033,1.2656751506805302,0.8697791485376367,0.3519993121529865,0.0438966899899068,0.15742879043036678,1.1199086640250484,1.072686455417881,0.031873514097641026,0.015348694509526174,0.15021324077330342,1.5477387717476112,1.3454929134255997,0.16853512957467448,0.033710728747336806,0.17826581452290843,1.5785847394905077,1.086316715859947,0.46110370532601247,0.03116431830454819,0.176690110699618
sample_0027,0.044444444444444446,1,0.25,4,4,1.0,250.49503812334368,h2_ahigh_z1,-1.4501131546853427,0.7282132765770551,-0.3171613113594156,34.752655895150085,0.02931186123869092,0.4940752642533595,6.055776970950946,0.6666666666666667,0.0,36.084032497922344,36.084032497922344,25.083366361238685,1.438564185454907,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,5.523439112437897,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,1.6148191014226114,sample_0567,Q3,0.5366140210141005,7.147118665382122,4.690877450805195,2.616680876651927,-0.16043966207500004,0.14453349132127852,4.044300107709337,3.4233292958895793,0.3468228803593716,0.2741479314603857,0.10371874778921808,5.389251322519346,3.104314031737636,2.3545087399195026,-0.06957144913779306,0.1334410163653539,6.657106520393574,6.0079884973328115,0.46523850423151764,0.18387951882924614,0.14012214383281463,5.674703128928343,3.542585079896524,1.8807907604897889,0.25132728854203223,0.12923312055734293
sample_0037,0.07407407407407407,2,0.5,4,4,1.0,525.3273986045094,h3_ahigh_z2,-1.8267792844181683,0.8964694359693468,-0.10929107913457238,64.76029435459623,0.06878508785006869,0.446729292549125,4.030060933212591,0.4822430975163749,0.3677257955103794,61.82474842719013,61.82474842719013,13.190376443151221,4.6871102347720415,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,6.264021684613268,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,3.012844032565815,sample_0094,Q2,0.22343163865336263,1.6994108588863912,1.5466382892927164,0.06784825529261862,0.0849243143010562,0.2036552580851599,1.0793048246970476,1.0838823669330544,0.015009926025580829,-0.019587468261587745,0.16960318727757503,1.1925483361120932,1.1985392719916805,0.0037831571574622664,-0.009774093037049389,0.17730088031420804,1.422506372549985,1.4001563500117593,0.005942657286365447,0.016407365251860005,0.19971478478609878,1.8859307352631158,1.7718704594846437,0.07220736870062497,0.04185290707784711,0.22311521980487956
sample_0053,0.047407407407407405,2,0.5,4,3,0.6666666666666666,1827.062705644622,h3_ahigh_z2,-1.161221647239693,1.2023210060093878,0.1842538603668429,78.64855021767688,0.016987060677941188,0.2970285856808291,5.870525555588475,0.39429241350953775,0.0,21.0423960646304,21.0423960646304,20.869526350174656,1.008283355911156,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,7.5104648774335985,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,1.2207460067950548,sample_0268,Q3,0.4663458019698718,8.61707844850364,7.122975156021736,1.4175490382700582,0.07655425421184625,0.2219078831371836,17.469102755349347,7.672055444229359,9.327500435054214,0.4695468760657726,0.31133342609124504,12.645616028762834,6.540404025932418,5.398185889022729,0.7070261138076854,0.26204813123263887,7.145993990316956,3.983002662033874,3.0153975856414386,0.14759374264164404,0.19675611604789137,10.397446345653734,5.3099231905859945,4.518540517823725,0.5689826372440163,0.23211503705518532
sample_0059,0.5007407407407407,2,0.5,4,4,1.0,1501.3074099412408,h3_ahigh_z2,-0.7132652508249929,0.8617255690152267,-0.14881842441904028,7.406002408941779,0.1566749154602221,0.3901718558275466,1.4502456667974144,0.4985809659523728,0.0027405720227818486,9.000544951067731,9.000544951067731,7.926346700704579,1.1355224911203625,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,7.314091614089314,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,1.097757855651409,sample_0967,Q3,0.6962427182377497,6.748569476385459,4.434900500645462,2.0227479300150053,0.29092104572499067,0.12665698359014166,2.947762053088113,2.4226697937206145,0.39940390779157364,0.12568835157592506,0.08204762438076539,5.011737924830144,2.262709830833618,2.1218893492026685,0.6271387447938583,0.10335891771441835,3.3469632373832776,2.5212886820795126,0.6181069683652876,0.20756758693847707,0.08783137397825748,1.8289722439828289,1.8078413203975494,0.008387285694003634,0.012743637891275639,0.0652944138731474
sample_0061,0.08296296296296296,1,0.25,4,4,1.0,630.9960618298162,h3_ahigh_z1,-2.9142914878200163,0.317940960587773,-1.145889571967654,34.174978909787235,0.04472198983289229,0.59743352333653,3.85634915015144,0.3333333333333332,0.0,24.921134537520505,24.921134537520505,23.107607982259424,1.0784817951149852,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,6.447299621364552,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,1.5005994178055577,sample_0718,Q1,0.08382224791294639,0.18929732483424697,0.0516918478815825,0.1287399970403224,0.008865479912342086,0.18634259472928769,0.3619055235481796,0.08944901464913776,0.2601399911922707,0.012316517706771113,0.2598772792771127,0.1193318984046208,0.09834698133884448,0.015738599444906215,0.005246317620870128,0.14627724408307471,0.10990698076488822,0.10988940038304364,6.808823489999934e-08,1.7512293609697364e-05,0.1400291844605019,0.1431811007599994,0.11269064498083882,0.026655625582367008,0.0038348301967935476,0.16371114813592139
sample_0075,0.1451851851851852,2,0.5,4,4,1.0,323.9330190921048,h3_ahigh_z2,-2.6226897845452966,0.8805630931734794,-0.12719369753868398,177.924154787115,0.022238888292977488,0.1279189322137612,3.5209962324553086,0.39419829806285994,0.21742503963893664,32.47244605079598,32.47244605079598,20.025388457846557,1.6215638522643634,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,5.7805367632232825,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,1.6068567961151625,sample_0443,Q2,0.1759556525077124,0.726106761325176,0.7231549055732944,0.0016432766247704497,0.0013085791271111652,0.16025012086307713,0.6404940084986429,0.5739384708424635,0.07329711394753036,-0.006741576291351012,0.15225861628995022,0.7358749357146886,0.6345827046648377,0.10947492549873258,-0.008182694448881561,0.16239794393600693,0.6009615959666075,0.5986075849221292,0.0003355705734001961,0.002018440471077983,0.14332474668868528,1.0983017681343092,0.8915315494698248,0.14568105962892,0.061089159035564236,0.19304811834059113
sample_0077,0.1437037037037037,2,0.5,4,3,0.6666666666666666,1896.9595039821731,h3_ahigh_z2,-0.9654355888271924,1.8535252654421974,0.6170893747227583,37.04710242908225,0.027687064537294966,0.08576654073521814,3.3731991786842275,0.4360242343507365,0.0,9.67644791457141,9.67644791457141,9.540173403989026,1.0142842802548435,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,7.548007622307141,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,1.2243335042590762,sample_0646,Q3,0.5243418484033366,7.77754354458215,7.007321084762338,0.5612645506630062,0.20895790915680537,0.16961800270264416,10.060491603132213,6.087665340783533,3.3280532712723634,0.6447729910763167,0.19657068147185983,4.290638223198353,3.536434997505173,0.7012607254357407,0.052942500257438206,0.13094877563397841,5.62944877670118,4.301358139247325,1.1469229340340668,0.18116770341978866,0.14717657936851564,6.732992317705993,6.303636489414155,0.19040234094197173,0.23895348734986604,0.15721511049535733
sample_0084,0.07407407407407407,1,0.25,4,4,1.0,360.4339597720042,h3_ahigh_z1,-1.9713977705170174,1.7108204773726943,0.536973066770981,166.85412462972278,0.005993259095147739,0.0,4.3190755184628795,0.6666666666666669,0.0,9.299185367626603,9.299185367626603,8.642702072116752,1.0759581077806453,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,5.887308749297235,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,0.8559976505783292,sample_0090,Q1,0.1663770492536331,0.43388711526132095,0.3244792352901365,0.1207154292822664,-0.01130754931108191,0.1299897406068095,0.4835598053376901,0.15771415044402554,0.27655492875010285,0.04929072614356173,0.13308724984728934,0.23993891041962628,0.23947579701050387,9.334462815229523e-05,0.00036976878097013635,0.09474115564813218,0.5725418612047095,0.32720807029900384,0.2617527392321449,-0.01641894832643931,0.14823720123338777,0.35211225353945497,0.22545730679228915,0.136577494039263,-0.009922547292097177,0.11776889970873156
