pair,metric,observed_difference,ci95_low,ci95_high,probability_right_improves,win_rate,median_difference
O075_minus_V32,point_global_relative_rmse_pct,1.0215495379661341,-0.949222171641713,2.697631656276965,0.15405,0.4921875,0.10023640662359234
O075_minus_V32,sample_first_cv_relative_rmse_pct,-1.1902031554906756,-2.8136428092492545,0.30005020757594203,0.9364,0.5,-0.013168592828958658
O075_minus_V32,raw_cv_weighted_rmse_K,0.007118620515568969,-0.005648461703755639,0.01949493023036713,0.14955,0.5,4.250216257828052e-05
O075_minus_V32,shape_cv_rmse,0.0044308637535546746,-0.00015024615836222593,0.009102176723342034,0.02895,0.4296875,0.0045762292723586714
O075_minus_V32,scale_log_rmse,-0.040182367382073175,-0.08063141570351656,-0.005821848927207062,0.9919,0.5703125,-0.013788230348670383
Dual_minus_V32,point_global_relative_rmse_pct,0.5245504576945201,-0.4474234572066669,1.4916370051752295,0.1427,0.390625,0.6878727398053028
Dual_minus_V32,sample_first_cv_relative_rmse_pct,0.3530721915630697,-0.6613932394643786,1.3586975517254312,0.23925,0.4140625,0.5407712013509278
Dual_minus_V32,raw_cv_weighted_rmse_K,0.0027332450951396137,-0.004491965033917656,0.009778378583314224,0.22705,0.4140625,0.0017465371418408891
Dual_minus_V32,shape_cv_rmse,0.00722795837874427,0.002547059665623762,0.012224299841725591,0.00065,0.40625,0.005049960126476925
Dual_minus_V32,scale_log_rmse,-0.01313509396829357,-0.04503948140222969,0.014434704310840665,0.7807,0.5625,-0.004538311587746589
Dual_minus_O075,point_global_relative_rmse_pct,-0.496999080271614,-2.0298755996227573,1.3114476434779612,0.70655,0.3984375,0.7401632580956896
Dual_minus_O075,sample_first_cv_relative_rmse_pct,1.5432753470537455,0.2046367967963163,2.9030015185573985,0.0118,0.4140625,0.7641369894951167
Dual_minus_O075,raw_cv_weighted_rmse_K,-0.004385375420429355,-0.015956152085958866,0.0077310891127604356,0.75375,0.4140625,0.0016567936083656367
Dual_minus_O075,shape_cv_rmse,0.0027970946251895962,-0.0019474316429421057,0.007738275831450451,0.1259,0.4921875,0.001047180796457589
Dual_minus_O075,scale_log_rmse,0.027047273413779604,0.00398549679088422,0.04948912363979187,0.01165,0.4375,0.006078502251541865
