pair,sample_id,deltaT_quartile,generator_condition_category,is_nominal_to_hard,true_scale_cv_rms_K,point_true_squared_sum_K2,cv_volume_m3,left_sample_point_relative_rmse_pct,right_sample_point_relative_rmse_pct,delta_sample_point_relative_rmse_pct,left_sample_first_cv_relative_rmse_pct,right_sample_first_cv_relative_rmse_pct,delta_sample_first_cv_relative_rmse_pct,left_raw_cv_rmse_K,right_raw_cv_rmse_K,delta_raw_cv_rmse_K,left_shape_cv_rmse,right_shape_cv_rmse,delta_shape_cv_rmse,left_absolute_scale_log_error,right_absolute_scale_log_error,delta_absolute_scale_log_error,left_signed_scale_log_error,right_signed_scale_log_error,delta_signed_scale_log_error,left_point_sse_K2,right_point_sse_K2,delta_point_sse_K2,left_raw_cv_sse_K2_m3,right_raw_cv_sse_K2_m3,delta_raw_cv_sse_K2_m3
O075_minus_V32,sample_0014,Q4,nominal_to_hard,True,1.2896650226372384,1212.4752217344799,2.0000000000000004e-07,16.34989021125475,13.752749827592762,-2.597140383661987,16.66213857574523,13.38686045463292,-3.2752781211123114,0.21488577323473276,0.17264565691265715,-0.04224011632207561,0.1300103929867485,0.13405020438579815,0.004039811399049659,0.11991563041544924,0.003327101289418234,-0.116588529126031,-0.11991563041544924,-0.003327101289418234,0.116588529126031,32.411755457917316,22.932529346742655,-9.479226111174661,9.2351791077378e-09,5.961304570160587e-09,-3.2738745375772136e-09
O075_minus_V32,sample_0023,Q2,low_to_nominal,False,0.2629658707962856,51.79908573660821,2.0000000000000004e-07,16.279793721619875,20.94431410002383,4.664520378403957,16.61343267512625,21.120060034052734,4.506627358926483,0.04368765790330039,0.05553854978124506,0.01185089187794467,0.16059933667661688,0.18082760884907118,0.020228272172454292,0.03105514009940752,0.08982992984463964,0.05877478974523212,0.03105514009940752,0.08982992984463964,0.05877478974523212,1.3728398902671985,2.2722409328935194,0.8994010426263208,3.8172229061516116e-10,6.169061023607673e-10,2.351838117456061e-10
O075_minus_V32,sample_0027,Q3,nominal_to_hard,True,0.5366140210141005,290.03830779957553,2.0000000000000004e-07,21.356197173597995,11.664378501961815,-9.69181867163618,20.688216753395274,11.407504517964195,-9.280712235431078,0.11101587179650717,0.06121426869121285,-0.049801603105294315,0.10538673251785012,0.1099842913958354,0.004597558877985283,0.20293351534255175,0.037620303609203105,-0.16531321173334865,-0.20293351534255175,-0.037620303609203105,0.16531321173334865,13.228274743352936,3.9461952564830467,-9.28207948686989,2.4649047581477037e-09,7.494373382800005e-10,-1.7154674198677032e-09
O075_minus_V32,sample_0037,Q2,low_to_nominal,False,0.22343163865336263,41.84965916775464,2.0000000000000004e-07,18.43379150929686,19.02305249535046,0.5892609860535991,18.710520158740692,19.847293336322807,1.1367731775821142,0.041805221791242075,0.04434513272968569,0.002539910938443614,0.16569705055687767,0.19671591688240403,0.031018866325526362,0.07162914266530174,0.053442834741436254,-0.018186307923865483,0.07162914266530174,-0.053442834741436254,-0.12507197740673798,1.4220709598345755,1.5144409283990978,0.09236996856452229,3.4953531380298836e-10,3.932981593626883e-10,4.376284555969994e-11
O075_minus_V32,sample_0053,Q3,nominal_to_hard,True,0.4663458019698718,190.7651280653868,2.0000000000000004e-07,24.319531173172006,28.93204669776539,4.612515524593384,24.966838439159773,29.95476931540166,4.987930876241887,0.11643180294562186,0.13969280919213495,0.02326100624651309,0.14673638586305282,0.20820320011795018,0.06146681425489736,0.17522793415477417,0.1779573593575168,0.0027294252027426358,0.17522793415477417,0.1779573593575168,0.0027294252027426358,11.282605036599824,15.968249260644036,4.685644224044212,2.7112729474336246e-09,3.902816187998046e-09,1.191543240564421e-09
O075_minus_V32,sample_0059,Q3,low,False,0.6962427182377497,403.6221165488994,2.0000000000000004e-07,7.83386576502223,7.269234067376774,-0.5646316976454555,7.546967734641676,7.059717176270386,-0.48725055837129005,0.052545213300195126,0.04915276676796225,-0.003392446532232876,0.07462066199065646,0.06693819986237921,-0.007682462128277251,0.008803719560634565,0.025097240893875966,0.0162935213332414,0.008803719560634565,-0.025097240893875966,-0.033900960454510534,2.4770068440427044,2.1328104598114956,-0.3441963842312088,5.521998881526006e-10,4.831988961891389e-10,-6.90009919634617e-11
O075_minus_V32,sample_0061,Q1,nominal_to_hard,True,0.08382224791294639,5.432192680931734,2.0000000000000004e-07,14.645227695771004,19.727523086989578,5.082295391218574,14.021686758196648,19.691837812810036,5.670151054613388,0.011753293036032368,0.01650614111006895,0.004752848074036581,0.12177667720522192,0.1415182357735057,0.019741558568283774,0.06061192201813585,0.11980813376581839,0.05919621174768254,0.06061192201813585,0.11980813376581839,0.05919621174768254,0.11651113219510038,0.2114074494580157,0.09489631726291532,2.7627979438169396e-11,5.449053886910166e-11,2.6862559430932263e-11
O075_minus_V32,sample_0075,Q2,nominal_to_hard,True,0.1759556525077124,28.152606406487777,2.0000000000000004e-07,19.748537674123742,12.952998033785951,-6.7955396403377915,19.50942994856277,12.664941386926515,-6.844488561636254,0.03432794476652867,0.022284680257085868,-0.012043264509442805,0.112110871614785,0.12048231876220689,0.008371447147421884,0.1428045152781479,0.03193508870998548,-0.1108694265681624,0.1428045152781479,0.03193508870998548,-0.1108694265681624,1.097964994938121,0.47234487527733426,-0.6256201196607867,2.3568155837876873e-10,9.932139483211055e-11,-1.3636016354665818e-10
O075_minus_V32,sample_0077,Q3,nominal_to_hard,True,0.5243418484033366,242.5605229172584,2.0000000000000004e-07,16.25360975706031,19.694046794742842,3.440437037682532,15.83483107615773,19.8984272802658,4.0635962041080695,0.08302864595627141,0.10433578140453949,0.02130713544826808,0.13288547918147248,0.155828081538356,0.02294260235688353,0.07486279192384288,0.10633651258133928,0.0314737206574964,0.07486279192384288,0.10633651258133928,0.0314737206574964,6.407959774169108,9.407842783980183,2.9998830098110743,1.3787512098663733e-09,2.17719105625917e-09,7.984398463927968e-10
O075_minus_V32,sample_0084,Q1,nominal_to_hard,True,0.1663770492536331,24.385466756225213,2.0000000000000004e-07,9.069454888087055,8.837934460948361,-0.23152042713869392,8.874080406939477,8.536331267234322,-0.33774913970515463,0.014764433129460701,0.01420249607693973,-0.0005619370525209704,0.08675731274971313,0.08223261322139529,-0.004524699528317841,0.023060465183066082,0.01958030572402914,-0.0034801594590369404,-0.023060465183066082,0.01958030572402914,0.04264077090709523,0.20058268598553114,0.19047265086977336,-0.010110035115757782,4.359769712686335e-11,4.03421789630977e-11,-3.2555181637656518e-12
