model,config_id,checkpoint,epoch,sha256,parameter_count,training_commit,training_reload_max_abs_error_K,evaluator_replay_max_abs_error_K,point_global_relative_rmse_pct,sample_first_cv_relative_rmse_pct,raw_cv_weighted_rmse_K,amplitude_ratio,spatial_correlation,hotspot_cv_weighted_rmse_K,top5_cv_weighted_rmse_K,strong_q_cv_weighted_rmse_K,low_deltaT_background_bias_K,low_deltaT_background_rmse_K,low_deltaT_background_over_ratio,shape_cv_rmse,scale_log_rmse,legacy_normalized_valid_base_mse
O075,V4P5_33_gate6k_o075_log_scale,point_global_best,280,15489ab7b8d4e3a8eecfb7ba89edee9a2ca6e5b108a2925a63f15be97085a308,893736,461d810,0.002838134765625,0.00311279296875,23.429936519996804,19.844600906654957,0.1671858393501889,0.9993597124357769,0.9801357034737351,0.3039153456619961,0.472483497055597,0.3691773701640084,0.006284697113821054,0.019577177222708922,0.4490878037119349,0.15012795855082559,0.15730006231513113,0.035729153336913184
O075,V4P5_33_gate6k_o075_log_scale,sample_first_best,305,e28a1eeaa3b71f3ed23fb76d5dc8b124c9ad037db13dd9d73a5cd9faa72a681f,893736,461d810,0.00274658203125,0.003082275390625,24.225580972340822,19.468358797495398,0.17240465727937831,0.9756984457750417,0.9802406642882644,0.3058043339327855,0.4817505609506797,0.3775285070027048,0.005298285532309974,0.018397507736793193,0.4349748910950756,0.14962784689611439,0.16259395727282824,0.038196969077658585
O075,V4P5_33_gate6k_o075_log_scale,legacy_best,280,c12de372638936a6661465429ebd9e3abfafd4acc96515f628c3f0b627f40fc8,893736,461d810,0.00323486328125,0.003448486328125,23.430377849340346,19.844934879974193,0.16718919409057853,0.999363137540279,0.9801355769382265,0.3039209569385871,0.47249149000954466,0.3692049261761054,0.006285339106489303,0.019577701707485257,0.44911836406581523,0.15012801820868754,0.15730729995981624,0.0357304993475847
O075,V4P5_33_gate6k_o075_log_scale,final,600,a4ffef2c830463ddaef1cea208841f5d059e39dffb52680f55b5bd3d109800a6,893736,461d810,0.00335693359375,0.002716064453125,24.467898704996962,19.77976229503789,0.1741845231027095,0.9956564832533266,0.98008935711612,0.31039454444121417,0.47838088037858006,0.38514622818765987,0.0054702758710269885,0.017815327097715876,0.4346609703554615,0.14937074823376406,0.1605376650896419,0.038964925379381635
Dual,V4P5_34_gate6k_dual_physics_attention,point_global_best,298,ce7488c0bcdc1818ccfc298d580cbee62e023994cc2c0771fba8b6aadd297f0a,924329,461d810,0.002471923828125,0.002685546875,22.93293743972519,21.387876253708704,0.16280046392975955,1.004227974541664,0.9792956307037888,0.2997472069601124,0.4542059166118867,0.3542287312852499,0.007977967038419779,0.021467208360249727,0.46019804065502334,0.15292505317601515,0.18434733572891074,0.03422944627855466
Dual,V4P5_34_gate6k_dual_physics_attention,sample_first_best,316,37732f2ead666177ea0b78a7efaee2b794b53f64d8e09502f9a2236bf3866976,924329,461d810,0.00347900390625,0.002593994140625,23.592586227438368,20.702494182225976,0.1680986397937073,0.98929876975656,0.9806061068093666,0.30349062670715155,0.4575624237366023,0.3600904030645554,0.0061424949632077385,0.020035889493017572,0.40221863288958504,0.14851435540927815,0.18626791794326028,0.03622693593805226
Dual,V4P5_34_gate6k_dual_physics_attention,legacy_best,298,b011468d942f18094bdd85edb362191d35d67d5a52a18f9225c65d5a36be3b5b,924329,461d810,0.00274658203125,0.002593994140625,22.933292579984922,21.38801610657428,0.16280243513493986,1.004225968684256,0.9792956375806322,0.2997466005224343,0.45418643553555516,0.35420007074449383,0.0079782447992645,0.021467345054468234,0.4602053124183533,0.1529248451508276,0.18435138217815128,0.03423050644353354
Dual,V4P5_34_gate6k_dual_physics_attention,final,600,444ac67b4c9e9a350e853e101a6fc9c7afc595e8b25f586350705120434068f1,924329,461d810,0.003082275390625,0.003173828125,23.36231148059976,20.959959103409126,0.16681510067818867,0.9942203988197449,0.9799213577816195,0.3024599143472879,0.45583114955747134,0.36279142472826953,0.005566697015110448,0.018855444196663927,0.4021743785101983,0.15003021372430203,0.18343673704304708,0.03552320326764544
