model,checkpoint,stratum,sample_count,point_global_relative_rmse_pct,sample_first_cv_relative_rmse_pct,raw_cv_weighted_rmse_K,amplitude_ratio,spatial_correlation,hotspot_cv_weighted_rmse_K,top5_cv_weighted_rmse_K,strong_q_cv_weighted_rmse_K,low_deltaT_background_bias_K,low_deltaT_background_rmse_K,low_deltaT_background_over_ratio,shape_cv_rmse,scale_log_rmse,legacy_normalized_valid_base_mse,signed_scale_error_mean,signed_scale_error_median
O075,point_global_best,Q1,32,18.070296117364112,17.894999519264523,0.018104815422858966,0.9902897353179316,0.9771631970444106,0.033698286965187806,0.04753562863908001,0.02657422856517535,0.0022800225957559624,0.005319737102581936,0.48634596941988234,0.1484036757468249,0.11282266574439706,0.00044703446623538365,-0.01602008154756391,-0.014599795285861165
O075,point_global_best,Q2,32,27.278826676805597,22.278036011156995,0.0682322917302605,0.9962316644046676,0.9779673717106542,0.15541420389028418,0.26312873576027795,0.16322593058683732,0.005319079010379828,0.013453731706096917,0.4420830869716685,0.1602306199009485,0.19654547751302195,0.005859359055073756,-0.02230812996364917,0.005141356129272814
O075,point_global_best,Q3,32,20.700873714750315,18.827814297789523,0.11235695804464159,1.0421935138324492,0.9842358974479726,0.2812694135800329,0.4114935481474809,0.2932197132217331,0.007262039879390077,0.01849560853462564,0.46249605531578175,0.14024684698350467,0.12813996971790675,0.01611900938368982,0.03374596240548294,0.032018370616004585
O075,point_global_best,Q4,32,23.757316243296277,20.377553798408787,0.30691514058384967,0.9687239361880595,0.9811763476919033,0.7452794782124795,1.167776075675549,0.9936896082822881,0.010277646969758351,0.04103963154753121,0.40542610314040717,0.15163069157202422,0.17661910412403503,0.12049121044265378,-0.04579367531478361,-0.012234225900991087
O075,point_global_best,nominal_to_hard,81,21.230412840175546,21.49613805884939,0.15745370821551088,1.0061209223836394,0.981487807523945,0.3539234789090256,0.5744766923466953,0.4669608239086886,0.007210126380754901,0.01839267273747071,0.47556454547222216,0.15686309121521727,0.17292676432801074,0.03112294647648104,-0.008428959092659404,-0.001241611589708753
O075,point_global_best,Q2_intersection_nominal_to_hard,21,31.468617162844215,25.955490493755462,0.07847232838466263,0.9906361051605675,0.9790598100242152,0.19891703873865466,0.355890929703137,0.21410392815961027,0.005482555713776108,0.010298524222108557,0.4874726946591533,0.1684368684484197,0.24031245005177881,0.007696521904110029,-0.03705446349512944,-0.001241611589708753
O075,point_global_best,scale_signed_low_p10,13,37.29224240860677,33.48536143448457,0.3581164035939885,0.7116397709739282,0.9751286642011443,0.8190858034533157,1.4481416835620171,1.1111981965333735,0.001298063840262687,0.017347193753622595,0.4365622161405863,0.19162299689152634,0.35676753897808666,0.16571348171875946,-0.344483903405511,-0.3744422130439095
O075,point_global_best,scale_signed_central_p10_p90,102,16.949374169287683,16.30913885063719,0.1142046649393789,1.000896879014863,0.980969142291583,0.2076944905566246,0.3036070251646661,0.25073872069438574,0.0053600401689354454,0.017589701745124687,0.4416594232699261,0.1428155097020405,0.08200640576687292,0.016735609158693435,-0.0024615316434723087,-0.0024314808100493026
O075,point_global_best,scale_signed_high_p90,13,29.117805629916283,33.94361958758013,0.21125445891725067,1.2750188084309533,0.9786034535601343,0.5437085202358989,0.8218560900010966,0.5564444088639914,0.018526331031866506,0.037401199054379254,0.5198976070590449,0.16600751886982332,0.25214593915369704,0.05477109466109879,0.23979518388072144,0.2270402388801726
O075,point_global_best,scale_abs_error_top10pct,13,37.697920921392054,38.83011459469222,0.37020337762686567,0.8574999623596459,0.9750874287420915,0.9389205173905497,1.646056678776346,1.2291946853264404,0.006457023179034974,0.025746153800630927,0.4737208485417034,0.19223793817997506,0.38276736384981236,0.17674450460258082,-0.21083111140095864,-0.3744422130439095
O075,sample_first_best,Q1,32,17.262536163570065,17.494414895100874,0.01736562069828182,0.973279671918106,0.9768894254780018,0.034350161483424416,0.049716201235955014,0.02823834121409179,0.0019463243768671093,0.004767041504271934,0.466837419290836,0.14831306720041298,0.10850975685583895,0.0004079619626292829,-0.03240476486096469,-0.03289257096971597
O075,sample_first_best,Q2,32,26.494587543448546,22.02159223621491,0.0661993374943498,0.9806492459765342,0.9784166228677735,0.15322204328026845,0.25726347952376866,0.16356200049736516,0.005034788888462979,0.012777137690087918,0.4334868007108177,0.15852844738234614,0.20363996423652952,0.005527300357092889,-0.03847448747237793,-0.008811918038629449
O075,sample_first_best,Q3,32,19.945738663144887,18.161171780317385,0.10789460682226802,1.013139821176153,0.9844691154121816,0.27819235772921674,0.4213654062729432,0.2882978660738735,0.0062400518846751655,0.016812811056775394,0.44908071236796476,0.13944912426374895,0.12386235840066182,0.014964466731214576,0.005492630438521152,0.0023131190049658352
O075,sample_first_best,Q4,32,24.855504287286394,20.196256278348418,0.3202628610348387,0.9357250440293734,0.9811874933951001,0.7574527732382323,1.198657156770052,1.0300158202254883,0.007971976979234642,0.039233040696037516,0.3904946320106838,0.15222074873794952,0.1927736848504247,0.13188814725969755,-0.08091075413978938,-0.04020556730691975
O075,sample_first_best,nominal_to_hard,81,21.413278984249015,21.02186665343727,0.1586295914535312,0.979483171859468,0.9813765990852039,0.35489079846102467,0.5904343717577172,0.4761243886424982,0.005903995056441104,0.01714153483721918,0.4533310915838853,0.1570886740172688,0.17594536015315312,0.03166140459657189,-0.03499151865974904,-0.018746788171495967
O075,sample_first_best,Q2_intersection_nominal_to_hard,21,30.71170856703327,25.886828625991964,0.07647696342793302,0.9750082097093782,0.9791986555062185,0.19799596823585208,0.34696424492337463,0.21562635484566428,0.004951273098512316,0.009810794394100838,0.46666849257263376,0.16740784777740828,0.24988960446889597,0.007330728709127144,-0.05376440571594781,-0.00957384053426089
O075,sample_first_best,scale_signed_low_p10,13,38.870447639241185,35.92999680222327,0.4154930637194763,0.6843513202757519,0.9745914672861695,1.0249727913251785,1.8058634078126738,1.4569812340348893,0.0005402059072086601,0.02434561615619118,0.3947151194936697,0.19575954846552096,0.3997057038516767,0.2241846327066605,-0.385030086308518,-0.39060688173744845
