sample_id,role,deltaT_quartile,true_scale_cv_rms_K,generator_condition_category,total_power_W,q_cv_mean_W_m3,q_cv_rms_W_m3,q_max_W_m3,source_present_fraction,q_weighted_inverse_kz_mK_W,q_weighted_local_kz_W_mK,harmonic_kx_W_mK,harmonic_ky_W_mK,harmonic_kz_W_mK,anisotropy_xy_over_z,top_h_W_m2K,T_inf_minus_T_bottom_K,bc_top_cv_fraction,bc_bottom_cv_fraction,bc_side_cv_fraction,source_concentration,train_nn_distance_24d,train_nn_sample_id,e231_point_sse_K2,e231_shape_point_sse_K2,e231_scale_point_sse_K2,e231_cross_point_sse_K2,e231_decomposition_closure_abs_K2,e231_reconstruction_abs_K2,e231_predicted_scale_K,e231_signed_log_scale_error,e543_point_sse_K2,e543_shape_point_sse_K2,e543_scale_point_sse_K2,e543_cross_point_sse_K2,e543_decomposition_closure_abs_K2,e543_reconstruction_abs_K2,e543_predicted_scale_K,e543_signed_log_scale_error,v39_e24_point_sse_K2,v39_e24_shape_point_sse_K2,v39_e24_scale_point_sse_K2,v39_e24_cross_point_sse_K2,v39_e24_decomposition_closure_abs_K2,v39_e24_reconstruction_abs_K2,v39_e24_predicted_scale_K,v39_e24_signed_log_scale_error,v39_minus_e543_point_sse_delta_K2,v39_minus_e543_shape_sse_delta_K2,v39_minus_e543_scale_sse_delta_K2,v39_minus_e543_cross_sse_delta_K2,v39_minus_e231_point_sse_delta_K2,v39_minus_e231_shape_sse_delta_K2,v39_minus_e231_scale_sse_delta_K2,v39_minus_e231_cross_sse_delta_K2
sample_0014,valid_iid,Q4,1.2896650226372384,nominal_to_hard,1.4152010381866746,7076005.26287037,30145619.448603023,213093536.0,0.0962962962962963,0.1661538199456739,6.182670004290516,16.434891254639908,16.434891254639908,11.797956086532027,1.3930286851466738,2765.5367474252816,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,4.260259628488802,1.6481254359005917,sample_0215,24.87973402126691,18.560582463675704,3.682483654734595,2.6366679028566096,3.552713678800501e-15,3.552713678800501e-15,1.3598794659933584,0.05301355559557389,12.468986546698357,12.179165875714666,0.05489241173961868,0.2349282592440731,1.7763568394002505e-15,3.552713678800501e-15,1.2982611796526569,0.006643302751556904,13.49347601902847,12.176286333976378,0.5642118947527778,0.7529777902993109,3.552713678800501e-15,3.552713678800501e-15,1.317224469514947,0.02114433598578988,1.0244894723301137,-0.002879541738288083,0.5093194830131591,0.5180495310552378,-11.386258002238439,-6.384296129699326,-3.118271759981817,-1.8836901125572987
sample_0023,valid_iid,Q2,0.2629658707962856,low_to_nominal,0.4648959858257915,2324479.9096296295,6395248.2463418795,22604202.0,0.1451851851851852,0.13091247094509895,42.282544189687755,10.962411964801857,10.962411964801857,8.859624986724366,1.2373449193649162,2393.1171030531204,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,2.7512598557253845,0.9673912888385545,sample_0580,1.1812434705407866,0.9645178182056136,0.16364414412448006,0.05308150821069278,2.220446049250313e-16,2.220446049250313e-16,0.27774925011921936,0.05469447375365568,1.392707966666293,1.1787407602536302,0.154339254505767,0.05962795190689579,0.0,0.0,0.2773320986845482,0.0531914453629445,1.4761642553448509,1.1791872585488419,0.22496614253961475,0.0720108542563942,0.0,0.0,0.2803104459224514,0.06387346949173962,0.08345628867855792,0.0004464982952117058,0.07062688803384776,0.012382902349498404,0.29492078480406425,0.21466944034322832,0.06132199841513469,0.018929346045701415
sample_0027,valid_iid,Q3,0.5366140210141005,nominal_to_hard,0.7282132765770551,3641066.4183796295,22049486.216831658,142325568.0,0.044444444444444446,0.02931186123869092,34.752655895150085,36.084032497922344,36.084032497922344,25.083366361238685,1.438564185454907,250.49503812334368,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,6.055776970950946,1.6148190696162,sample_0567,7.147273409102204,4.690339816987904,2.616851854432789,-0.15991826231848677,1.7763568394002505e-15,1.7763568394002505e-15,0.4853758758852303,-0.10035547440541374,8.739795852922157,3.445650566341045,5.134604086036806,0.15954120054430862,1.7763568394002505e-15,3.552713678800501e-15,0.46463829108706683,-0.14401983274866448,8.343798453853156,3.445247723456135,4.745730551289161,0.15282017910786178,1.7763568394002505e-15,1.7763568394002505e-15,0.46741809454253364,-0.13805493246913994,-0.39599739906900133,-0.0004028428849096599,-0.38887353474764463,-0.006721021436446845,1.1965250447509517,-1.2450920935317686,2.128878696856372,0.31273844142634855
sample_0037,valid_iid,Q2,0.22343163865336263,low_to_nominal,0.8964694359693468,4482347.24,18064132.58042908,93660680.0,0.07407407407407407,0.06878508785006869,64.76029435459623,61.82474842719013,61.82474842719013,13.190376443151221,4.6871102347720415,525.3273986045094,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,4.030060933212591,3.012844099616008,sample_0094,1.699898362127985,1.5471477638641375,0.06782300399424968,0.08492759426959792,0.0,0.0,0.23236497924347538,0.03920382195527891,1.528916219478893,1.4733274937166747,0.022622630838015557,0.032966094924202854,0.0,0.0,0.22862995948648104,0.022999299200971365,1.5589174314645227,1.4738034364229808,0.04081574073587992,0.04429825430566195,2.220446049250313e-16,2.220446049250313e-16,0.23041404039403005,0.03077236623130672,0.03000121198562966,0.00047594270630613167,0.018193109897864365,0.011332159381459095,-0.1409809306634624,-0.07334432744115671,-0.027007263258369753,-0.04062933996393597
sample_0053,valid_iid,Q3,0.4663458019698718,nominal_to_hard,1.2023210060093878,6011604.917037037,35291280.11427544,285046688.0,0.047407407407407405,0.016987060677941188,78.64855021767688,21.0423960646304,21.0423960646304,20.869526350174656,1.008283355911156,1827.062705644622,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,5.870525555588475,1.2207459995299639,sample_0268,8.614363248244683,7.121237310330854,1.4169020678777673,0.07622387003606312,1.7763568394002505e-15,1.7763568394002505e-15,0.5072119452134819,0.08400153088901395,11.2610910204832,7.799757140069289,2.9328050404323807,0.5285288399815307,1.7763568394002505e-15,0.0,0.5247186467000396,0.11793478464734379,11.854398825075286,7.797675499062918,3.4816516637070385,0.5750716623053296,0.0,0.0,0.5299471459240259,0.1278498536565971,0.5933078045920865,-0.0020816410063710933,0.5488466232746578,0.046542822323798916,3.2400355768306035,0.6764381887320638,2.064749595829271,0.49884779226926645
sample_0059,valid_iid,Q3,0.6962427182377497,low,0.8617255690152267,4308627.925,6248568.985759421,9635550.0,0.5007407407407407,0.1566749154602221,7.406002408941779,9.000544951067731,9.000544951067731,7.926346700704579,1.1355224911203625,1501.3074099412408,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,1.4502456667974144,1.097757860773793,sample_0967,6.750091589626724,4.436496894049217,2.0228538718155735,0.2907408237619322,8.881784197001252e-16,8.881784197001252e-16,0.7455525772409415,0.06842732522135163,4.266187394277717,3.3890883226376514,0.7110311156785557,0.16606795596150958,0.0,0.0,0.7254446009136889,0.04108637689643558,4.781333274583268,3.3881519690660578,1.179116735260771,0.21406457025643966,0.0,0.0,0.7338474376481509,0.05260282375360394,0.5151458803055515,-0.0009363535715936067,0.4680856195822153,0.04799661429493007,-1.9687583150434556,-1.0483449249831591,-0.8437371365548025,-0.07667625350549256
sample_0061,valid_iid,Q1,0.08382224791294639,nominal_to_hard,0.317940960587773,1589704.8296296296,6130456.882043416,26575168.0,0.08296296296296296,0.04472198983289229,34.174978909787235,24.921134537520505,24.921134537520505,23.107607982259424,1.0784817951149852,630.9960618298162,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,3.85634915015144,1.5005994035977197,sample_0718,0.18950158975584916,0.05170321180896009,0.1289170213915256,0.008881356555363477,2.7755575615628914e-17,2.7755575615628914e-17,0.0967281370813306,0.14320587258090023,0.2231943941836075,0.06667531507266772,0.1473070569364211,0.009212022174518723,2.7755575615628914e-17,2.7755575615628914e-17,0.09763929506954588,0.15258156533589765,0.23586440078987914,0.06668191256917672,0.15958564371711464,0.009596844503587838,5.551115123125783e-17,5.551115123125783e-17,0.09820356381070106,0.1583440455796466,0.012670006606271628,6.597496508997658e-06,0.012278586780693546,0.00038482232906911565,0.04636281103402998,0.014978700760216623,0.030668622325589034,0.0007154879482243609
sample_0075,valid_iid,Q2,0.1759556525077124,nominal_to_hard,0.8805630931734794,4402815.587326389,15502297.160989754,67130512.0,0.1451851851851852,0.022238888292977488,177.924154787115,32.47244605079598,32.47244605079598,20.025388457846557,1.6215638522643634,323.9330190921048,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,3.5209962324553086,1.6068567986933013,sample_0443,0.7261341445773504,0.7231884965186394,0.001639430513989454,0.0013062175447216499,0.0,2.220446049250313e-16,0.17731179046290624,0.007677722042649526,0.6787164438943164,0.4435497938084217,0.20576818056390775,0.029398469521986978,0.0,1.1102230246251565e-16,0.19102546975197982,0.08217477974390851,0.7345314769222672,0.4435518057610435,0.25804294837564107,0.03293672278558246,1.1102230246251565e-16,2.220446049250313e-16,0.19283142517140175,0.09158437362275541,0.05581503302795077,2.0119526218387307e-06,0.05227476781173332,0.003538253263595484,0.008397332344916797,-0.27963669075759584,0.2564035178616516,0.031630505240860814
sample_0077,valid_iid,Q3,0.5243418484033366,nominal_to_hard,1.8535252654421974,9267626.272592593,31261549.356331244,225172048.0,0.1437037037037037,0.027687064537294966,37.04710242908225,9.67644791457141,9.67644791457141,9.540173403989026,1.0142842802548435,1896.9595039821731,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,3.3731991786842275,1.224333498741452,sample_0646,7.7772324710226215,7.006716458020982,0.5615659418259002,0.20895007117574005,8.881784197001252e-16,0.0,0.549712104551602,0.04725084084964266,6.990792660011168,5.832267719948242,0.852135964069406,0.30638897599352,0.0,0.0,0.5554632877998638,0.05765866426540223,7.4815515597620745,5.832333488099952,1.274410867701901,0.3748072039602217,0.0,1.7763568394002505e-15,0.5624009532762179,0.07007118144839611,0.49075889975090625,6.576815170955541e-05,0.4222749036324951,0.06841822796670172,-0.29568091126054696,-1.1743829699210302,0.7128449258760008,0.16585713278448166
sample_0084,valid_iid,Q1,0.1663770492536331,nominal_to_hard,1.7108204773726943,8554102.396296296,36945814.190012746,235265904.0,0.07407407407407407,0.005993259095147739,166.85412462972278,9.299185367626603,9.299185367626603,8.642702072116752,1.0759581077806453,360.4339597720042,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,4.3190755184628795,0.8559977004058843,sample_0090,0.43383281183669875,0.32446967503753055,0.12068277205131969,-0.011319635252151503,0.0,0.0,0.1546330293919647,-0.07320183619021921,0.19608144492609936,0.17911323240995744,0.01926575403663394,-0.0022975415204920246,0.0,2.7755575615628914e-17,0.16169116916335383,-0.028568441095886743,0.1850839721940546,0.17916953129594584,0.007333841719107967,-0.001419400820999216,0.0,0.0,0.16348594682754242,-0.017529559198014372,-0.010997472732044766,5.6298885988403935e-05,-0.01193191231752597,0.0008781406994928086,-0.24874883964264416,-0.1453001437415847,-0.11334893033221173,0.009900234431152287
