sample_id,role,deltaT_quartile,true_scale_cv_rms_K,generator_condition_category,total_power_W,q_cv_mean_W_m3,q_cv_rms_W_m3,q_max_W_m3,source_present_fraction,q_weighted_inverse_kz_mK_W,q_weighted_local_kz_W_mK,harmonic_kx_W_mK,harmonic_ky_W_mK,harmonic_kz_W_mK,anisotropy_xy_over_z,top_h_W_m2K,T_inf_minus_T_bottom_K,bc_top_cv_fraction,bc_bottom_cv_fraction,bc_side_cv_fraction,source_concentration,train_nn_distance_24d,train_nn_sample_id,e231_point_sse_K2,e231_shape_point_sse_K2,e231_scale_point_sse_K2,e231_cross_point_sse_K2,e231_decomposition_closure_abs_K2,e231_reconstruction_abs_K2,e231_predicted_scale_K,e231_signed_log_scale_error,e543_point_sse_K2,e543_shape_point_sse_K2,e543_scale_point_sse_K2,e543_cross_point_sse_K2,e543_decomposition_closure_abs_K2,e543_reconstruction_abs_K2,e543_predicted_scale_K,e543_signed_log_scale_error,v39_e24_point_sse_K2,v39_e24_shape_point_sse_K2,v39_e24_scale_point_sse_K2,v39_e24_cross_point_sse_K2,v39_e24_decomposition_closure_abs_K2,v39_e24_reconstruction_abs_K2,v39_e24_predicted_scale_K,v39_e24_signed_log_scale_error,v39_minus_e543_point_sse_delta_K2,v39_minus_e543_shape_sse_delta_K2,v39_minus_e543_scale_sse_delta_K2,v39_minus_e543_cross_sse_delta_K2,v39_minus_e231_point_sse_delta_K2,v39_minus_e231_shape_sse_delta_K2,v39_minus_e231_scale_sse_delta_K2,v39_minus_e231_cross_sse_delta_K2
sample_1055,valid_iid,Q4,2.0236222692071117,low_to_nominal,1.0657627512342596,5328813.554074073,18398119.718948197,73411752.0,0.09481481481481481,0.06932266808938282,23.98884960269803,7.424904204738542,7.29811379676921,5.361126019212696,1.37307647659387,1928.3295726109911,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,3.4525733776915937,1.331758843968454,sample_0636,306.88052360626733,58.18716586357421,247.2446874222961,1.4486703203970257,0.0,5.684341886080802e-14,1.4809991683040131,-0.3121721344144269,396.7100445885305,60.41736288072502,342.6278212811523,-6.335139573346865,0.0,0.0,1.387004025336244,-0.3777430646050712,373.8014790954968,60.424717690558786,319.5030547887677,-6.126293383829772,5.684341886080802e-14,0.0,1.4088646193703145,-0.36210496259712405,-22.908565493033677,0.007354809833763909,-23.124766492384595,0.208846189517093,66.92095548922947,2.2375518269845784,72.25836736647162,-7.574963704226798
sample_1049,valid_iid,Q4,1.9032183992054632,low_to_nominal,1.380722279234906,6903611.1711111115,30786627.077347107,156408320.0,0.0725925925925926,0.03574924869079871,31.251284707669935,3.4268836556442546,3.4268836556442546,3.3959609877022965,1.009105719427855,1858.7186501291008,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,4.4594961198541085,1.1807439304556557,sample_0733,195.77523852651183,166.1173372513125,46.861444299115284,-17.20354302391594,0.0,0.0,1.6733371308851637,-0.12872643298386943,283.93952041055627,167.8434052102329,151.078443201323,-34.982328000999686,5.684341886080802e-14,1.1368683772161603e-13,1.4915843167681264,-0.24370749257123364,261.60261537529885,167.88539289789406,125.63274215644228,-31.915519679037516,5.684341886080802e-14,0.0,1.527848732451215,-0.2196856587132148,-22.336905035257416,0.041987687661162454,-25.445701044880735,3.0668083219621707,65.82737684878703,1.7680556465815584,78.771297857327,-14.711976655121575
sample_0787,valid_iid,Q4,1.4901649789785576,nominal_to_hard,3.6208749868493975,18104374.838425923,36782587.970932886,148229216.0,0.4222222222222222,0.06273824343292067,131.5839625754846,5.714564249527914,3.3252557623496286,9.532647336180949,0.45728879598556577,2560.967654345526,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,2.031696112792292,2.5164340196639077,sample_0646,250.82930786121221,166.76191573936683,162.23722929132964,-78.1698371694843,5.684341886080802e-14,5.684341886080802e-14,1.0259280824402532,-0.3732891887702549,265.81538229127665,136.3272782106295,199.86558340146365,-70.37747932081652,5.684341886080802e-14,5.684341886080802e-14,0.972091495465249,-0.42719218578925294,251.71518598973654,136.33044454191202,182.66129129910038,-67.27654985127593,5.684341886080802e-14,5.684341886080802e-14,0.9948885697180722,-0.4040113763025968,-14.100196301540109,0.003166331282528745,-17.20429210236327,3.1009294695405885,0.8858781285243253,-30.43147119745481,20.424062007770743,10.893287318208365
sample_0617,valid_iid,Q4,1.6954972295571176,nominal_to_hard,1.1552041462243796,5776020.832592593,39575126.577168494,561176640.0,0.04296296296296296,0.04616112941054807,28.40133728479665,11.955555817233966,10.014650894304227,11.742714469200934,0.9318248586541255,306.1304302397547,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,6.851624697361979,0.6994917707724445,sample_0413,198.72973580772978,130.49728439393903,96.43049580246272,-28.19804438867195,0.0,0.0,1.3612274937335136,-0.21958918698539626,217.61171136612973,132.11465963954925,122.87281344444497,-37.37576171786449,0.0,5.684341886080802e-14,1.3199909458479706,-0.2503511712159777,204.39924718164096,132.13321680609766,107.17111913182461,-34.905088756281295,2.842170943040401e-14,0.0,1.3448016566171472,-0.2317295136043509,-13.212464184488766,0.01855716654841899,-15.701694312620361,2.4706729615831975,5.6695113739111775,1.6359324121586383,10.740623329361895,-6.707044367609345
sample_0348,valid_iid,Q4,1.7594226076455959,low_to_nominal,0.9789987202397752,4894993.585185185,16106294.196085723,57094428.0,0.10666666666666667,0.4820003572062815,43.2797283404169,4.705417513955142,5.833223212919164,3.7033771038994643,1.4146709738297054,521.1236226169694,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,3.2903606292826337,1.5776308774748482,sample_0613,138.45317767578828,123.81487396330093,9.032067616156567,5.6062360963308,2.842170943040401e-14,0.0,1.8729341504043797,0.06252057417086664,147.15181077636333,148.10587701602714,0.36409228286878603,-1.318158522532595,0.0,0.0,1.7365813400330636,-0.013067257916070102,149.0511357408722,148.0892454094692,0.1411636956327701,0.8207266357702352,0.0,0.0,1.7736450722571986,0.00805110047435239,1.899324964508878,-0.016631606557922396,-0.22292858723601594,2.13888515830283,10.59795806508393,24.27437144616829,-8.890903920523797,-4.785509460560565
sample_0426,valid_iid,Q4,1.2874419959677592,low,0.6777723821796975,3388861.9822222227,4447764.324329077,5878768.0,0.5807407407407408,0.7981004922230358,4.343591195645526,2.6874059612733667,3.7520799057162177,1.8949804791913323,1.6757064330767688,669.0168443904399,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,1.3124654665598074,2.0191005409448968,sample_0683,176.77322848377042,16.531659881445538,164.5402808594577,-4.298712257132806,0.0,0.0,1.752939437554459,0.3086367565901464,126.51208941884875,23.51809410547344,106.9585142291235,-3.964518915748196,1.4210854715202004e-14,0.0,1.664047294760257,0.2565954634616251,131.98293313999523,23.52266230159491,112.5244880569168,-4.064217218516466,2.842170943040401e-14,0.0,1.6737216385619305,0.2623923721670686,5.47084372114648,0.004568196121468304,5.5659738277933,-0.09969830276826963,-44.7902953437752,6.991002420149371,-52.015792802540915,0.23449503861634025
sample_0325,valid_iid,Q4,1.6250987103360819,nominal_to_hard,1.2053004532078577,6026502.150740741,33307253.12143158,348274752.0,0.07407407407407407,0.2137795872406109,5.3142537230466065,10.330927606113836,14.187172649313968,7.21595994680165,1.6777354152287924,1983.9125932050663,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,5.526796918557375,1.1476208851321783,sample_0393,97.99887922754453,88.56032663027175,16.676938143913432,-7.238385546640643,0.0,0.0,1.473453983696968,-0.09795926530318644,105.51216315463242,68.59495165498336,46.659489486334934,-9.742277986685862,1.4210854715202004e-14,2.842170943040401e-14,1.3717695209001712,-0.16946703124892154,98.01046830588375,68.61298364439207,38.21998588459119,-8.822501223099515,1.4210854715202004e-14,0.0,1.3958228451515327,-0.15208446422545766,-7.50169484874867,0.01803198940871198,-8.439503601743745,0.9197767635863467,0.011589078339213188,-19.947342985879672,21.543047740677757,-1.5841156764588717
sample_0271,valid_iid,Q4,1.3831723659142101,nominal_to_hard,2.0843405365328556,10421702.664155094,69492766.32231905,623274048.0,0.07851851851851852,0.03272332120263857,31.284331581224166,38.946828163625526,40.61676022512027,36.16580917546707,1.0997412122757035,510.51317629781624,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,6.668081843802681,1.4046278605502094,sample_0878,76.09809438884898,29.34998268863327,46.51386418581239,0.23424751440333713,1.4210854715202004e-14,0.0,1.1621995442801605,-0.1740653082736549,96.12862003820261,35.40160312352197,57.3884948774073,3.3385220372733366,0.0,0.0,1.1361413016159179,-0.19674197902514928,94.13922537693362,35.40290057344897,55.45195479225125,3.2843700112333796,2.842170943040401e-14,1.4210854715202004e-14,1.1403439218499263,-0.19304977407253582,-1.9893946612689888,0.0012974499269944317,-1.9365400851560466,-0.05415202603995706,18.041130988084646,6.052917884815699,8.938090606438863,3.0501224968300424
sample_0674,valid_iid,Q4,1.9653323024035245,nominal_to_hard,3.1043330461635756,15521665.145462964,37681430.65790648,117754952.0,0.2785185185185185,0.12705052854468768,18.13847977607572,13.398722623300534,12.126658125526482,14.070035997405395,0.9059558981795637,316.12664435458623,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,2.427666767620223,0.7640620864674298,sample_0814,47.008902664814755,42.486643114451724,5.694376816071359,-1.1721172657083256,7.105427357601002e-15,7.105427357601002e-15,1.8775865591117242,-0.045674134679732546,79.25465364652722,52.26002513577761,33.54808048482452,-6.553451974074898,1.4210854715202004e-14,0.0,1.7532684250878325,-0.11417962417718606,70.12536208647302,52.224226896965234,23.366979529236822,-5.465844339729035,1.4210854715202004e-14,0.0,1.7883481392089786,-0.09436897513366681,-9.129291560054199,-0.03579823881237587,-10.181100955587695,1.0876076343458632,23.116459421658263,9.73758378251351,17.672602713165464,-4.293727074020709
sample_0971,valid_iid,Q4,1.0591130731985174,nominal_to_hard,0.40562152448592437,2028107.6603703701,14035460.03943128,142065872.0,0.047407407407407405,0.4892546570831422,98.6054256271271,4.932446128467465,4.932446128467465,4.932446128467465,1.0,200.43077861020723,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,6.920470819411879,1.8632067356223663,sample_0544,53.48896919302192,47.458775610470276,5.796687318036719,0.2335062645149414,1.4210854715202004e-14,7.105427357601002e-15,0.9690472794587746,-0.08887371074848399,67.7411125902572,59.45388374547524,8.502444273585775,-0.21521542880380634,1.4210854715202004e-14,0.0,0.9495428246000975,-0.10920648196036169,65.4338671695789,59.44912166959128,6.168383332198623,-0.18363783221100932,0.0,0.0,0.9657867605471782,-0.09224404839045193,-2.3072454206782993,-0.0047620758839599375,-2.3340609413871523,0.03157759659279702,11.94489797655698,11.990346059121002,0.3716960141619037,-0.4171440967259507
