group_id,family,block_index,support_node_count,coordinate_sha256,support_index_sha256,solver_node_count
rb_g003,q,0,15,cfb7a8e0009835c0b6054fb45732031a2ed22e4c8bb45c9ffd062e80f047b40e,48bb33d93a619e89636a145098a2fc41533a35b9771e6d4e9322bd12b1ff65bb,240825
rb_g003,q,1,19,cfb7a8e0009835c0b6054fb45732031a2ed22e4c8bb45c9ffd062e80f047b40e,48bb33d93a619e89636a145098a2fc41533a35b9771e6d4e9322bd12b1ff65bb,240825
rb_g003,q,2,14,cfb7a8e0009835c0b6054fb45732031a2ed22e4c8bb45c9ffd062e80f047b40e,48bb33d93a619e89636a145098a2fc41533a35b9771e6d4e9322bd12b1ff65bb,240825
rb_g003,q,3,19,cfb7a8e0009835c0b6054fb45732031a2ed22e4c8bb45c9ffd062e80f047b40e,48bb33d93a619e89636a145098a2fc41533a35b9771e6d4e9322bd12b1ff65bb,240825
rb_g003,q,4,15,cfb7a8e0009835c0b6054fb45732031a2ed22e4c8bb45c9ffd062e80f047b40e,48bb33d93a619e89636a145098a2fc41533a35b9771e6d4e9322bd12b1ff65bb,240825
rb_g003,q,5,26,cfb7a8e0009835c0b6054fb45732031a2ed22e4c8bb45c9ffd062e80f047b40e,48bb33d93a619e89636a145098a2fc41533a35b9771e6d4e9322bd12b1ff65bb,240825
rb_g003,k,0,48,cfb7a8e0009835c0b6054fb45732031a2ed22e4c8bb45c9ffd062e80f047b40e,48bb33d93a619e89636a145098a2fc41533a35b9771e6d4e9322bd12b1ff65bb,240825
rb_g003,k,1,32,cfb7a8e0009835c0b6054fb45732031a2ed22e4c8bb45c9ffd062e80f047b40e,48bb33d93a619e89636a145098a2fc41533a35b9771e6d4e9322bd12b1ff65bb,240825
rb_g003,k,2,25,cfb7a8e0009835c0b6054fb45732031a2ed22e4c8bb45c9ffd062e80f047b40e,48bb33d93a619e89636a145098a2fc41533a35b9771e6d4e9322bd12b1ff65bb,240825
rb_g003,k,3,60,cfb7a8e0009835c0b6054fb45732031a2ed22e4c8bb45c9ffd062e80f047b40e,48bb33d93a619e89636a145098a2fc41533a35b9771e6d4e9322bd12b1ff65bb,240825
rb_g004,q,0,8,2026be472ab51eeba73bdc74cc05903c39dbb1be4d7e9b370f6d2317dd97ded0,c0f8849514b783a431be8796776b30815cd59543d24ee11eacf70ed1653ed395,240825
rb_g004,q,1,5,2026be472ab51eeba73bdc74cc05903c39dbb1be4d7e9b370f6d2317dd97ded0,c0f8849514b783a431be8796776b30815cd59543d24ee11eacf70ed1653ed395,240825
rb_g004,q,2,8,2026be472ab51eeba73bdc74cc05903c39dbb1be4d7e9b370f6d2317dd97ded0,c0f8849514b783a431be8796776b30815cd59543d24ee11eacf70ed1653ed395,240825
rb_g004,q,3,7,2026be472ab51eeba73bdc74cc05903c39dbb1be4d7e9b370f6d2317dd97ded0,c0f8849514b783a431be8796776b30815cd59543d24ee11eacf70ed1653ed395,240825
rb_g004,q,4,5,2026be472ab51eeba73bdc74cc05903c39dbb1be4d7e9b370f6d2317dd97ded0,c0f8849514b783a431be8796776b30815cd59543d24ee11eacf70ed1653ed395,240825
rb_g004,q,5,6,2026be472ab51eeba73bdc74cc05903c39dbb1be4d7e9b370f6d2317dd97ded0,c0f8849514b783a431be8796776b30815cd59543d24ee11eacf70ed1653ed395,240825
rb_g004,q,6,8,2026be472ab51eeba73bdc74cc05903c39dbb1be4d7e9b370f6d2317dd97ded0,c0f8849514b783a431be8796776b30815cd59543d24ee11eacf70ed1653ed395,240825
rb_g004,k,0,11,2026be472ab51eeba73bdc74cc05903c39dbb1be4d7e9b370f6d2317dd97ded0,c0f8849514b783a431be8796776b30815cd59543d24ee11eacf70ed1653ed395,240825
rb_g004,k,1,34,2026be472ab51eeba73bdc74cc05903c39dbb1be4d7e9b370f6d2317dd97ded0,c0f8849514b783a431be8796776b30815cd59543d24ee11eacf70ed1653ed395,240825
rb_g004,k,2,36,2026be472ab51eeba73bdc74cc05903c39dbb1be4d7e9b370f6d2317dd97ded0,c0f8849514b783a431be8796776b30815cd59543d24ee11eacf70ed1653ed395,240825
rb_g004,k,3,18,2026be472ab51eeba73bdc74cc05903c39dbb1be4d7e9b370f6d2317dd97ded0,c0f8849514b783a431be8796776b30815cd59543d24ee11eacf70ed1653ed395,240825
rb_g004,k,4,44,2026be472ab51eeba73bdc74cc05903c39dbb1be4d7e9b370f6d2317dd97ded0,c0f8849514b783a431be8796776b30815cd59543d24ee11eacf70ed1653ed395,240825
rb_g004,k,5,35,2026be472ab51eeba73bdc74cc05903c39dbb1be4d7e9b370f6d2317dd97ded0,c0f8849514b783a431be8796776b30815cd59543d24ee11eacf70ed1653ed395,240825
rb_g004,k,6,46,2026be472ab51eeba73bdc74cc05903c39dbb1be4d7e9b370f6d2317dd97ded0,c0f8849514b783a431be8796776b30815cd59543d24ee11eacf70ed1653ed395,240825
rb_g005,q,0,20,1164cc429c543125455f268ef619b54ff812ebb7d12e3145f64678989ebb1007,d4f305ac88c1bece3c1f8edab8bf2767408a1a556bcf9688323eeee17246b69a,240825
rb_g005,q,1,32,1164cc429c543125455f268ef619b54ff812ebb7d12e3145f64678989ebb1007,d4f305ac88c1bece3c1f8edab8bf2767408a1a556bcf9688323eeee17246b69a,240825
rb_g005,q,2,15,1164cc429c543125455f268ef619b54ff812ebb7d12e3145f64678989ebb1007,d4f305ac88c1bece3c1f8edab8bf2767408a1a556bcf9688323eeee17246b69a,240825
rb_g005,q,3,22,1164cc429c543125455f268ef619b54ff812ebb7d12e3145f64678989ebb1007,d4f305ac88c1bece3c1f8edab8bf2767408a1a556bcf9688323eeee17246b69a,240825
rb_g005,q,4,17,1164cc429c543125455f268ef619b54ff812ebb7d12e3145f64678989ebb1007,d4f305ac88c1bece3c1f8edab8bf2767408a1a556bcf9688323eeee17246b69a,240825
