system,policy,resolution,measurement_domain,sample_count,point_global_pct,sample_first_pct,raw_cv_rmse_K,source_rmse_K,peak_rmse_K,interface_rmse_K,regional_nodes,p2r_edges,r2r_edges,process_cold_median_s,process_cold_p95_s,fresh_topology_median_s,fresh_topology_p95_s,warm_resident_median_s,warm_resident_p95_s,neural_forward_median_s,neural_forward_p95_s,peak_vram_bytes,process_cold_speedup_vs_fvm,fresh_topology_speedup_vs_fvm,warm_resident_speedup_vs_fvm,timing_protocol,provenance,status
GPU_RIGNO,A,1024,reconstructed_full_240825,32,3.071967625386462,,2.930196006566672,2.9627762630847885,2.6755216248449316,1.4165821789031567,256.0,2594.8125,4119.25,,,1.7770571205182932,1.9087410156964324,0.010156094445846975,0.012516494310693814,,,139176192,,,,historical_mixed_protocol_not_pooled,historical_reuse,historical_reuse
GPU_RIGNO,A,4096,reconstructed_full_240825,32,2.823750041212247,,2.6381528447588414,3.5611520964318055,3.565766029145503,0.6908449321960156,1024.0,11877.96875,17728.375,,,0.32604494562838227,0.3387186749605462,0.0032185360323637724,0.003490280220285058,,,157979136,,,,historical_mixed_protocol_not_pooled,historical_reuse,historical_reuse
GPU_RIGNO,A,8192,reconstructed_full_240825,32,2.7427579982503554,,2.491699688318761,3.6060349963750618,3.369423744840235,0.5623705985613656,2048.0,22700.0625,35973.8125,,,0.47749551839660853,0.4961270613945089,0.0037603575037792325,0.003928012738469988,,,185564416,,,,historical_mixed_protocol_not_pooled,historical_reuse,historical_reuse
GPU_RIGNO,A,16384,reconstructed_full_240825,32,2.8173708946158174,,2.5342753349123437,3.7365713301693875,3.496277891479243,0.5954506934552837,4096.0,38712.21875,73177.1875,,,0.5764100778615102,0.5957284889183938,0.006770816049538553,0.006908007396850734,,,310001152,,,,historical_mixed_protocol_not_pooled,historical_reuse,historical_reuse
GPU_RIGNO,A,32768,reconstructed_full_240825,32,2.939389790801459,,2.6468942460370664,3.703181295835305,3.108928655934672,0.6568611645383883,8192.0,69092.09375,146035.4375,,,0.4129834249615669,0.4236251087975688,0.018056844943203032,0.018398880877066405,,,470183936,,,,historical_mixed_protocol_not_pooled,historical_reuse,historical_reuse
GPU_RIGNO,B,1024,reconstructed_full_240825,32,3.0477158084334937,,2.934367665899419,2.9201524570693107,2.636333018109248,1.2680209414247423,128.0,3135.3125,1763.8125,,,0.38637551094871014,0.4009417407447472,0.0015270320000126958,0.0017444085795432342,,,156589312,,,,historical_mixed_protocol_not_pooled,new_execution,historical_reuse
GPU_RIGNO,B,4096,reconstructed_full_240825,32,2.795196333268537,,2.6129528339826256,3.520061566626727,3.688483058974905,0.6457290152916809,512.0,17096.9375,7865.5,,,0.42827818740624934,0.4382643488352187,0.009673716966062784,0.010260488593485207,,,168447488,,,,historical_mixed_protocol_not_pooled,new_execution,historical_reuse
GPU_RIGNO,B,8192,reconstructed_full_240825,32,2.739835066049737,,2.4587887815005853,3.587522396517475,3.4786064303177264,0.5100798090283039,1024.0,34946.5,16120.9375,,,0.4418046238133684,0.4548626501346007,0.0026642305310815573,0.0037145422073081137,,,190544896,,,,historical_mixed_protocol_not_pooled,historical_reuse,historical_reuse
GPU_RIGNO,B,16384,reconstructed_full_240825,32,2.7558152920029935,,2.4357614021543434,3.6838103894423657,3.440714127890834,0.546116829368644,2048.0,54934.75,32975.5,,,0.5456065846374258,0.5555880114203319,0.004963301471434534,0.005227320385165514,,,249393664,,,,historical_mixed_protocol_not_pooled,historical_reuse,historical_reuse
GPU_RIGNO,B,32768,reconstructed_full_240825,32,2.808226193684273,,2.5203762948403656,3.6273425074271852,3.479292549903588,0.6291286552792261,4096.0,90461.34375,66253.5625,,,0.7345602569403127,0.7649584123166278,0.008580053108744323,0.008959434763528408,,,355941888,,,,historical_mixed_protocol_not_pooled,new_execution,historical_reuse
