route,stage,reference_median_s,candidate_median_s,speedup,candidate_p95_s
B8192_adaptive,support_ordering,0.7184370501199737,0.19069508253596723,3.7674650052104433,0.1948985829949379
B8192_adaptive,cv_redistribution,0.043714489438571036,0.042902805493213236,1.0189191344488229,0.04422119008377194
B8192_adaptive,regional_prepare,0.001999701024033129,0.002169181010685861,0.9218691359467761,0.002992674370761961
B8192_adaptive,coverage,0.015275890356861055,0.014583152486011386,1.047502614507677,0.016948710358701647
B8192_adaptive,p2r,0.01620550244115293,0.0163952789735049,0.9884249281357973,0.017562192375771703
B8192_adaptive,r2r,0.025391551665961742,0.02582034538500011,0.9833931842256661,0.02773630552692339
B8192_adaptive,r2p,0.0023708519292995334,0.0024236964527517557,0.97819672368946,0.004776402097195387
B8192_adaptive,packing,0.007764892070554197,0.007873457972891629,0.9862111536365311,0.00878997597610578
B8192_adaptive,graph_total,0.0800254944479093,0.0814592830138281,0.9823987087429261,0.08506886407267303
B8192_adaptive,reconstruction_map,0.10454904288053513,0.10270660161040723,1.0179388787209294,0.11028923970879986
B8192_adaptive,continuous_total,0.9537236338946968,0.42497069004457444,2.2442103802374285,0.43883633248042314
E32768_adaptive,support_ordering,0.7163730944739655,0.32004979345947504,2.238317627799604,0.3235955133102834
E32768_adaptive,cv_redistribution,0.05010711750946939,0.04947519302368164,1.012772552205815,0.051536665228195486
E32768_adaptive,regional_prepare,0.002136387978680432,0.002261742949485779,0.9445759427109756,0.0030316894059069454
E32768_adaptive,coverage,0.04849259101320058,0.046035657403990626,1.0533702296819372,0.05413243435323238
E32768_adaptive,p2r,0.02910541940946132,0.02907429391052574,1.0010705504674118,0.03103777818614617
E32768_adaptive,r2r,0.010005317511968315,0.01056913600768894,0.9466542491921334,0.012230335886124521
E32768_adaptive,r2p,0.0034689054591581225,0.003624821431003511,0.9569865785630648,0.004891557537484914
E32768_adaptive,packing,0.008082955027930439,0.008146859472617507,0.992155941206319,0.008774938038550317
E32768_adaptive,graph_total,0.11048841802403331,0.11154424247797579,0.9905344782439044,0.12015119851566851
E32768_adaptive,reconstruction_map,0.11140484793577343,0.11063403682783246,1.006967214882889,0.11511898721801117
E32768_adaptive,continuous_total,0.9968022679677233,0.6008878945140168,1.65888225918399,0.6138838798273355
