system,semantic,backend_or_processes,batch_size,startup_s,steady_wall_s,samples_per_s,avg_per_case_s,exact,provenance
E16384,cpu_preprocessing_backend_valid32,serial,,0.0,31.194521300960332,1.0258211591474196,0.9748287906550104,True,P8_new
E16384,cpu_preprocessing_backend_valid32,thread2,,0.0,15.52560197096318,2.0611117082511923,0.4851750615925994,True,P8_new
E16384,cpu_preprocessing_backend_valid32,thread4,,0.0,16.277224386110902,1.9659371426559122,0.5086632620659657,True,P8_new
E16384,cpu_preprocessing_backend_valid32,thread8,,0.0,17.393330875085667,1.8397856183968209,0.5435415898464271,True,P8_new
E16384,cpu_preprocessing_backend_valid32,process2,,5.305876852013171,29.949464928125963,1.0684665010475145,0.9359207790039363,True,P8_new
E16384,cpu_preprocessing_backend_valid32,process4,,5.285975178936496,18.671785322017968,1.7138157625594195,0.5834932913130615,True,P8_new
E16384,cpu_preprocessing_backend_valid32,process8,,5.524084887932986,14.595082571962848,2.1925192846439936,0.456096330373839,True,P8_new
E16384,fresh_distinct_case_batch,process8,1,5.7763153738342226,4.9570901920087636,0.2017312498392872,4.9570901920087636,True,P8_new
E16384,fresh_distinct_case_batch,process8,4,5.7763153738342226,5.863079580012709,0.6822353245274098,1.4657698950031772,True,P8_new
E16384,fresh_distinct_case_batch,process8,8,5.7763153738342226,6.241132364841178,1.2818186720517633,0.7801415456051473,True,P8_new
E16384,fresh_distinct_case_batch,process8,16,5.7763153738342226,5.698904862161726,2.807556958220712,0.35618155388510786,True,P8_new
E16384,fresh_distinct_case_batch,process8,32,5.7763153738342226,11.902893650112674,2.6884219031644534,0.37196542656602105,True,P8_new
FVM,persistent_pool_known_topology_new_physics,1,,4.920468230964616,55.62692053383216,0.5752610371544417,1.738341266682255,True,P8_new
FVM,persistent_pool_known_topology_new_physics,2,,4.971798048820347,37.90539703005925,0.8442069601493364,1.1845436571893515,True,P8_new
FVM,persistent_pool_known_topology_new_physics,4,,4.902212176006287,50.03743769787252,0.6395211560035691,1.5636699280585162,True,P8_new
FVM,persistent_pool_known_topology_new_physics,8,,5.138958421070129,57.578712571877986,0.5557609500221635,1.799334767871187,True,P8_new
