route,stage,median_seconds,mean_seconds,p95_seconds,p5s_baseline_seconds,speedup_vs_p5s
B8192_adaptive,support_ordering,0.18208341661375016,0.18259157726424746,0.18616557266796008,0.19069508253596723,1.0472951687878573
B8192_adaptive,cv_redistribution,0.043526371009647846,0.043553907504247036,0.04481999409617856,,
B8192_adaptive,regional_prepare,0.0021454719826579094,0.0022278162286966108,0.0028992415289394555,,
B8192_adaptive,coverage,0.015339240431785583,0.015739252703497186,0.01724250742699951,,
B8192_adaptive,p2r,0.016762959421612322,0.01668757053266745,0.017537176923360674,,
B8192_adaptive,r2r,0.025021000998094678,0.0251060100417817,0.026765268004965037,,
B8192_adaptive,r2p,0.0025593991158530116,0.002647099579917267,0.004683232237584889,,
B8192_adaptive,packing,0.007752438425086439,0.007592800677230116,0.008424789144191891,,
B8192_adaptive,graph_total,0.0800777004333213,0.08012891829275759,0.08484736890532077,,
B8192_adaptive,reconstruction_map,0.10753218701574951,0.10716631625109585,0.11004664783831686,,
B8192_adaptive,continuous_total,0.4212047809269279,0.42034820660046535,0.42530381691176444,0.42497069004457444,1.008940803353084
B8192_adaptive,ordering::mask_seconds,0.0002975041279569268,0.00029225662001408637,0.000328619044739753,,
B8192_adaptive,ordering::sha256_seconds,0.0981319616548717,0.09796338391606696,0.09942603468662128,,
B8192_adaptive,ordering::sort_seconds,0.05994766636285931,0.06005540903424844,0.06107636872911826,,
B8192_adaptive,ordering::inner_interleave_seconds,0.00712416076567024,0.007257724479131866,0.00806224507978186,,
B8192_adaptive,ordering::outer_interleave_seconds,0.0061998816672712564,0.006183667959703598,0.006311958748847246,,
E32768_adaptive,support_ordering,0.22774733952246606,0.22869008367706556,0.23639243075158448,0.32004979345947504,1.4052844442905286
E32768_adaptive,cv_redistribution,0.05025824997574091,0.050331568185356446,0.052150506828911605,,
E32768_adaptive,regional_prepare,0.0021477944683283567,0.0021784825876238756,0.0028037756914272897,,
E32768_adaptive,coverage,0.05088509852066636,0.04996203898190288,0.05499276546761393,,
E32768_adaptive,p2r,0.029345161514356732,0.029721682432864327,0.03339803531998768,,
E32768_adaptive,r2r,0.010213141096755862,0.01017769016470993,0.01120765992673114,,
E32768_adaptive,r2p,0.002648726454935968,0.0031610652076778933,0.004806275048758834,,
E32768_adaptive,packing,0.00815772742498666,0.008157859119819477,0.008969061425887048,,
E32768_adaptive,graph_total,0.11371018167119473,0.1135362000859459,0.12153197047300636,,
E32768_adaptive,reconstruction_map,0.11379817151464522,0.11397768674214603,0.11694746311986819,,
E32768_adaptive,continuous_total,0.5144111234694719,0.5144352867500857,0.5252914025099017,0.6008878945140168,1.1681082836259409
E32768_adaptive,ordering::mask_seconds,0.0002960163401439786,0.00030643489299109206,0.0003573756781406701,,
E32768_adaptive,ordering::sha256_seconds,0.09660620056092739,0.09726722179766512,0.10144429464126006,,
E32768_adaptive,ordering::sort_seconds,0.05971876659896225,0.060535727701790165,0.06689142106333748,,
E32768_adaptive,ordering::inner_interleave_seconds,0.036149727646261454,0.036295191159297246,0.03726194864138961,,
E32768_adaptive,ordering::outer_interleave_seconds,0.025179041898809373,0.02515643811057089,0.025691157055553047,,
