route,sample_id,adaptive_full_rmse_K,fixed_full_rmse_K,delta_full_rmse_K,adaptive_source_rmse_K,fixed_source_rmse_K,delta_source_rmse_K,adaptive_peak_rmse_K,fixed_peak_rmse_K,delta_peak_rmse_K,adaptive_interface_rmse_K,fixed_interface_rmse_K,delta_interface_rmse_K
B8192_recon,v6p1if1_0308,3.6667174197506336,3.6666952538873483,-2.2165863285295018e-05,4.39501547405216,4.394970380896071,-4.5093156089137665e-05,3.9637603759765625,3.9640884399414062,0.00032806396484375,0.5068594819188201,0.5068841332173807,2.4651298560551815e-05
B8192_recon,v6p1if1_0511,0.9908833762192002,1.3797846251325971,0.38890124891339695,1.2890334714484735,3.4318782269056993,2.142844755457226,1.6945266723632812,2.9559555053710938,1.2614288330078125,0.32292692837594994,0.18920709631556562,-0.13371983206038432
B8192_recon,v6p1if1_0041,3.4889834903516266,3.68443782575648,0.19545433540485346,4.885097274748663,7.107723544492646,2.2226262697439827,6.070457458496094,6.876380920410156,0.8059234619140625,0.38565134619791624,0.6215698222761159,0.23591847607819966
B8192_recon,v6p1if1_0846,1.8014213237431653,1.82632339194601,0.024902068202844685,0.9873695899277337,3.172185160816873,2.184815570889139,1.2242240905761719,1.9672355651855469,0.743011474609375,0.25690523617133465,0.23009363129825747,-0.026811604873077183
B8192_recon,v6p1if1_0572,2.6038359483529576,2.84083445549925,0.23699850714629234,2.105817310708963,6.313834321407833,4.208017010698869,0.34088897705078125,6.091087341308594,5.7501983642578125,0.23122403250807025,0.3446369464744523,0.11341291396638206
B8192_recon,v6p1if1_0347,1.206433992928741,1.3446144818233228,0.13818048889458168,2.8138801660754593,3.96083346363663,1.1469532975611707,0.1967926025390625,3.41729736328125,3.2205047607421875,0.6369105354953335,0.359491831388372,-0.2774187041069615
B8192_recon,v6p1if1_0286,3.5629570450180093,3.6381075330908597,0.07515048807285041,3.7960659461655255,5.672998776272862,1.8769328301073362,5.079627990722656,4.140289306640625,-0.9393386840820312,0.4637999868525258,0.5917825540432049,0.12798256719067908
B8192_recon,v6p1if1_0124,2.254976092108269,1.952110297553334,-0.3028657945549351,3.120723624139154,3.7555664735438854,0.6348428494047313,3.5283279418945312,3.1743850708007812,-0.35394287109375,0.785567659958056,0.24319313586287317,-0.5423745240951828
B8192_recon,v6p1if1_1017,1.0949025502869734,1.2708894153494066,0.17598686506243322,1.443072023976025,4.0329894302411375,2.5899174062651125,0.005985260009765625,0.049938201904296875,0.04395294189453125,0.18206005802366176,0.1870109040874137,0.004950846063751929
B8192_recon,v6p1if1_0854,2.5787765445793127,2.1154563332122924,-0.4633202113670203,8.449539768020815,6.80633392787383,-1.643205840146985,10.111778259277344,9.166580200195312,-0.9451980590820312,1.4284885411133272,0.410948955434594,-1.0175395856787333
B8192_recon,v6p1if1_0928,1.7203692187589201,2.2776717437313385,0.5573025249724184,2.528114597094935,9.38518589708917,6.857071299994236,1.314117431640625,10.316207885742188,9.002090454101562,0.24412334004177996,0.5758730572627133,0.3317497172209334
B8192_recon,v6p1if1_0543,2.6783243923461324,2.696544083488179,0.018219691142046468,2.0095168345647085,4.864994387110291,2.855477552545582,0.9234390258789062,2.9066009521484375,1.9831619262695312,0.22380523716712716,0.3820098899413126,0.1582046527741854
B8192_recon,v6p1if1_0632,1.9226157797249317,1.8014509656777815,-0.12116481404715018,1.6558776883794921,3.088318825374079,1.4324411369945869,2.1424484252929688,1.0470657348632812,-1.0953826904296875,0.49466726768657227,0.235530464625952,-0.25913680306062026
B8192_recon,v6p1if1_0599,0.8994440085849343,1.0151538326811802,0.11570982409624586,2.089005045308188,6.055280332585474,3.9662752872772855,3.0343399047851562,9.58453369140625,6.550193786621094,0.15018170218364768,0.22612076167025397,0.07593905948660629
B8192_recon,v6p1if1_0003,1.4187559698327192,1.735351099298883,0.31659512946616375,1.7674440009662629,3.5927918912518377,1.8253478902855749,2.5475921630859375,0.256683349609375,-2.2909088134765625,0.47587890445638464,0.3051273387339057,-0.17075156572247896
B8192_recon,v6p1if1_0029,1.3420493435567498,1.3314404114985463,-0.010608932058203457,0.6783558665464272,1.931111835110812,1.2527559685643848,0.4969367980957031,2.2963485717773438,1.7994117736816406,0.19057815010836274,0.17467407360494516,-0.015904076503417575
