system,resolution,workload,batch_size,batch_status,point_global_pct,sample_first_pct,raw_cv_rmse_K,source_rmse_K,peak_rmse_K,interface_rmse_K,b1_matched_continuous_e2e_median_s,b1_matched_continuous_e2e_p95_s,support_plus_cv_median_s,anchor_graph_median_s,query_graph_median_s,reconstruction_map_median_s,anchor_group_pack_median_s,query_group_pack_median_s,h2d_enqueue_median_s,h2d_sync_median_s,forward_median_s,reconstruction_apply_median_s,same_input_replay_median_s,batch_wall_s,samples_per_s,average_per_case_s,marginal_per_case_s,streamed_batch_median_s,peak_vram_bytes,processes,threads,provenance
E16384,16384,gpu_neural_reconstruction,1,passed,2.7022701863666154,2.738521950937166,2.2848059780011063,3.872082355580685,4.01776869521727,0.38573532298537117,0.7784087115433067,0.8191427497542463,0.226638124557212,0.02005282009486109,0.05379457795061171,0.10368767695035785,0.17112484201788902,0.18873553641606122,0.009164931951090693,0.00155204301699996,0.00792473100591451,0.0012800893746316433,0.0059203120181337,0.005872323992662132,170.29033160458584,0.005872323992662132,,0.01647473289631307,1001500672,,,P6_new_runtime_P5R_reused_accuracy
E16384,16384,gpu_neural_reconstruction,2,passed,2.7022701863666154,2.738521950937166,2.2848059780011063,3.872082355580685,4.01776869521727,0.38573532298537117,0.7784087115433067,0.8191427497542463,0.226638124557212,0.02005282009486109,0.05379457795061171,0.10368767695035785,0.17112484201788902,0.18873553641606122,0.009164931951090693,0.00155204301699996,0.00792473100591451,0.0012800893746316433,0.0059203120181337,0.01146428007632494,174.45491445470097,0.00573214003816247,0.005591956083662808,0.02551217097789049,1331150080,,,P6_new_runtime_P5R_reused_accuracy
E16384,16384,gpu_neural_reconstruction,4,passed,2.7022701863666154,2.738521950937166,2.2848059780011063,3.872082355580685,4.01776869521727,0.38573532298537117,0.7784087115433067,0.8191427497542463,0.226638124557212,0.02005282009486109,0.05379457795061171,0.10368767695035785,0.17112484201788902,0.18873553641606122,0.009164931951090693,0.00155204301699996,0.00792473100591451,0.0012800893746316433,0.0059203120181337,0.02121393894776702,188.55527065712803,0.005303484736941755,0.005113871651701629,0.039944878430105746,1834503680,,,P6_new_runtime_P5R_reused_accuracy
E16384,16384,gpu_neural_reconstruction,8,passed,2.7022701863666154,2.738521950937166,2.2848059780011063,3.872082355580685,4.01776869521727,0.38573532298537117,0.7784087115433067,0.8191427497542463,0.226638124557212,0.02005282009486109,0.05379457795061171,0.10368767695035785,0.17112484201788902,0.18873553641606122,0.009164931951090693,0.00155204301699996,0.00792473100591451,0.0012800893746316433,0.0059203120181337,0.04199507855810225,190.49851255621795,0.005249384819762781,0.005160393509348589,0.07070258294697851,2820092160,,,P6_new_runtime_P5R_reused_accuracy
E16384,16384,gpu_neural_reconstruction,16,passed,2.7022701863666154,2.738521950937166,2.2848059780011063,3.872082355580685,4.01776869521727,0.38573532298537117,0.7784087115433067,0.8191427497542463,0.226638124557212,0.02005282009486109,0.05379457795061171,0.10368767695035785,0.17112484201788902,0.18873553641606122,0.009164931951090693,0.00155204301699996,0.00792473100591451,0.0012800893746316433,0.0059203120181337,0.08625503850635141,185.49641014677462,0.005390939906646963,0.005358847634245952,0.13207235513255,4757941248,,,P6_new_runtime_P5R_reused_accuracy
E32768,32768,gpu_neural_reconstruction,1,passed,2.6724435845348524,2.6305356904863477,2.2086983972367,3.903573960651155,4.0511113387285205,0.38449247561747185,0.8614761739736423,0.9471397768007591,0.256962813436985,0.01980158407241106,0.0911294495454058,0.10378617863170803,0.16976064105983824,0.20386986306402832,0.009253954514861107,0.0014304944779723883,0.011682518175803125,0.001291365479119122,0.009292942471802235,0.009252610499970615,108.07760685518707,0.009252610499970615,,0.021326757967472076,1293741312,,,P6_new_runtime_P5R_reused_accuracy
E32768,32768,gpu_neural_reconstruction,2,passed,2.6724435845348524,2.6305356904863477,2.2086983972367,3.903573960651155,4.0511113387285205,0.38449247561747185,0.8614761739736423,0.9471397768007591,0.256962813436985,0.01980158407241106,0.0911294495454058,0.10378617863170803,0.16976064105983824,0.20386986306402832,0.009253954514861107,0.0014304944779723883,0.011682518175803125,0.001291365479119122,0.009292942471802235,0.016978353494778275,117.79705261850648,0.008489176747389138,0.007725742994807661,0.0316952730063349,1777072384,,,P6_new_runtime_P5R_reused_accuracy
E32768,32768,gpu_neural_reconstruction,4,passed,2.6724435845348524,2.6305356904863477,2.2086983972367,3.903573960651155,4.0511113387285205,0.38449247561747185,0.8614761739736423,0.9471397768007591,0.256962813436985,0.01980158407241106,0.0911294495454058,0.10378617863170803,0.16976064105983824,0.20386986306402832,0.009253954514861107,0.0014304944779723883,0.011682518175803125,0.001291365479119122,0.009292942471802235,0.03418562444858253,117.00824731214924,0.008546406112145633,0.008311004649537304,0.0536031051306054,2559669248,,,P6_new_runtime_P5R_reused_accuracy
E32768,32768,gpu_neural_reconstruction,8,passed,2.6724435845348524,2.6305356904863477,2.2086983972367,3.903573960651155,4.0511113387285205,0.38449247561747185,0.8614761739736423,0.9471397768007591,0.256962813436985,0.01980158407241106,0.0911294495454058,0.10378617863170803,0.16976064105983824,0.20386986306402832,0.009253954514861107,0.0014304944779723883,0.011682518175803125,0.001291365479119122,0.009292942471802235,0.06844806158915162,116.87694018303544,0.008556007698643953,0.008456493012740143,0.09877060900907964,4105992960,,,P6_new_runtime_P5R_reused_accuracy
E32768,32768,gpu_neural_reconstruction,16,passed,2.6724435845348524,2.6305356904863477,2.2086983972367,3.903573960651155,4.0511113387285205,0.38449247561747185,0.8614761739736423,0.9471397768007591,0.256962813436985,0.01980158407241106,0.0911294495454058,0.10378617863170803,0.16976064105983824,0.20386986306402832,0.009253954514861107,0.0014304944779723883,0.011682518175803125,0.001291365479119122,0.009292942471802235,0.13674704148434103,117.00435948248408,0.008546690092771314,0.00849962873229136,0.18710075051058084,7180848128,,,P6_new_runtime_P5R_reused_accuracy
U1-32768,32768,gpu_neural_reconstruction,1,passed,2.7485276744424527,2.7818140974435694,2.304400977198596,3.8141165082253026,3.5801907550612024,0.4321278547042875,0.9447144644800574,0.9943365248967894,0.28991047653835267,0.01961532491259277,0.017572329845279455,0.11520919506438076,0.16588662296999246,0.08611307549290359,0.006779053597711027,0.001625144504942,0.00675299356225878,0.0012994535500183702,0.006071998039260507,0.006027012481354177,165.91968294303504,0.006027012481354177,,0.01489757769741118,1187792128,,,U2_new_valid32_accuracy_and_runtime
U1-32768,32768,gpu_neural_reconstruction,2,passed,2.7485276744424527,2.7818140974435694,2.304400977198596,3.8141165082253026,3.5801907550612024,0.4321278547042875,0.9447144644800574,0.9943365248967894,0.28991047653835267,0.01961532491259277,0.017572329845279455,0.11520919506438076,0.16588662296999246,0.08611307549290359,0.006779053597711027,0.001625144504942,0.00675299356225878,0.0012994535500183702,0.006071998039260507,0.01036074839066714,193.03624840475618,0.00518037419533357,0.0043337359093129635,0.021656602970324457,1644019456,,,U2_new_valid32_accuracy_and_runtime
U1-32768,32768,gpu_neural_reconstruction,4,passed,2.7485276744424527,2.7818140974435694,2.304400977198596,3.8141165082253026,3.5801907550612024,0.4321278547042875,0.9447144644800574,0.9943365248967894,0.28991047653835267,0.01961532491259277,0.017572329845279455,0.11520919506438076,0.16588662296999246,0.08611307549290359,0.006779053597711027,0.001625144504942,0.00675299356225878,0.0012994535500183702,0.006071998039260507,0.021183749893680215,188.82398159323657,0.005295937473420054,0.005052245804108679,0.03754258749540895,2401360896,,,U2_new_valid32_accuracy_and_runtime
U1-32768,32768,gpu_neural_reconstruction,8,skipped_memory_feasibility,2.7485276744424527,2.7818140974435694,2.304400977198596,3.8141165082253026,3.5801907550612024,0.4321278547042875,0.9447144644800574,0.9943365248967894,0.28991047653835267,0.01961532491259277,0.017572329845279455,0.11520919506438076,0.16588662296999246,0.08611307549290359,0.006779053597711027,0.001625144504942,0.00675299356225878,0.0012994535500183702,0.006071998039260507,,,,,,,,,U2_new_valid32_accuracy_and_runtime
U1-32768,32768,gpu_neural_reconstruction,16,skipped_memory_feasibility,2.7485276744424527,2.7818140974435694,2.304400977198596,3.8141165082253026,3.5801907550612024,0.4321278547042875,0.9447144644800574,0.9943365248967894,0.28991047653835267,0.01961532491259277,0.017572329845279455,0.11520919506438076,0.16588662296999246,0.08611307549290359,0.006779053597711027,0.001625144504942,0.00675299356225878,0.0012994535500183702,0.006071998039260507,,,,,,,,,U2_new_valid32_accuracy_and_runtime
FVM,240825,cpu_known_topology_new_physics_serial,1,passed,,,,,,,1.573042240459472,1.833449543407187,,,,,,,,,,,,1.573042240459472,0.6357108374330168,1.573042240459472,,,,1,1,P6_new_same_host_FVM_runtime
FVM,240825,cpu_known_topology_new_physics_serial,32,passed,,,,,,,1.573042240459472,1.833449543407187,,,,,,,,,,,,51.374772682087496,0.622873802245693,1.6054616463152342,,,,1,1,P6_new_same_host_FVM_runtime
