system,resolution,semantic,batch_or_processes,point_global_pct,sample_first_pct,raw_cv_rmse_K,source_rmse_K,peak_rmse_K,interface_rmse_K,b1_e2e_median_s,b1_e2e_p95_s,batch_wall_s,samples_per_s,average_per_case_s,marginal_per_case_s,peak_vram_bytes,provenance
E16384,16384,resident_prepared_group_inference,1,2.7022701863666154,2.738521950937166,2.2848059780011063,3.872082355580685,4.01776869521727,0.38573532298537117,0.7784087115433067,0.8191427497542463,0.005872323992662132,170.29033160458584,0.005872323992662132,,1001500672,P6_reused_valid32
E16384,16384,resident_prepared_group_inference,2,2.7022701863666154,2.738521950937166,2.2848059780011063,3.872082355580685,4.01776869521727,0.38573532298537117,0.7784087115433067,0.8191427497542463,0.01146428007632494,174.45491445470097,0.00573214003816247,0.005591956083662808,1331150080,P6_reused_valid32
E16384,16384,resident_prepared_group_inference,4,2.7022701863666154,2.738521950937166,2.2848059780011063,3.872082355580685,4.01776869521727,0.38573532298537117,0.7784087115433067,0.8191427497542463,0.02121393894776702,188.55527065712803,0.005303484736941755,0.005113871651701629,1834503680,P6_reused_valid32
E16384,16384,resident_prepared_group_inference,8,2.7022701863666154,2.738521950937166,2.2848059780011063,3.872082355580685,4.01776869521727,0.38573532298537117,0.7784087115433067,0.8191427497542463,0.04199507855810225,190.49851255621795,0.005249384819762781,0.005160393509348589,2820092160,P6_reused_valid32
E16384,16384,resident_prepared_group_inference,16,2.7022701863666154,2.738521950937166,2.2848059780011063,3.872082355580685,4.01776869521727,0.38573532298537117,0.7784087115433067,0.8191427497542463,0.08625503850635141,185.49641014677462,0.005390939906646963,0.005358847634245952,4757941248,P6_reused_valid32
E32768,32768,resident_prepared_group_inference,1,2.6724435845348524,2.6305356904863477,2.2086983972367,3.903573960651155,4.0511113387285205,0.38449247561747185,0.8614761739736423,0.9471397768007591,0.009252610499970615,108.07760685518707,0.009252610499970615,,1293741312,P6_reused_valid32
E32768,32768,resident_prepared_group_inference,2,2.6724435845348524,2.6305356904863477,2.2086983972367,3.903573960651155,4.0511113387285205,0.38449247561747185,0.8614761739736423,0.9471397768007591,0.016978353494778275,117.79705261850648,0.008489176747389138,0.007725742994807661,1777072384,P6_reused_valid32
E32768,32768,resident_prepared_group_inference,4,2.6724435845348524,2.6305356904863477,2.2086983972367,3.903573960651155,4.0511113387285205,0.38449247561747185,0.8614761739736423,0.9471397768007591,0.03418562444858253,117.00824731214924,0.008546406112145633,0.008311004649537304,2559669248,P6_reused_valid32
E32768,32768,resident_prepared_group_inference,8,2.6724435845348524,2.6305356904863477,2.2086983972367,3.903573960651155,4.0511113387285205,0.38449247561747185,0.8614761739736423,0.9471397768007591,0.06844806158915162,116.87694018303544,0.008556007698643953,0.008456493012740143,4105992960,P6_reused_valid32
E32768,32768,resident_prepared_group_inference,16,2.6724435845348524,2.6305356904863477,2.2086983972367,3.903573960651155,4.0511113387285205,0.38449247561747185,0.8614761739736423,0.9471397768007591,0.13674704148434103,117.00435948248408,0.008546690092771314,0.00849962873229136,7180848128,P6_reused_valid32
