system,semantic,batch_or_processes,total_wall_s,samples_per_s,average_per_case_s,marginal_per_case_s,cpu_preprocess_s,h2d_s,forward_reconstruction_s,peak_vram_bytes,provenance
E16384,fresh_distinct_case_batch,1,0.753846479812637,1.3265300386473153,0.753846479812637,,0.7259114510379732,0.01612310204654932,0.007195021957159042,305492480,P7_new_valid32
E16384,fresh_distinct_case_batch,2,1.2776220091618598,1.565408223760979,0.6388110045809299,0.5237755293492228,1.2312017150688916,0.014547348022460938,0.0128506850451231,591471616,P7_new_valid32
E16384,fresh_distinct_case_batch,4,2.3601891300641,1.6947794348545977,0.590047282516025,0.5354475500838211,2.268857816932723,0.020304881036281586,0.032666722079738975,1078650368,P7_new_valid32
E16384,fresh_distinct_case_batch,8,4.498713673092425,1.7782861016137494,0.5623392091365531,0.5349810276113983,4.294802979100496,0.028937432216480374,0.08927106880582869,2075323392,P7_new_valid32
E16384,fresh_distinct_case_batch,16,9.035548671148717,1.7707834446279254,0.5647217919467948,0.5521134794224054,8.515081997029483,0.12643996509723365,0.220090975984931,4380571136,P7_new_valid32
E16384,fresh_distinct_case_batch,32,17.5238754900638,1.8260800824648802,0.5476211090644938,0.5409686777500375,16.568069154163823,0.24478094605728984,0.34337022295221686,8734850560,P7_new_valid32
FVM,parallel_independent_known_topology_new_physics,1,100.2667207790073,0.319148763930652,3.133335024343978,,,,,,P7_new_valid32
FVM,parallel_independent_known_topology_new_physics,2,63.0559575620573,0.5074857513424771,1.9704986738142907,,,,,,P7_new_valid32
FVM,parallel_independent_known_topology_new_physics,4,58.857231861911714,0.5436884982133888,1.839288495684741,,,,,,P7_new_valid32
FVM,parallel_independent_known_topology_new_physics,8,61.76258315797895,0.5181130445620943,1.9300807236868422,,,,,,P7_new_valid32
