route,stage,reference_median_s,candidate_median_s,median_speedup,candidate_p95_s
B8192_adaptive,support_ordering,2.1388850904768333,0.71634167060256,2.98584485344498,0.7223103437805548
B8192_adaptive,cv_redistribution,0.053047126973979175,0.04083374317269772,1.299100274731795,0.042616756074130534
B8192_adaptive,regional_prepare,0.0020095370709896088,0.0017849430441856384,1.1258269990942142,0.002546459122095257
B8192_adaptive,coverage,0.03778947948012501,0.015186151955276728,2.4884170520231303,0.01702679293230176
B8192_adaptive,p2r,0.016904065501876175,0.015613538445904851,1.0826543618182722,0.018128200143110007
B8192_adaptive,r2r,0.02530799398664385,0.02503444696776569,1.0109268249157004,0.02691111232852563
B8192_adaptive,r2p,0.0170065900310874,0.0023361709900200367,7.279685478391091,0.004779324366245419
B8192_adaptive,reconstruction_map,0.14187431905884296,0.10190363344736397,1.3922400434536513,0.10504422734957189
B8192_adaptive,packing,0.0041037468472495675,0.007523237960413098,0.5454761458886822,0.008552198158577084
B8192_adaptive,graph_total,0.10997258254792541,0.07392534101381898,1.4876168447754345,0.07810232973424718
B8192_adaptive,total_adaptive_preprocessing,2.443445095093921,0.9324844685615972,2.620360099791318,0.9401507965289057
E32768_adaptive,support_ordering,2.1388850904768333,0.71634167060256,2.98584485344498,0.7223103437805548
E32768_adaptive,cv_redistribution,0.07248126692138612,0.047186388983391225,1.5360630148430778,0.0497134254896082
E32768_adaptive,regional_prepare,0.00245493755210191,0.002018489991314709,1.216224783211795,0.0029413041891530154
E32768_adaptive,coverage,0.11955426295753568,0.04478420689702034,2.6695630277085485,0.05096177170053125
E32768_adaptive,p2r,0.029521427466534078,0.027671720483340323,1.0668446685238586,0.0299934254726395
E32768_adaptive,r2r,0.010399307473562658,0.010093351476825774,1.0303126268256244,0.012014627875760197
E32768_adaptive,r2p,0.029277801513671875,0.004661220940761268,6.281144336593115,0.00498348381370306
E32768_adaptive,reconstruction_map,0.1752056988188997,0.11067808698862791,1.58302066457746,0.11388549214461818
E32768_adaptive,packing,0.004926378955133259,0.008044210029765964,0.6124130196631112,0.008737754437606781
E32768_adaptive,graph_total,0.2033569678897038,0.10275105200707912,1.9791229765286817,0.10946269572013989
E32768_adaptive,total_adaptive_preprocessing,2.588092989521101,0.9764517311705276,2.6505078611705755,0.9827209318755195
