candidate,resolution,evidence,factor,coverage_mode,support_pg_pct,support_sample_first_pct,support_raw_cv_rmse_K,full_pg_pct,full_sample_first_pct,full_raw_cv_rmse_K,source_rmse_K,background_rmse_K,interface_rmse_K,peak_rmse_K,oracle_floor_pg_pct,oracle_floor_raw_K,common_anchor_response_rmse_K,common_anchor_response_max_K,delta_k_max,delta_q_max,delta_cv_max,regional_nodes,p2r_edges,r2r_edges,r2p_edges,physical_degree_p5,physical_degree_median,physical_degree_mean,physical_degree_p95,regional_degree_p5,regional_degree_median,regional_degree_mean,regional_degree_p95,r2r_degree_mean,r2p_regional_degree_mean,r2p_physical_degree_mean,source_degree_mean,interface_degree_mean,background_degree_mean,target_radius_p5,target_radius_median,target_radius_p95,target_radius_max,realized_radius_p5,realized_radius_median,realized_radius_p95,physical_coverage_radius_median_m,normalized_p2r_edge_length_median,physical_p2r_edge_length_median_m,undercovered_fraction,r2r_components_max,receptive_field_proxy_m,graph_median_s,graph_p95_s,warm_median_s,warm_p95_s,new_case_median_s,new_case_p95_s,peak_vram_bytes,artifact_sha256
A,8192,historical_read_only,4,discrete_physical_coverage,3.041382148684537,2.69646626089361,2.2143972300273798,2.7427579982503554,3.0860043929392598,2.491699688318761,3.6060349963750618,2.4865895607037545,0.5623705985613656,3.369423744840235,1.0807464629146346,1.1917747645083332,,,,,,2048.0,22700.0625,35973.8125,22700.0625,,,,,,,11.084014892578125,,17.565338134765625,11.084014892578125,,4.625713360394024,2.168546866232596,1.9011843241871076,,0.09233219490852207,,,,,,0.000387572227082488,,0.00033564597195414036,0.0,1.0,,,,0.004326750058680773,0.004637661727610975,0.346083189942874,0.3595675714430399,162774272,2db85843391ebbf7d5015eff833e266bc82fb654ebd0f694b2f8e242c4e759d3
A,16384,historical_read_only,4,discrete_physical_coverage,3.138509211657211,3.0141574971878917,2.4270317553353413,2.8173708946158174,3.1586288748782647,2.5342753349123437,3.7365713301693875,2.528700150796364,0.5954506934552837,3.496277891479243,0.7088529457821527,0.7741530600258646,,,,,,4096.0,38712.21875,73177.1875,38712.21875,,,,,,,9.451225280761719,,17.865524291992188,9.451225280761719,,3.9534693724435424,2.1466149787556996,1.8814520574492968,,0.07821103965397924,,,,,,0.0003497321891998865,,0.0002696609135649942,0.0,1.0,,,,0.008008401957340539,0.008662753237877041,0.36340211250353605,0.37208423799602314,244753664,3055dd4809ac450464bcf64e31d9063b049f0530590a9ba41a8ce23b94cc40ff
B,8192,new_valid32_seed0,8,discrete_physical_coverage,3.0140777212477823,2.6364906478779044,2.179388373613362,2.739835066049737,3.031378229750308,2.4587887815005853,3.587522396517475,2.4535874109722178,0.5100798090283039,3.4786064303177264,1.0807464629146346,1.1917747645083332,2.1858883405442286,10.801773071289062,138.54291758292194,9247536215.500257,3.710937500000004e-10,1024.0,34946.5,16120.9375,34946.5,1.0,3.0,4.26593017578125,11.076562499999994,3.65625,17.8125,34.12744140625,138.33593749999983,15.74310302734375,34.12744140625,4.26593017578125,8.383718077054361,2.823099263113228,2.3925430569325536,0.030994704418117178,0.15061520342715085,0.2528756968677043,0.3605159539729357,0.030994701100280506,0.15061518852598965,0.2528756723273545,0.0006975079021275368,0.11054058175068349,0.00048140853977488116,0.0,1.0,0.004914877168625777,0.103042675065808,0.10794107133988291,0.0026642305310815573,0.0037145422073081137,0.4418046238133684,0.4548626501346007,190544896,285c924897245e085b32079cada0c0840cbd6834ffd2197ddd54d63eeca8dcd1
B,16384,new_valid32_seed0,8,discrete_physical_coverage,3.0413798885185654,2.855784844025235,2.3278172905619345,2.7558152920029935,3.003880672299391,2.4357614021543434,3.6838103894423657,2.4298846197266464,0.546116829368644,3.440714127890834,0.7088529457821527,0.7741530600258646,2.256876421539233,12.45751953125,138.54291758292194,9247536215.500257,1.9287109375000025e-10,2048.0,54934.75,32975.5,54934.75,1.0,2.71875,3.3529510498046875,8.4375,3.8031250000000005,17.21875,26.8236083984375,83.24843749999991,16.101318359375,26.8236083984375,3.3529510498046875,6.921491179536517,2.6815089410259203,2.3327042714562722,0.031792852701619266,0.1230929990997538,0.1910996559541672,0.27863779850304127,0.03179284909274429,0.12309298862237483,0.191099641053006,0.0005676063594982547,0.09384090057574213,0.00036913337700800566,0.0,1.0,0.003833651749938283,0.1807095535332337,0.18693403322249652,0.004963301471434534,0.005227320385165514,0.5456065846374258,0.5555880114203319,249393664,5b81fc3ab25f28cfd683419106f7a55434a4044e41339d15d463e099bb9a79fb
C,8192,new_valid32_seed0,4,native1024_physical_coverage_v1,3.1725955678138824,2.8232901544754285,2.2977274729978796,2.8408755927064457,3.1839123507304103,2.5561062680828748,3.675714056039063,2.5509914036543413,0.6303295914089314,3.3909844515548557,1.0807464629146346,1.1917747645083332,2.2886265917266697,14.23016357421875,138.54291758292194,9247536215.500257,3.710937500000004e-10,2048.0,250434.78125,35973.8125,250434.78125,3.9375,17.34375,30.57065200805664,94.0765625,1.0109375000000003,59.21875,122.28260803222656,465.80312499999974,17.565338134765625,122.28260803222656,30.57065200805664,67.28138875123088,18.587760048342155,13.911401259751562,0.012852806344744758,0.21914176759310067,0.3969088686630127,0.5338934743776917,9.824000298977138e-05,0.21682504774071276,0.39555384675040817,0.0010501295958044114,0.1511113583110273,0.0006782406156321836,0.003459930419921875,1.0,0.00547907150417549,0.16122188058216125,0.1773349178605713,0.019107364933006465,0.01949679832905531,0.6106627730187029,0.6324956246535294,881458432,9ecabb2432a81109074224ed97292e37cc59beff9275d63cda4cd38e020911f2
C,16384,new_valid32_seed0,4,native1024_physical_coverage_v1,3.1317284157738356,2.9666512956326763,2.407902784222582,2.816634652266475,3.1126724984289105,2.513144336411271,3.7617685679506203,2.507301487813627,0.6542138280566897,3.536208945167947,0.7088529457821527,0.7741530600258646,2.370470773388064,16.167236328125,138.54291758292194,9247536215.500257,1.9287109375000025e-10,4096.0,733922.1875,73177.1875,733922.1875,9.3125,33.6875,44.7950553894043,117.51249999999982,1.03125,109.71875,179.1802215576172,609.6953125,17.865524291992188,179.1802215576172,44.7950553894043,92.4504659638732,37.15071057385635,30.396861191442234,0.003388799843378365,0.2310520294122398,0.4037880396936089,0.5338934743776917,0.0009765625,0.23029372585006058,0.40330297918990254,0.0011281414647503003,0.18978770961984992,0.000802341184606068,0.000949859619140625,1.0,0.005206075343602328,0.36870955396443605,0.4025260191177949,0.04735436837654561,0.04760442469269037,0.9091930924914777,0.9635997535195202,2331220992,3456bbcf6b446fdbfcb51076dc15c6aa8b077522030a76bf198b931b2b90f51c
P1h_context,8192,historical_graph_only_read_only,8,discrete_physical_coverage,,,,,,,,,,,,,,,,,,1024.0,28902.0,16024.0,28902.0,,,,,,,28.224609375,,15.6484375,28.224609375,,4.517723314861952,3.4342568370420183,3.4685400607957413,,0.10539498925209045,,,,,,0.000499765472617969,,0.0004687500000000004,0.0,1.0,,,,,,,,,
P1h_context,16384,historical_graph_only_read_only,8,discrete_physical_coverage,,,,,,,,,,,,,,,,,,2048.0,58830.0,32654.0,58830.0,,,,,,,28.7255859375,,15.9443359375,28.7255859375,,4.397371723614707,3.4281963096682735,3.55408229920398,,0.07784438878297806,,,,,,0.0003513930339868007,,0.0003513924376517027,0.0,1.0,,,,,,,,,
