route,output_mode,N,Nr,point_global_pct,sample_first_pct,raw_cv_rmse_K,source_rmse_K,peak_rmse_K,interface_rmse_K,oracle_point_global_pct,support_plus_cv_median_s,graph_median_s,reconstruction_map_median_s,anchor1024_median_s,forward_median_s,reconstruction_median_s,matched_continuous_e2e_median_s,matched_continuous_e2e_p95_s,peak_vram_bytes,p2r_edges_mean,r2r_edges_mean,speedup_vs_fvm_known_topology_new_physics,accuracy_provenance,timing_provenance
native1024_reconstruction,reconstruction,1024,256.0,3.072016336577396,3.7931878131018726,2.930207414123984,2.962902004198149,2.675661134005621,1.4166803298198338,2.489856066895459,6.748596206307411e-07,1.1977678430266678,0.09966657101176679,0.0027310989098623395,0.000477440538816154,0.0023754624417051673,1.6721858559176326,1.738907073449809,154959104,2595.8125,4120.25,1.0085187289771413,new_same_execution:/tmp/v6_p1i_p5r_valid32_2842ecd/cells/native1024_reconstruction.json,new_same_execution:/tmp/v6_p1i_p5r_valid32_2842ecd/cells/native1024_reconstruction.json
B4096_reconstruction,reconstruction,4096,512.0,2.7951646548208116,3.258762350905094,2.612940964026318,3.519986280835904,3.688481313793535,0.645705941549213,1.4887712831896143,0.22006428590975702,2.3324724324047565,0.10335483006201684,0.005108200013637543,0.015544038033112884,0.0035644129384309053,3.2658238015137613,3.619745085015893,158904832,17097.9375,7866.5,0.5163875507435265,new_same_execution:/tmp/v6_p1i_p5r_valid32_2842ecd/cells/B4096_reconstruction.json,new_same_execution:/tmp/v6_p1i_p5r_valid32_2842ecd/cells/B4096_reconstruction.json
B8192_reconstruction,reconstruction,8192,1024.0,2.7398288215068103,3.0313757003184425,2.4587918319961273,3.5875048045085114,3.4791907326475875,0.5100970033953852,1.0807464629146346,0.229726291494444,2.4433685520198196,0.10440571093931794,0.0039254899602383375,0.023582603549584746,0.002709761029109359,3.387036320520565,3.8734098657267166,171310848,34947.5,16121.9375,0.49790749033491644,new_same_execution:/tmp/v6_p1i_p5r_valid32_2842ecd/cells/B8192_reconstruction.json,new_same_execution:/tmp/v6_p1i_p5r_valid32_2842ecd/cells/B8192_reconstruction.json
E16384_reconstruction,reconstruction,16384,256.0,2.7022701863666154,2.738521950937166,2.2848059780011063,3.872082355580685,4.01776869521727,0.38573532298537117,0.7088529457821527,0.24518232350237668,2.2020601904951036,0.10712523257825524,0.0028632314642891288,0.010806637117639184,0.003294534981250763,3.223885616986081,3.6245369096286595,300780544,89134.65625,3523.0625,0.5231050212011554,new_same_execution:/tmp/v6_p1i_p5r_valid32_2842ecd/cells/E16384_reconstruction.json,new_same_execution:/tmp/v6_p1i_p5r_valid32_2842ecd/cells/E16384_reconstruction.json
E32768_reconstruction,reconstruction,32768,256.0,2.6724435845348524,2.6305356904863477,2.2086983972367,3.903573960651155,4.0511113387285205,0.38449247561747185,0.4676680532241624,0.27767659805249423,2.2911727784667164,0.11218585760798305,0.00305059552192688,0.016695191618055105,0.0029298315057531,3.366695573902689,3.714716793654952,437495040,155038.5,3531.125,0.5009157249310444,new_same_execution:/tmp/v6_p1i_p5r_valid32_2842ecd/cells/E32768_reconstruction.json,new_same_execution:/tmp/v6_p1i_p5r_valid32_2842ecd/cells/E32768_reconstruction.json
E240825_direct,direct,240825,256.0,3.0670958565907793,3.039443376656023,2.4883756380040065,4.734618272189614,7.206822842180535,0.4743599140172052,0.0,5.271297413855791e-05,1.7195339675527066,4.130415618419647e-07,0.0028466919902712107,0.09473896748386323,5.1588984206318855e-05,2.476496828487143,2.5860743336728773,4090321408,2002581.0,3571.0,0.6809743241439242,new_same_execution:/tmp/v6_p1i_p5r_valid32_2842ecd/cells/E240825_direct.json,new_same_execution:/tmp/v6_p1i_p5r_valid32_2842ecd/cells/E240825_direct.json
