route,system,measurement_domain,point_global_pct,raw_cv_rmse_K,source_rmse_K,peak_rmse_K,interface_rmse_K,regional_nodes,p2r_edges,r2r_edges,process_cold_median_s,process_cold_p95_s,fresh_topology_median_s,fresh_topology_p95_s,known_support_new_physics_median_s,known_support_new_physics_p95_s,same_input_replay_median_s,same_input_replay_p95_s,static_graph_load_s,reconstruction_map_load_s,dynamic_prepare_median_s,dynamic_h2d_median_s,forward_median_s,reconstruction_median_s,peak_vram_bytes,process_cold_speedup_vs_fvm,known_physics_speedup_vs_fvm,same_input_speedup_vs_fvm,static_cache_speedup_vs_p2,equivalence,provenance
B8192_recon,GPU_RIGNO,reconstructed_full_240825,2.739835066049737,2.4587887815005853,3.587522396517475,3.4786064303177264,0.5100798090283039,1024.0,34946.5,16120.9375,10.308110977057368,11.005942636064718,0.4418046238133684,0.4548626501346007,0.014892891980707645,0.01613511177711189,0.0026642305310815573,0.0037145422073081137,0.005151611054316163,0.014599449001252651,0.010809073457494378,0.00040631042793393135,0.0029194799717515707,0.0012368265306577086,94325248,0.22680046045775565,113.23729173677067,608.317275526417,3.709637726460828,passed_tree_and_hash_exact_prediction_within_frozen_GPU_replay_envelope,configs/heat3d_v6_p1i/v6_p1i_graph_scale_ablation_raw/B_8192.json;configs/heat3d_v6_p1i/v6_p1i_performance_p3_raw/B_8192.json
E32768_recon,GPU_RIGNO,reconstructed_full_240825,2.6724606376756133,2.2087146445648043,3.903574068592729,4.051528852456719,0.3844841081111273,256.0,155037.5,3530.125,9.850872718496248,10.983370477729475,0.5640492564998567,0.5775734907248988,0.037682767026126385,0.03968719318509102,0.008730652974918485,0.009644364123232663,0.012299792841076851,0.015183697920292616,0.02804823499172926,0.0004890195559710264,0.008636305457912385,0.0002598459832370281,419708672,0.23732763409444788,44.753368372719564,185.6330176789513,2.148159312950911,passed_tree_and_hash_exact_prediction_within_frozen_GPU_replay_envelope,configs/heat3d_v6_p1i/v6_p1i_graph_resolution_raw/E_32768.json;configs/heat3d_v6_p1i/v6_p1i_performance_p3_raw/E_32768.json
B240825_direct,GPU_RIGNO,direct_full_grid_240825,3.5665320627738217,2.920099323733057,3.974425098137447,3.517548747747391,0.6562215722995057,30103.0,598497.0,501480.0,13.625646177912131,13.694262893311679,3.2197206770069897,3.2982760112150573,0.1966315055033192,0.1995832785847597,0.08623344299849123,0.08688304928364232,0.03514151298440993,0.0,0.11505484452936798,0.0005786831025034189,0.07913489150814712,0.0,1625266176,0.17157970238769935,8.576605003897184,18.79430301849583,1.343830767636074,passed_tree_and_hash_exact_prediction_within_frozen_GPU_replay_envelope,configs/heat3d_v6_p1i/v6_p1i_full_grid_raw/B_240825.json;configs/heat3d_v6_p1i/v6_p1i_performance_p3_raw/B_240825.json
E240825_direct,GPU_RIGNO,direct_full_grid_240825,3.0670995080019767,2.4883791404679236,4.734622141047968,7.2073060430370885,0.4743557545331674,256.0,2002580.0,3570.0,10.899459723965265,11.064614169322885,1.5714656750205904,1.6313549989252352,0.3246972110355273,0.3610708695021458,0.09336033603176475,0.09401383431395516,0.07161792600527406,0.0,0.237726065563038,0.0005687979282811284,0.08619117049966007,0.0,4174894080,0.21449543144838792,5.1938566045739165,17.359593237650824,1.2101753114178286,passed_tree_and_hash_exact_prediction_within_frozen_GPU_replay_envelope,configs/heat3d_v6_p1i/v6_p1i_full_grid_raw/E_240825.json;configs/heat3d_v6_p1i/v6_p1i_performance_p3_raw/E_240825.json
FVM240825,CPU_FVM,full_240825_reference,0.06964839353793924,0.03655308281557931,0.29555740210047954,0.5096626175014703,0.00022646361985941381,,,,2.3378843160462566,2.670287739956984,N/A,N/A,1.686430754023604,1.8391671155870426,1.6206974580418319,1.898054601694457,,,,,,,0,1.0,1.0,1.0,N/A,reference,configs/heat3d_v6_p1i/v6_unified_performance_timing.csv
