seed,policy,resolution,full_point_global_pct,full_sample_first_pct,full_raw_cv_rmse_K,source_rmse_K,peak_rmse_K,interface_rmse_K,fresh_median_s,fresh_p95_s,warm_median_s,warm_p95_s,peak_vram_bytes,raw_result_sha256
0,A,8192,3.3837359127059106,3.434270668819064,2.7089992484927348,3.583225809755609,4.535280432095752,0.5184507934334965,0.5077792624942958,0.5197519322973676,0.003561864490620792,0.0036511551006697127,228004096,b9897c258983415bec1423c205f16e0c31db24f6b62d0491cbd07780aaa9e5f3
0,A,16384,3.4928146306916186,3.5779825348925165,2.792546673631968,3.667365596240227,4.56948092594023,0.5566996487585887,0.6138713400578126,0.6225305562838912,0.006806233432143927,0.007031545403879137,393677312,48e190997e0559b0ab9b3db904a057cc99da5769ceea9f61b1bdb9c9a95b1bd7
0,B,8192,3.336407553517958,3.3375859574567124,2.642754156114684,3.3855139539603365,4.397421256855461,0.4763777593637945,0.45815514598507434,0.4676386599894613,0.0024797554360702634,0.0026376687455922374,229085696,7f8e33a44417e129186e9996287a1e47f653ecb7d4f859402d78e9403519247c
0,B,16384,3.3430515128354203,3.35545774996193,2.6520439820266093,3.390777121493346,4.4823526740338675,0.5193194650957563,0.5412299504969269,0.5509288218454458,0.004639025428332388,0.004877120291348547,325849088,d58950954d4b0c728ae1ebad029ac7b6d04b21f68610c29c05f8bb062531ddd2
1,A,8192,3.289470789730966,3.4081429796908824,2.6665374712179246,3.415324585379126,4.315181322954201,0.6174763910498275,0.5047051955480129,0.5146453080815263,0.0035751998657360673,0.0036854773992672568,226700544,842e089deb4601c44715a4d81a334fa2c60d55f40778be56c1b2d5f04702930d
1,A,16384,3.3400708657388867,3.539665753348418,2.7450015906065977,3.4528042608626164,4.35908451896354,0.6844209717931801,0.6151199386222288,0.6243326184339821,0.006796998553909361,0.007024947518948466,394061312,881a4ea498a2cdc3eb521cd093d02187028e38418d3ea8ff4b6f9a696aa97bf9
1,B,8192,3.3078971003266635,3.262613241413755,2.571023387007792,3.3993889797860453,4.343846000913335,0.5193815325609246,0.45575137599371374,0.46399634302360937,0.002498948946595192,0.0033027830766514028,226882560,c527d96041bd344c4a88954370d3998ca618f7338e84f69e6a8a23fe984a7ea7
1,B,16384,3.2344317857383063,3.2869983686845803,2.5825685947690347,3.352017156163984,4.227701351355722,0.6172456372106704,0.5450622035423294,0.5560916552785784,0.004670262569561601,0.006892779201734811,330662400,51c27c8242247a42cb07a019d53ff9809df9f97c5ddfd3852026d08d42efbeab
2,A,8192,3.332997952974359,3.4813889168924006,2.7222243401128607,3.6110603063592674,4.1549950705089165,0.5144231616905404,0.5091682134661824,0.5192478097742423,0.0035933934850618243,0.0037966747535392647,226644736,44b01d33e7c241a577b38aecd3ff80f69a298181aa1053d8617f28476fad1aa9
2,A,16384,3.3658714125556397,3.553838334186029,2.778699164963808,3.723699480244365,4.392724263255926,0.5421886659006152,0.6140358680859208,0.6253597081522457,0.006803886499255896,0.00705923738423735,392319744,9838bc374a5dfa8b84e8469d9031048c29b14abdf8990c478725284bc4a97d3a
2,B,8192,3.338772310148653,3.3742133573897655,2.638139779893149,3.536124179851087,4.182585147708628,0.46698153348970334,0.46039870800450444,0.4700530171976425,0.0024858081014826894,0.002590324508491904,233312256,7212738f79d1675ca5628cfbdde85f961c249b1b7ff866ab700687f2753fd0b3
2,B,16384,3.270161611752244,3.378484682905164,2.6547456574885113,3.551996303117223,4.458523932886391,0.5083484711395059,0.5455052684992552,0.5562902867095545,0.0046928225783631206,0.004922081553377211,336883200,d611248668ecdcdc03f7250af97841a0673917e6564168acee96893dc2a9f236
