seed,route,population,PG_pct,raw_K,source_K,peak_K,interface_K
0,E16384_reconstruction,valid96,3.367457635538948,2.479598423158912,4.087603797006549,5.499716179896907,0.3862066809958976
0,E240825_direct,valid96,4.237667762514514,2.9385470784947483,6.010089985825075,10.534402357156331,0.5262372660591051
1,E16384_reconstruction,valid96,3.2904776903089843,2.402470200593178,4.019791825004604,5.233634493789519,0.45800152130336974
1,E240825_direct,valid96,4.269398862654437,2.7961120167404814,6.264914791392683,9.864816017416182,0.6277879934480834
2,E16384_reconstruction,valid96,3.41190917220393,2.4882856364679986,4.178839694085268,5.203614937308292,0.41381447133854043
2,E240825_direct,valid96,4.294529532802824,2.911875888930511,6.134934444193222,10.572332770997445,0.566844444345571
