system,resolution,batch_size,status,point_global_pct,raw_cv_rmse_K,source_rmse_K,peak_rmse_K,interface_rmse_K,fresh_b1_median_s,fresh_b1_p95_s,anchor_graph_median_s,query_graph_median_s,anchor_group_pack_median_s,query_group_pack_median_s,h2d_enqueue_median_s,h2d_sync_median_s,anchor_forward_median_s,query_forward_median_s,reconstruction_median_s,same_input_replay_median_s,batch_wall_s,samples_per_s,average_per_case_s,marginal_per_case_s,streamed_batch_median_s,peak_vram_bytes,b1_speedup_vs_serial_fvm,batch_speedup_vs_serial_fvm_cases,provenance
native1024,1024,1,passed,3.072016336577396,2.930207414123984,2.962902004198149,2.675661134005621,1.4166803298198338,0.298375679529272,0.31977144548436626,0.021086897002533078,0.0,0.15495992405340075,0.0,0.008420200436376035,0.0028027164516970515,0.0021318296203389764,0.0,0.0013023799983784556,0.0015264196554198861,0.0014423044631257653,693.3348856404409,0.0014423044631257653,,0.011702331947162747,618021120,5.2720189626083425,1090.645061896551,P6_new_runtime_P5R_reused_accuracy
native1024,1024,2,passed,3.072016336577396,2.930207414123984,2.962902004198149,2.675661134005621,1.4166803298198338,0.298375679529272,0.31977144548436626,0.021086897002533078,0.0,0.15495992405340075,0.0,0.008420200436376035,0.0028027164516970515,0.0021318296203389764,0.0,0.0013023799983784556,0.0015264196554198861,0.0014629210345447063,1367.1277893836864,0.0007314605172723532,2.061657141894102e-05,0.012971985386684537,753598464,5.2720189626083425,2150.5497608065193,P6_new_runtime_P5R_reused_accuracy
native1024,1024,4,passed,3.072016336577396,2.930207414123984,2.962902004198149,2.675661134005621,1.4166803298198338,0.298375679529272,0.31977144548436626,0.021086897002533078,0.0,0.15495992405340075,0.0,0.008420200436376035,0.0028027164516970515,0.0021318296203389764,0.0,0.0013023799983784556,0.0015264196554198861,0.002732347580604255,1463.942592221523,0.0006830868951510638,0.00043001437249283,0.019577817991375923,817526272,5.2720189626083425,2302.8435351721914,P6_new_runtime_P5R_reused_accuracy
native1024,1024,8,passed,3.072016336577396,2.930207414123984,2.962902004198149,2.675661134005621,1.4166803298198338,0.298375679529272,0.31977144548436626,0.021086897002533078,0.0,0.15495992405340075,0.0,0.008420200436376035,0.0028027164516970515,0.0021318296203389764,0.0,0.0013023799983784556,0.0015264196554198861,0.0037851205561310053,2113.53902243401,0.00047314006951637566,0.00033468801328646284,0.02976480301003903,1025377024,5.2720189626083425,3324.6861591481165,P6_new_runtime_P5R_reused_accuracy
native1024,1024,16,passed,3.072016336577396,2.930207414123984,2.962902004198149,2.675661134005621,1.4166803298198338,0.298375679529272,0.31977144548436626,0.021086897002533078,0.0,0.15495992405340075,0.0,0.008420200436376035,0.0028027164516970515,0.0021318296203389764,0.0,0.0013023799983784556,0.0015264196554198861,0.0071165579138323665,2248.2779166176665,0.0004447848696145229,0.0003782835633804401,0.04917197162285447,1528272384,5.2720189626083425,3536.636131131808,P6_new_runtime_P5R_reused_accuracy
E16384,16384,1,passed,2.7022701863666154,2.2848059780011063,3.872082355580685,4.01776869521727,0.38573532298537117,0.7784087115433067,0.8191427497542463,0.02005282009486109,0.05379457795061171,0.17112484201788902,0.18873553641606122,0.009164931951090693,0.00155204301699996,0.00217037252150476,0.0057543584844097495,0.0012800893746316433,0.0059203120181337,0.005872323992662132,170.29033160458584,0.005872323992662132,,0.01647473289631307,1001500672,2.02084357116288,267.87388475586414,P6_new_runtime_P5R_reused_accuracy
E16384,16384,2,passed,2.7022701863666154,2.2848059780011063,3.872082355580685,4.01776869521727,0.38573532298537117,0.7784087115433067,0.8191427497542463,0.02005282009486109,0.05379457795061171,0.17112484201788902,0.18873553641606122,0.009164931951090693,0.00155204301699996,0.00217037252150476,0.0057543584844097495,0.0012800893746316433,0.0059203120181337,0.01146428007632494,174.45491445470097,0.00573214003816247,0.005591956083662808,0.02551217097789049,1331150080,2.02084357116288,274.42494949298833,P6_new_runtime_P5R_reused_accuracy
E16384,16384,4,passed,2.7022701863666154,2.2848059780011063,3.872082355580685,4.01776869521727,0.38573532298537117,0.7784087115433067,0.8191427497542463,0.02005282009486109,0.05379457795061171,0.17112484201788902,0.18873553641606122,0.009164931951090693,0.00155204301699996,0.00217037252150476,0.0057543584844097495,0.0012800893746316433,0.0059203120181337,0.02121393894776702,188.55527065712803,0.005303484736941755,0.005113871651701629,0.039944878430105746,1834503680,2.02084357116288,296.6054054049308,P6_new_runtime_P5R_reused_accuracy
E16384,16384,8,passed,2.7022701863666154,2.2848059780011063,3.872082355580685,4.01776869521727,0.38573532298537117,0.7784087115433067,0.8191427497542463,0.02005282009486109,0.05379457795061171,0.17112484201788902,0.18873553641606122,0.009164931951090693,0.00155204301699996,0.00217037252150476,0.0057543584844097495,0.0012800893746316433,0.0059203120181337,0.04199507855810225,190.49851255621795,0.005249384819762781,0.005160393509348589,0.07070258294697851,2820092160,2.02084357116288,299.6622069956299,P6_new_runtime_P5R_reused_accuracy
E16384,16384,16,passed,2.7022701863666154,2.2848059780011063,3.872082355580685,4.01776869521727,0.38573532298537117,0.7784087115433067,0.8191427497542463,0.02005282009486109,0.05379457795061171,0.17112484201788902,0.18873553641606122,0.009164931951090693,0.00155204301699996,0.00217037252150476,0.0057543584844097495,0.0012800893746316433,0.0059203120181337,0.08625503850635141,185.49641014677462,0.005390939906646963,0.005358847634245952,0.13207235513255,4757941248,2.02084357116288,291.7936886144715,P6_new_runtime_P5R_reused_accuracy
