route,system,policy,support_resolution,output_resolution,measurement_domain,sample_count,point_global_pct,sample_first_pct,raw_cv_rmse_K,source_rmse_K,peak_rmse_K,interface_rmse_K,regional_nodes,p2r_edges,r2r_edges,model_inference_median_s,model_inference_p95_s,reconstruction_median_s,reconstruction_p95_s,process_cold_median_s,process_cold_p95_s,fresh_total_median_s,fresh_total_p95_s,warm_total_median_s,warm_total_p95_s,peak_vram_bytes,process_cold_speedup_vs_fvm,warm_speedup_vs_fvm,fresh_speedup_vs_fvm,accuracy_provenance,timing_provenance,status
B8192_recon,GPU_RIGNO,B,8192,240825,reconstructed_full_240825,32,2.739835066049737,3.031378229750308,2.4587887815005853,3.587522396517475,3.4786064303177264,0.5100798090283039,1024.0,34946.5,16120.9375,0.002746766433119774,0.11502283859299654,0.0024031915236264467,0.015645595826208766,10.308110977057368,11.005942636064718,0.4418046238133684,0.4548626501346007,0.0026642305310815573,0.0037145422073081137,190544896,0.22680046045775565,608.317275526417,N/A:no_semantically_matched_FVM_fresh_topology,configs/heat3d_v6_p1i/v6_p1i_graph_scale_ablation_raw/B_8192.json,configs/heat3d_v6_p1i/v6_p1i_graph_scale_ablation_raw/B_8192.json;configs/heat3d_v6_p1i/v6_p1i_performance_p1_raw/B8192_process;process_n=10,reused_accuracy_plus_new_process_timing
E32768_recon,GPU_RIGNO,E,32768,240825,reconstructed_full_240825,32,2.6724606376756133,2.6305518260823755,2.2087146445648043,3.903574068592729,4.051528852456719,0.3844841081111273,256.0,155037.5,3530.125,0.008710226393304765,0.009700515086296945,0.002656932920217514,0.0033862374373711647,9.850872718496248,10.983370477729475,0.5640492564998567,0.5775734907248988,0.008730652974918485,0.009644364123232663,504221440,0.23732763409444788,185.6330176789513,N/A:no_semantically_matched_FVM_fresh_topology,configs/heat3d_v6_p1i/v6_p1i_graph_resolution_raw/E_32768.json,configs/heat3d_v6_p1i/v6_p1i_graph_resolution_raw/E_32768.json;configs/heat3d_v6_p1i/v6_p1i_full_grid_raw/process_timing/E32768_reference;process_n=10,historical_reuse
B240825_direct,GPU_RIGNO,B,240825,240825,direct_full_grid_240825,32,3.5665320627738217,3.7002718639538297,2.920099323733057,3.974425098137447,3.517548747747391,0.6562215722995057,30103.0,598497.0,501480.0,0.08601961540989578,0.08647761574247852,0.0,0.0,13.625646177912131,13.694262893311679,3.2197206770069897,3.2982760112150573,0.08623344299849123,0.08688304928364232,2422518272,0.17157970238769935,18.79430301849583,N/A:no_semantically_matched_FVM_fresh_topology,configs/heat3d_v6_p1i/v6_p1i_full_grid_raw/B_240825.json,configs/heat3d_v6_p1i/v6_p1i_full_grid_raw/B_240825.json;configs/heat3d_v6_p1i/v6_p1i_full_grid_raw/process_timing/B240825_baseline;process_n=10,historical_reuse
E240825_direct,GPU_RIGNO,E,240825,240825,direct_full_grid_240825,32,3.0670995080019767,3.039451135063054,2.4883791404679236,4.734622141047968,7.2073060430370885,0.4743557545331674,256.0,2002580.0,3570.0,0.09335699095390737,0.0939658944029361,0.0,0.0,10.899459723965265,11.064614169322885,1.5714656750205904,1.6313549989252352,0.09336033603176475,0.09401383431395516,5283384320,0.21449543144838792,17.359593237650824,N/A:no_semantically_matched_FVM_fresh_topology,configs/heat3d_v6_p1i/v6_p1i_full_grid_raw/E_240825.json,configs/heat3d_v6_p1i/v6_p1i_full_grid_raw/E_240825.json;configs/heat3d_v6_p1i/v6_p1i_full_grid_raw/process_timing/E240825_baseline;process_n=10,historical_reuse
FVM240825,CPU_FVM,legal_structured_FVM,240825,240825,full_240825_reference,32,0.06964839353793924,0.0458136244948983,0.03655308281557931,0.29555740210047954,0.5096626175014703,0.00022646361985941381,,,,,,0.0,0.0,2.3378843160462566,2.670287739956984,1.686430754023604,1.8391671155870426,1.6206974580418319,1.898054601694457,0,1.0,1.0,1.0,configs/heat3d_v6_p1i/v6_unified_performance_accuracy.csv,configs/heat3d_v6_p1i/v6_unified_performance_timing.csv,historical_reuse
