continuous_wall_mean_s,continuous_wall_median_s,continuous_wall_p95_s,continuous_wall_std_s,failed_group_id,family,fvm_assembly_s_mean,fvm_assembly_s_median,fvm_assembly_s_p95,fvm_solve_s_mean,fvm_solve_s_median,fvm_solve_s_p95,graph_s_mean,graph_s_median,graph_s_p95,jit_forward_s_mean,jit_forward_s_median,jit_forward_s_p95,load_s_mean,load_s_median,load_s_p95,map_apply_s_mean,map_apply_s_median,map_apply_s_p95,map_build_s_mean,map_build_s_median,map_build_s_p95,output_s_mean,output_s_median,output_s_p95,peak_device_bytes,peak_ram_bytes,reason,resolution,route,sample_count,state,status
2.3852425012191816,2.3378843160462566,2.670287739956984,0.16053087184134818,,p1i,0.03297477749583777,0.030863421969115734,0.04555204245261848,1.649100459406327,1.6214135460322723,1.9014549045707099,,,,,,,0.025222255382686853,0.024322619487065822,0.030934228614205493,,,,,,,0.000311578613036545,0.00031104101799428463,0.0003733580349944532,0,415203328,,240825,fvm,32,process_cold,passed
,,,,,p1i,,,,,,,,,,,,,,,,,,,,,,,,,,,FVM has no JIT cache state,240825,fvm,32,jit_cached_new_topology,not_applicable_under_frozen_numerical_contract
1.680259578879486,1.686430754023604,1.8391671155870426,0.12262774256536338,,p1i,0.02872166026281775,0.02790490398183465,0.03307533502229489,1.6367852624498482,1.6423745845095254,1.7988143463095185,,,,,,,0.014458691166510107,0.014247501501813531,0.017804091732250525,,,,,,,0.00028972576910746284,0.0002839649678207934,0.0003289232379756868,0,623407104,,240825,fvm,32,known_topology_new_physics,passed
1.6344751409560558,1.6206974580418319,1.898054601694457,0.12987907109751826,,p1i,7.980270311236382e-07,7.149646990001202e-07,1.175113720819354e-06,1.634189473454171,1.6204190790303983,1.897776317608077,,,,,,,1.5012592484708875e-06,1.6050180420279503e-06,1.9652070477604866e-06,,,,,,,0.0002804263749567326,0.0002745800302363932,0.0003312361834105104,0,1348149248,,240825,fvm,32,fully_cached,passed
9.824486294288363,9.763044292049017,10.125975037796888,0.269402298217577,,p1i,,,,,,,4.706565000153205,4.705422597005963,4.8213881531672085,3.8873658962802438,3.8776014185277745,4.112026858195895,0.005724349714000709,0.0066848244750872254,0.007240024744533002,0.0,0.0,0.0,0.0,0.0,0.0,0.00010962338274111971,0.00010812649270519614,0.0001235415053088218,139217664,1860431872,,1024,model_support,32,process_cold,passed
1.5126403723370458,1.64877913845703,1.8095582865644246,0.2911489583854081,,p1i,,,,,,,1.5089058100893453,1.6453888879623264,1.8054495784861502,0.0031206521562126,0.002839729539118707,0.004459082009270787,0.000513214290549513,0.0005065964651294053,0.0006466816295869648,0.0,0.0,0.0,0.0,0.0,0.0,7.181803084677085e-05,6.448297062888741e-05,9.208129486069082e-05,139173376,3697668096,,1024,model_support,32,jit_cached_new_topology,passed
,,,,,p1i,,,,,,,,,,,,,,,,,,,,,,,,,,,P1i valid cases do not provide preregistered same-support/new-physics pairs,1024,model_support,32,known_topology_new_physics,not_applicable_under_frozen_numerical_contract
0.0024439216758764815,0.002260075998492539,0.0033354214450810105,0.0004323700382313106,,p1i,,,,,,,4.7278444981202483e-07,5.009351298213005e-07,5.934911314398049e-07,0.0019930128037231043,0.0017976465169340372,0.002907699538627639,0.0003971548649133183,0.0003771605552174151,0.0004922881664242596,0.0,0.0,0.0,0.0,0.0,0.0,3.679039218695834e-05,3.194058081135154e-05,5.893951747566461e-05,139176192,3671732224,,1024,model_support,32,fully_cached,passed
9.972441607591463,9.970509240054525,10.169879227812634,0.14718496221009586,,p1i,,,,,,,4.698995652117446,4.693918118951842,4.775608592515345,3.903906251063745,3.8911719630123116,4.168574030930176,0.0006396747521648649,0.0006171779823489487,0.0007372632797341793,0.01687133006635122,0.01715790299931541,0.018347767606610433,0.13877546722142142,0.13931079901522025,0.14660175071330742,0.00031097537066671066,0.00031444395426660776,0.000362493988359347,139217664,1937412096,,1024,production_reconstruction,32,process_cold,passed
1.621922862384963,1.7637653370038606,1.8922954123758244,0.2846295890863094,,p1i,,,,,,,1.474309749861277,1.6228159195743501,1.744412233767798,0.003012386805494316,0.00284417747752741,0.0040629265189636495,0.0007949080390972085,0.0007934980094432831,0.000978050474077463,0.012833532065997133,0.012105095549486578,0.01792129560490139,0.13064010707603302,0.13073232804890722,0.13697208128287458,0.00027736923584598117,0.00027392548508942127,0.00032034196774475274,139173376,4016963584,,1024,production_reconstruction,32,jit_cached_new_topology,passed
,,,,,p1i,,,,,,,,,,,,,,,,,,,,,,,,,,,P1i valid cases do not provide preregistered same-support/new-physics pairs,1024,production_reconstruction,32,known_topology_new_physics,not_applicable_under_frozen_numerical_contract
0.010627369221765548,0.010002867493312806,0.01169787180260755,0.0025672731276545936,,p1i,,,,,,,1.5103105397429317e-06,1.4440156519412994e-06,2.0323030184954403e-06,0.003202729538315907,0.0029531604959629476,0.004208227142225951,0.0007716037398495246,0.0007566239801235497,0.0008717536926269531,0.006385064873029478,0.005931882536970079,0.006560869875829667,2.0830048015341163e-06,2.0185252651572227e-06,2.6159686967730522e-06,0.00023076596698956564,0.00023149297339841723,0.0002613306511193514,139176192,4773376000,,1024,production_reconstruction,32,fully_cached,passed
2.737774085609999,2.7572228364879265,2.800231964903651,0.07074652957635279,,randomblock,0.04748204380666721,0.042955849959980696,0.06251217110548168,1.2750017402540834,1.2858086780761369,1.3227575029071885,,,,,,,0.007369241062406218,0.00657251599477604,0.011505125125404447,,,,,,,0.0002961487844004296,0.00028803700115531683,0.00035528467851690947,0,449118208,,240825,fvm,32,process_cold,passed
,,,,,randomblock,,,,,,,,,,,,,,,,,,,,,,,,,,,FVM has no JIT cache state,240825,fvm,32,jit_cached_new_topology,not_applicable_under_frozen_numerical_contract
