parameter,metric,pearson_r,pearson_p,spearman_rho,spearman_p
package_total_power_W,deltaT_max_K,0.6115979383934027,1.7411229963808252e-14,0.6185394158579014,7.249468836607942e-15
package_total_power_W,deltaT_mean_K,0.5395986860590092,4.9567172964369285e-11,0.5513699414026735,1.534733303492212e-11
package_total_power_W,deltaT_cv_rms_K,0.5411116529723968,4.274170744064199e-11,0.5526574803149605,1.3462634961765231e-11
top_h_W_m2K,deltaT_max_K,-0.7086535704396817,8.169053363578714e-21,-0.7527410272843802,1.243047301302596e-24
top_h_W_m2K,deltaT_mean_K,-0.7405732166542774,1.6792763698944808e-23,-0.8120536531770737,2.9409279931647962e-31
top_h_W_m2K,deltaT_cv_rms_K,-0.741810812102876,1.2972640365447049e-23,-0.812786119758286,2.356791601847143e-31
bottom_h_W_m2K,deltaT_max_K,0.08503577919310273,0.33990027084046937,0.04536714887383263,0.6111044467408241
bottom_h_W_m2K,deltaT_mean_K,-0.0025197367039654314,0.977480340108553,-0.027021149972532504,0.7620683756812624
bottom_h_W_m2K,deltaT_cv_rms_K,0.01114264006577403,0.9006567239752652,-0.01503845449551364,0.8662047574338297
total_source_volume_m3,deltaT_max_K,-0.03894596928079053,0.6624982384780429,-0.1009029939571507,0.25709525986954956
total_source_volume_m3,deltaT_mean_K,0.09089069239208333,0.3075686581977537,0.020400338765793807,0.8192084782040947
total_source_volume_m3,deltaT_cv_rms_K,0.09064929085989978,0.3088605736534512,0.018849569675883537,0.8327427001535043
mean_q_W_m3,deltaT_max_K,0.3558200924244585,3.7578707997043186e-05,0.46691883354696945,2.7655895690948316e-08
mean_q_W_m3,deltaT_mean_K,0.20094206376021095,0.022945056327836298,0.33305484343526826,0.0001223403601669788
mean_q_W_m3,deltaT_cv_rms_K,0.2019479021861086,0.022255859895122465,0.3347315052188244,0.00011249941979189104
max_q_W_m3,deltaT_max_K,0.3690712361413284,1.811401303234214e-05,0.4993877037172679,1.9676553374398455e-09
max_q_W_m3,deltaT_mean_K,0.2197730202056774,0.012680798813470904,0.3690830433986449,1.8101977314773297e-05
max_q_W_m3,deltaT_cv_rms_K,0.22065574135334903,0.012318888356501637,0.37039347189159494,1.6811983267014436e-05
mean_local_k_W_mK,deltaT_max_K,0.022843809131443335,0.7979923203812357,0.05982191906244277,0.5023673728060356
mean_local_k_W_mK,deltaT_mean_K,0.006905227995885652,0.9383385312304974,0.054088079106390775,0.5442638282342466
mean_local_k_W_mK,deltaT_cv_rms_K,0.006643227348322518,0.9406737640229489,0.05621681010803882,0.5285113412452529
source_count,deltaT_max_K,-0.05280205586143652,0.5538907733375983,-0.1084281761510443,0.22311520237081797
source_count,deltaT_mean_K,0.07602680637081523,0.393691107456508,0.006828668115044493,0.9390208622990898
source_count,deltaT_cv_rms_K,0.07574116593521371,0.39547588268132,0.006182713023080824,0.9447795747163317
k_region_count,deltaT_max_K,0.03441215999691143,0.6997750337870409,0.09458105535639581,0.28825925742428965
k_region_count,deltaT_mean_K,0.01847429465370421,0.8360254200298537,0.08988065649787366,0.31299767312537824
k_region_count,deltaT_cv_rms_K,0.01889786429650206,0.8323204506994526,0.08910208057857412,0.31722486520582516
