feature,peak_spearman,peak_linear_r2
continuous_severity,0.7084611334920344,0.49681198922367376
package_total_power_W,0.7779310108038819,0.5392405824967552
top_h_W_m2K,-0.0591638436183849,0.0009515512079855126
bottom_h_W_m2K,-0.05129555026551913,0.00012928453072547086
source_count,-0.18169793943949467,0.03192214962859774
k_region_count,-0.07389992756072672,0.007328027864118902
upper_source_count,-0.14816566334810619,0.01939390634485083
cross_family_overlap_pair_count,0.04816261844069646,0.007492298699296018
power_base_W,0.7084611334920344,0.6292691139713358
power_top_h_factor,-0.0591638436183849,0.0016021746779323331
power_independent_latent,0.5523141366050174,0.31771092710242477
power_independent_multiplier,0.5523141366050174,0.3317097393904843
total_source_area_fraction,-0.17204953305255447,0.02835901722076306
mean_source_area_fraction,-0.02129875480681194,0.00037485962700001263
source_area_cv,-0.09353254898370263,0.0266520246100439
mean_source_aspect_ratio,0.04530992492217542,0.006378700771617618
source_centroid_spread,-0.2593332265152902,0.05394997306372917
source_upper_fraction,-0.058241958388650976,0.002590394377004146
cross_family_overlap_fraction,0.14717892781513736,0.03742798825003191
q_proxy_mean_W_m3,0.6878891228712689,0.3608690471485142
q_proxy_max_W_m3,0.6923983702618568,0.3737969920090154
mean_local_k_W_mK,-0.02064640175791979,0.0005853317929329638
local_k_log_std,-0.00021172862113166087,5.7539939495976355e-05
background_kz_pcb_fr4_equivalent_W_mK,-0.022363120307635962,0.00019100685234407777
background_kz_bt_substrate_with_vias_W_mK,-0.008377586522614906,4.001586840407523e-05
background_kz_silicon_interposer_tsv_0p1_W_mK,0.02536737776963926,0.00028851415006514447
background_kz_bump_underfill_under_interposer_W_mK,0.00010872550814869071,1.4957130845649758e-05
background_kz_silicon_die_lower_W_mK,0.05244002929866324,0.0017313695206596647
background_kz_tim_between_dies_W_mK,-0.053458615638161504,0.0024555772018225452
background_kz_silicon_die_upper_W_mK,0.008766709393883904,9.093099509271951e-05
background_kz_tim_to_spreader_W_mK,-0.027398828053470055,0.0005949333842284465
background_kz_spreader_W_mK,-0.013831029115546602,0.0002020017447738054
