cg_iterations_median,cg_iterations_p95,continuous_wall_mean_s,continuous_wall_median_s,continuous_wall_p95_s,continuous_wall_std_s,failed_group_id,family,fvm_assembly_s_mean,fvm_assembly_s_median,fvm_assembly_s_p95,fvm_solve_s_mean,fvm_solve_s_median,fvm_solve_s_p95,gpu_model_over_cpu_fvm_speedup,graph_s_mean,graph_s_median,graph_s_p95,jit_forward_s_mean,jit_forward_s_median,jit_forward_s_p95,load_s_mean,load_s_median,load_s_p95,map_apply_s_mean,map_apply_s_median,map_apply_s_p95,map_build_s_mean,map_build_s_median,map_build_s_p95,output_s_mean,output_s_median,output_s_p95,peak_device_bytes,peak_ram_bytes,reason,resolution,route,sample_count,state,status
298.0,336.15,0.6458306817185075,0.6521122269914486,0.6620378753112164,0.01694502193497816,,p1i,0.0005762851324107032,0.000589961011428386,0.0006292320787906647,0.00660801884077955,0.006548651028424501,0.00743741228361614,0.06578716250546895,,,,,,,0.0014455828531936277,0.0014486165600828826,0.0015968883351888507,,,,,,,6.407861292245798e-05,5.972193321213126e-05,6.91779889166355e-05,0,298541056,,4096,fvm,32,process_cold,passed
,,,,,,,p1i,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_applicable_under_frozen_contract,4096,fvm,32,new_topology,not_applicable_under_frozen_contract
298.0,336.15,0.007615924616402481,0.007612361980136484,0.008467424922855571,0.00046937719210293777,,p1i,0.000381589044991415,0.0003739289822988212,0.0004356563847977668,0.006114795589382993,0.006132905022241175,0.006822276295861229,,,,,,,,0.0010836859692062717,0.0010715390089899302,0.0012404130364302545,,,,,,,3.434189784456976e-05,3.262900281697512e-05,4.3575017480179666e-05,0,306126848,,4096,fvm,32,known_topology_new_physics,passed
298.0,336.15,0.00624416237405967,0.006257976056076586,0.006970357499085367,0.00039637805972171696,,p1i,1.1936936061829329e-07,1.130392774939537e-07,1.995009370148182e-07,0.006201101619808469,0.006209910556208342,0.006922270928043872,1.6824130893426252,,,,,,,9.121613402385265e-07,8.409842848777771e-07,1.2834207154810429e-06,,,,,,,4.0593451558379456e-05,3.816647222265601e-05,5.689891404472291e-05,0,323084288,,4096,fvm,32,fully_cached,passed
,,9.9164867927866,9.912454073957633,10.196864129242021,0.17757455151001472,,p1i,,,,,,,0.06578716250546895,4.788884759727807,4.806046512036119,4.886695368634537,3.8926762175688054,3.8861672544735484,4.077517404704122,0.000653452254482545,0.0006346129230223596,0.0007835155178327113,8.838339999783784e-05,8.717551827430725e-05,0.0001087301061488688,0.05551584174463642,0.056266924540977925,0.05781490064691752,7.919676500023343e-05,7.836404256522655e-05,8.404714753851295e-05,139217664,1910218752,,4096,production_reconstruction,32,process_cold,passed
,,1.5992714176863956,1.7874283180572093,1.892077658569906,0.30648822453595664,,p1i,,,,,,,,1.535323285857885,1.721323020523414,1.8281884131371045,0.0032897723649512045,0.002997127012349665,0.004197202326031401,0.0006900813750689849,0.00068660854594782,0.0007883576618041843,0.00019361156955710612,0.00020584894809871912,0.0002222952782176435,0.05967399271685281,0.06077246501808986,0.06246995930559933,6.940396269783378e-05,6.908451905474067e-05,7.438930333591998e-05,190683136,3753684992,,4096,production_reconstruction,32,new_topology,passed
,,,,,,,p1i,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_applicable_under_frozen_contract,4096,production_reconstruction,32,known_topology_new_physics,not_applicable_under_frozen_contract
,,0.004021064221888082,0.0037196429912000895,0.005142983834957704,0.0006093010623677001,,p1i,,,,,,,1.6824130893426252,1.6947960830293596e-06,1.6884878277778625e-06,2.144952304661274e-06,0.0029653704586962704,0.00268157001119107,0.003930484503507614,0.0006747389052179642,0.0006587054813280702,0.000760280538816005,0.0002841285240720026,0.0002468000166118145,0.0004614847304765135,2.5233493943233043e-06,2.396991476416588e-06,3.538723103702068e-06,6.284210030571558e-05,5.8611505664885044e-05,8.469035383313894e-05,139176192,3735166976,,4096,production_reconstruction,32,fully_cached,passed
330.5,373.4,0.6579222001309972,0.6610047720023431,0.6795097475929651,0.01881726710985966,,p1i,0.0014323435389087535,0.0014171855291351676,0.0015870110422838478,0.012300801558012608,0.012320882990024984,0.013751564698759466,0.06619772826001695,,,,,,,0.0016830581225804053,0.001658041961491108,0.0018554203037638218,,,,,,,6.603286601603031e-05,6.362947169691324e-05,8.36240069475025e-05,0,299208704,,8192,fvm,32,process_cold,passed
,,,,,,,p1i,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_applicable_under_frozen_contract,8192,fvm,32,new_topology,not_applicable_under_frozen_contract
330.5,373.4,0.013883930321753724,0.013810068019665778,0.015848647366510704,0.0009869836972994691,,p1i,0.0006877628475194797,0.0006599375046789646,0.0007811044459231197,0.011848889062093804,0.011746161500923336,0.013187511294381693,,,,,,,,0.0013076124705548864,0.0012902140151709318,0.0015539291955064983,,,,,,,3.8189809856703505e-05,3.548449603840709e-05,5.4224400082603096e-05,0,316362752,,8192,fvm,32,known_topology_new_physics,passed
330.5,373.4,0.01230545306316344,0.012109270493965596,0.013702150568133219,0.0007577543242262415,,p1i,1.1619340511970222e-07,1.2101372703909874e-07,1.599895767867565e-07,0.012258528524398571,0.01205783651676029,0.013657998078269883,3.1195852688939163,,,,,,,1.0621297406032681e-06,9.809737093746662e-07,1.475401222705841e-06,,,,,,,4.43385579274036e-05,4.2436004150658846e-05,5.7040067622438075e-05,0,348307456,,8192,fvm,32,fully_cached,passed
,,10.00098662441087,9.985309003444854,10.206645329052117,0.14705903216952554,,p1i,,,,,,,0.06619772826001695,4.789079530131858,4.799533675017301,4.908150417392608,3.957829475399194,3.9621682969736867,4.132635737222154,0.0006402930848707911,0.0006327324663288891,0.0007130737241823226,0.00016814798800623976,0.00016215600771829486,0.00019924843218177557,0.05922310397363617,0.05982918501831591,0.060687028570100665,8.358536797459237e-05,8.141197031363845e-05,0.00010019425535574555,190730752,1912852480,,8192,production_reconstruction,32,process_cold,passed
,,1.5904821028088918,1.750683355028741,1.8882582660939078,0.29361768541230593,,p1i,,,,,,,,1.5244646907194692,1.6873175704968162,1.819241328863427,0.003081199152802583,0.0028889430104754865,0.004172187839867547,0.0006968492780288216,0.0006902455352246761,0.0008224824036005884,0.0004254341147316154,0.0004213904612697661,0.00045579822035506367,0.061708462693786714,0.0616559199988842,0.06547165523516014,7.392512998194434e-05,7.296947296708822e-05,7.98855151515454e-05,139173376,3760205824,,8192,production_reconstruction,32,new_topology,passed
