sample_id,sobol_index,sobol_dimensions_consumed,continuous_severity,package_total_power_W,top_h_W_m2K,bottom_h_W_m2K,source_count,k_region_count,upper_source_count,cross_family_overlap_pair_count,power_base_W,power_top_h_factor,power_independent_latent,power_independent_multiplier,total_source_area_fraction,mean_source_area_fraction,source_area_cv,mean_source_aspect_ratio,source_centroid_spread,source_upper_fraction,cross_family_overlap_fraction,q_proxy_mean_W_m3,q_proxy_max_W_m3,mean_local_k_W_mK,local_k_log_std,background_kz_pcb_fr4_equivalent_W_mK,background_kz_bt_substrate_with_vias_W_mK,background_kz_silicon_interposer_tsv_0p1_W_mK,background_kz_bump_underfill_under_interposer_W_mK,background_kz_silicon_die_lower_W_mK,background_kz_tim_between_dies_W_mK,background_kz_silicon_die_upper_W_mK,background_kz_tim_to_spreader_W_mK,background_kz_spreader_W_mK,split_role
v6p1i4_0000,0,59,0.019540000706911087,3.04722178759562,945.7380442378188,41.79482675648484,4,3,1,0,3.8977000035345553,1.0197155761397658,0.04307141155004501,0.7666843569012056,0.06007284697431815,0.015018211743579538,0.14810709405679737,1.0875011187152648,0.2571559851648402,0.25,0.0,3317417834.11393,3968560014.8092637,47.890692122029634,0.4140763394321495,0.3301089488603516,0.4982179417848768,133.80089258309454,5.436695337075034,130.8950160164386,4.307535294987867,129.98602683655918,2.354968986510049,391.59769218880683,train
v6p1i4_0001,1,93,0.557317566126585,5.888130224985676,545.6171626493688,119.90662260298345,8,3,7,0,6.586587830632926,0.8411434361362806,0.6823820089921355,1.0627885303612705,0.08791633340271396,0.010989541675339245,0.25807377697307565,1.0994237458792542,0.3247949678443983,0.875,0.0,4509532538.720197,5579527537.856463,98.11598699629938,0.3681031065804429,0.27942541898924944,0.39658294711301895,139.1488310834393,4.336265160976326,106.75897169858217,2.9868966277536595,100.11591059155762,5.544859346941108,399.1962269647047,valid_iid
v6p1i4_0002,2,110,0.8529678368940949,6.986673960382688,732.9236639578709,67.89873684042418,5,8,3,2,8.064839184470475,0.932673876528922,0.41868024598807096,0.928848646209819,0.06498967728061528,0.012997935456123055,0.21916158086789853,1.2636381126929692,0.27566331621228457,0.6,0.05,7171743558.367836,9417811041.495613,111.82463550378166,0.40362609276905653,0.2601666910528433,0.6000090634980347,126.66649865917861,5.826609572837679,118.08231365866959,1.9962224561233066,149.36446188949049,4.172188843521756,393.9745803643018,valid_iid
v6p1i4_0003,3,83,0.3200811306014657,6.8954625899756214,1259.5980119773383,23.313933041023663,9,2,4,0,5.400405653007328,1.1273024232387654,0.8070152290165424,1.1326522260715421,0.0992937262757716,0.011032636252863512,0.14679610219240122,1.2761661093402772,0.3365267816412719,0.4444444444444444,0.0,4593719561.368677,5818758392.79702,241.16214525765008,0.11448723268708116,0.3446963585220921,0.48579682264620283,149.56353186629713,4.6433379542973485,143.77551097422838,6.303932732838777,119.85957943834364,1.8267328946114634,386.63948852568865,valid_iid
v6p1i4_0004,4,71,0.39631662517786026,4.577933363465143,604.1982077046441,100.80630247845782,7,2,2,1,5.781583125889302,0.8717100513645605,0.37498239520937204,0.9083446004018646,0.08374621362340878,0.011963744803344112,0.17917250203982843,1.2531739093433154,0.3792406135472121,0.2857142857142857,0.07142857142857142,3745257193.5615005,4864716137.320593,77.70031094619362,0.012579285107201965,0.3709485224160864,0.5756237151204546,143.98395581636578,4.56920772214171,143.7233158852905,3.7374857469166494,138.83193647488952,3.542719035585358,394.4832768384367,train
v6p1i4_0005,5,83,0.9330109506845474,11.414702162748021,1147.5356313156308,27.955200191786865,3,8,2,1,8.465054753422738,1.091132307518481,0.977675711736083,1.235826198239065,0.03182496126500337,0.01060832042166779,0.14144934091338654,1.1704923291357356,0.3215112178125659,0.6666666666666666,0.041666666666666664,23819644761.521923,31995593487.42997,117.16358672100694,0.8271460526089256,0.2503203643269848,0.4532303798891477,129.78507886175066,5.688320094132612,119.41580763086677,2.0877158591387595,118.70226375758648,1.5560896313507833,387.05274395644665,train
v6p1i4_0006,6,149,0.727196385152638,7.590927900477214,1499.81750708368,49.94712293621981,10,7,3,2,7.4359819257631905,1.198319699423692,0.24937070347368717,0.8518906313941176,0.12235882754592357,0.012235882754592357,0.19049069356963833,1.2678925638609226,0.3532312165394761,0.3,0.02857142857142857,4239414619.0916533,5374195055.964523,55.47738352564769,0.62512344348336,0.2843733676208398,0.5197153293579349,154.36754683032632,4.0251537527482615,105.74295758269727,1.4145599742894839,132.0133195258677,2.7828594324257394,389.24309231806546,train
v6p1i4_0007,7,105,0.19343979377299547,4.733328869028601,826.847387826739,178.218060317079,6,7,4,0,4.767198968864977,0.9728774291313415,0.6030415343120694,1.0205758180086737,0.07630979494300748,0.012718299157167913,0.1840948490394244,1.1761405290882359,0.29659825484194646,0.6666666666666666,0.0,4097058528.567314,5444101870.796512,82.5974030285639,0.8893332200020055,0.30036398743784687,0.42539309675561543,122.68366416916251,5.015250566644632,131.6061063669622,5.545261979937353,111.51798460632563,6.487123163017496,396.8789321510121,train
v6p1i4_0008,8,133,0.07530795130878687,5.7578837407390715,1310.5480528123217,165.50220861242113,10,6,6,1,4.176539756543934,1.1430567289489857,0.9299904741346836,1.2060865858152456,0.11767792500398513,0.011767792500398513,0.20403616133332786,1.2635947317073095,0.34142065388080356,0.6,0.016666666666666666,3279501657.365938,4390693529.078545,84.49726723693546,0.7898007526029159,0.31217834096614233,0.5918774944113457,152.7547418512404,5.6288262049557805,112.27670828811824,7.218799965170601,142.25318138487637,3.1679643547532566,396.22390730306506,train
v6p1i4_0009,9,94,0.5973461950197816,5.4443859317516745,704.281440526115,61.071541758366926,6,6,3,0,6.786730975098909,0.919751357776487,0.29550118278712034,0.8722035124807689,0.06871601768562241,0.011452669614270402,0.23183693160933655,1.204515317041784,0.35826050509104956,0.5,0.0,5218591100.005493,6591246487.374287,182.7323635348681,1.0316391494025794,0.2954287090097729,0.4662311162084366,121.01527756080031,4.49048589421065,125.4752934910357,1.6513753589857236,112.74925130419433,1.4009360513746723,388.5953876655549,train
v6p1i4_0010,10,100,0.7973009757697582,6.454708919235361,529.1569428226304,34.58740815629887,7,6,4,2,7.786504878848792,0.8321733945137073,0.5555993085727096,0.9961397608669758,0.09463453685761086,0.013519219551087267,0.1820526392277284,1.180809464148623,0.41601978063556805,0.5714285714285714,0.047619047619047616,4602516264.291072,6492700973.579701,135.95743413901235,0.7005005435081247,0.24605012772657456,0.5056151343032886,145.65236954484135,5.103169366200949,149.29293761961162,2.752995788958497,136.99923516251147,3.111339580442003,390.05341423209757,train
