background_rmse_K,bottom_rmse_K,domain,family,interface_drop_rmse_K,layer_mean_rmse_K,peak_rmse_K,point_global_true_rms_relative_rmse_pct,raw_cv_weighted_rmse_K,route,sample_count,sample_first_cv_relative_rmse_pct,source_rmse_K,top_rmse_K
1.2396483443480446,1.0339286262973515,support_1024,p1i,0.6524214011066842,1.2801701317448262,2.6366928487418453,1.7544575530298887,1.2948856516623284,model_support,32,1.4103857531839765,2.690929936645766,0.7201393271819362
1.2397465334751576,1.0341128073211245,support_1024,p1i,0.6524232997360304,1.2801716767382652,2.636652371181629,1.7545024509787184,1.2949807850346646,production_reconstruction,32,1.4104631081075885,2.6909973771761058,0.720116642040502
2.9300915338357085,1.019430150238642,full_240825,p1i,1.4166413985708037,1.6078599425704723,2.6757454271153,3.0720172829026238,2.9302145577634002,production_reconstruction,32,3.7932096489297873,2.962891257893407,0.7375518433480004
2.6329975845178004,0.07884096956387802,full_240825,p1i,1.2802535809583628,0.8403152537179256,0.38659185869665585,2.4898560645710113,2.629036777219055,oracle_reconstruction,32,3.430793526430792,1.1597323081525739,0.09497697151826355
0.031844662040212246,0.010716097348772824,full_240825,p1i,0.00022646361985941381,0.000614593647147556,0.5096626175014703,0.06964839353793924,0.03655308281557931,dataset_consistent_fvm,32,0.0458136244948983,0.29555740210047954,0.012519725738727984
41.609901378148464,38.28516201274591,support_1024,randomblock,5.522303542508138,41.64962817586273,51.17948482762423,112.6275773504436,41.54735221595778,model_support,32,125.16844164267405,40.08741106870905,45.370064218309906
41.6099413554832,38.285221628825845,support_1024,randomblock,5.5224059669983125,41.64966622779636,51.17954478704533,112.6277667429074,41.54739939183873,production_reconstruction,32,125.16857116618493,40.087629482976816,45.37006708152384
42.12388253132656,38.23651929426415,full_240825,randomblock,5.794542467872507,42.1075147816817,51.13242331807922,108.34012027547357,42.11885597656976,production_reconstruction,32,118.25793480876894,39.528070099244644,45.319464708307436
2.5528351266936733,0.013461492602086416,full_240825,randomblock,0.38343112301105037,0.2875661165801499,0.05866392339490992,4.215196635376346,2.5503091739074426,oracle_reconstruction,32,7.241315988139653,0.25472021073064877,0.031518515200473246
8.825899984117873e-06,8.806657058870781e-06,full_240825,randomblock,1.5664693061191232e-07,6.319792398885576e-07,8.769298419405928e-06,2.2540995166773994e-05,8.82595176704432e-06,dataset_consistent_fvm,32,2.508159217904358e-05,8.851781430780027e-06,8.839936055979796e-06
