method,dataset_id,sample_count,maximum_continuous_ks,mean_continuous_ks,maximum_discrete_tv,mean_discrete_tv,maximum_joint_discrepancy,preregistered_composite_score,assignment_sha256
octet_hash,heat3d_v6_p1i_continuous_physics1024_v0,1024,0.17708333333333334,0.09425636574074076,0.1875,0.11241319444444446,0.051422353660087065,0.41600568699342044,b6128d69f939e6b3103d9124c69faec6bf39bd616948a3e6cbd0a5a7f555c55d
global_hash,heat3d_v6_p1i_continuous_physics1024_v0,1024,0.1953125,0.09195963541666667,0.1484375,0.08940972222222222,0.052465954327058105,0.3962159543270581,085065a064bf0870e5a597bc48e3f7799c41415f1b9f9c0241716552297325b0
independent_sobol_dimension,heat3d_v6_p1i_continuous_physics1024_v0,1024,0.1328125,0.045916521990740734,0.15625,0.07606336805555555,0.0214299420896994,0.3104924420896994,7ca257804257979153a739e38054e48a01040e501f4729f8254c5dc1290f4470
balanced_pre_solve_assignment,heat3d_v6_p1i_continuous_physics1024_v0,1024,0.140625,0.07843243634259259,0.1171875,0.08626302083333333,0.03504224216444259,0.29285474216444257,b310d92f6b2c5ab6529b7b1aa557689adce8157cb07559d0b12371b3c6b0e9e4
octet_hash,heat3d_v6_p1i_continuous_physics128_v2,128,0.5625,0.2385706018518519,0.375,0.2265625,0.13665959318237597,1.074159593182376,a030ea64f7542f894ab00de59c7d65e816b748cbccf295253aaa9719e6fae1f8
global_hash,heat3d_v6_p1i_continuous_physics128_v2,128,0.375,0.21513310185185183,0.5625,0.2760416666666667,0.11097621324079385,1.0484762132407939,deeaf5b583c57efc56d81b0656b9f3f6d5bc1483e1aefb4ed1ed8f052d5a6d29
independent_sobol_dimension,heat3d_v6_p1i_continuous_physics128_v2,128,0.6666666666666666,0.21006944444444445,0.6666666666666667,0.3142361111111111,0.13455700959864886,1.4678903429319823,2ae7e9653b6e298a52219bd14d5916dc02935518bbeee8ab7e93acdea07deb7b
balanced_pre_solve_assignment,heat3d_v6_p1i_continuous_physics128_v2,128,0.375,0.22265625,0.32291666666666663,0.23611111111111113,0.11422862572747566,0.8121452923941423,cf846c3fca918056307089793bae88ebced999703b6decfc9eee46af7455569e
