background_rmse_K,bottom_rmse_K,discretization_seed,domain,interface_drop_rmse_K,layer_mean_rmse_K,peak_rmse_K,point_global_true_rms_relative_rmse_pct,raw_cv_weighted_rmse_K,regional_mode,resolution,sample_count,sample_first_cv_relative_rmse_pct,source_rmse_K,suite,support_mode,top_rmse_K
10.935269631610886,13.933105938347019,0,support_512,2.305748855996338,9.489083600894823,7.683413568562851,12.128737222686151,10.833866618236632,fixed_training_nr,512,32,8.005340556037497,7.211207084631678,main,source_aware,9.825706925908323
11.151666438643147,14.139925785198903,0,full_240825,2.036797353157512,9.785096793072306,7.655250751662015,11.702926233068341,11.140989010117176,fixed_training_nr,512,32,9.213016955919294,7.781034080478359,main,source_aware,9.876118615156138
3.0394407777549417,0.13766479919994795,0,full_240825_oracle_reconstruction,2.10166368477287,1.4308079193082561,0.6658732704272633,3.1978868977508546,3.0349255120363847,fixed_training_nr,512,32,3.977902400815871,1.3729322337166827,main,source_aware,0.14902384409953112
11.931067319956782,11.995421567041891,0,support_1024,1.3240690329431224,11.691575308369275,9.908999929004443,13.67592688367254,11.8548837736911,fixed_training_nr,1024,32,9.585276015710349,8.586350995341073,main,source_aware,11.907073329231816
12.2523506260052,12.027237128788203,0,full_240825,1.0715474522862496,12.137186328026942,9.790731469159665,14.053079977495802,12.245156115914195,fixed_training_nr,1024,32,10.559696713769648,10.142399663677244,main,source_aware,11.81781392258527
2.6390746757733177,0.09198119035587865,0,full_240825_oracle_reconstruction,1.93423867268439,1.362219683658602,0.4291990839672594,2.9578819192575585,2.6351088169337227,fixed_training_nr,1024,32,3.4398417208951724,1.1648922526010406,main,source_aware,0.10391622927677095
21.575435208594946,19.90295936345058,0,support_2048,1.160133067896332,21.884996068967492,20.571941688491194,25.10022410792534,21.513404865638382,fixed_training_nr,2048,32,18.38587042083182,18.393807786825686,main,source_aware,21.55578093730377
21.72175630109756,19.895133934472405,0,full_240825,1.080802241222172,22.272075029024094,20.446481448383704,25.387646878767672,21.720430516577483,fixed_training_nr,2048,32,18.865570092655325,21.363368896825865,main,source_aware,21.93747285833343
2.1200344979151615,0.05768035343676768,0,full_240825_oracle_reconstruction,1.7828751540941412,1.2376497694470487,0.32217631388395307,2.617487147247336,2.1169469037077357,fixed_training_nr,2048,32,2.791940149325446,0.9936053792457676,main,source_aware,0.073701655813886
27.73722799089027,24.8543222695144,0,support_4096,1.2687608181124386,28.431837118844797,27.06615903617074,32.36147740199719,27.685420589067608,fixed_training_nr,4096,32,26.099935735897155,24.380251081039386,main,source_aware,28.362388891732817
27.836448075323986,24.79376499738526,0,full_240825,1.3254743799991735,28.741955981538414,27.029133212710484,32.66146364655101,27.83351379004003,fixed_training_nr,4096,32,26.3204241587244,27.038369515068368,main,source_aware,28.514791200346455
1.6801795475923509,0.03768336618605509,0,full_240825_oracle_reconstruction,1.6626452558222662,1.131401076049714,0.07756713871700786,2.3109621415666814,1.6778070085106043,fixed_training_nr,4096,32,2.2167988484152144,0.8288965210464319,main,source_aware,0.04459133639797233
39.22139796384884,34.75638615030171,0,support_8192,1.6906338873236453,40.47608044891898,39.59629543374159,45.93904989076402,39.195422704836176,fixed_training_nr,8192,32,37.22297194935283,37.11098088834267,main,source_aware,40.49550066633622
39.299405531479884,34.517263327246674,0,full_240825,1.7613712281452751,40.7005405551545,39.57477216933372,46.168385237151895,39.29860200715975,fixed_training_nr,8192,32,37.33884250905278,39.083389845130085,main,source_aware,40.651564118146084
1.3361915488697562,0.0253300179648724,0,full_240825_oracle_reconstruction,1.57237469954435,1.0559318768809536,0.03926618673891477,2.0811561740192492,1.3344124968252642,fixed_training_nr,8192,32,1.7714957371574938,0.7152832927636994,main,source_aware,0.029130678628123192
58.27370186729876,50.77428553561887,0,support_16384,2.6264749366084517,60.45774701077664,60.75688848012613,68.44535380139149,58.282531699126444,fixed_training_nr,16384,32,57.33690806892112,59.232008721606995,main,source_aware,60.5961241391413
58.35365970922023,50.47817134936532,0,full_240825,2.6864232133905244,60.6132241071373,60.75414756183207,68.66141862253563,58.36026432601038,fixed_training_nr,16384,32,57.410709565966144,60.09836976110825,main,source_aware,60.646359332216576
1.0577708782253763,0.016783089271025935,0,full_240825_oracle_reconstruction,1.3605190794358295,0.9125703682122654,0.006992028432873495,1.801991835239634,1.0565204687261893,fixed_training_nr,16384,32,1.4013411926916217,0.6403884825194752,main,source_aware,0.019200128343353124
16.55199436334741,17.28488602577814,1,support_512,2.02925248151647,15.902925414440507,16.275813923230935,18.900283288419544,16.463808045217675,fixed_training_nr,512,32,12.753320584107218,13.57441490628282,main,source_aware,16.35284118353821
16.70936544465432,18.257977146166272,1,full_240825,1.5070776702540578,16.19693457510233,16.1568748104896,18.69422843437044,16.702441254333575,fixed_training_nr,512,32,13.799534325037513,14.736968074916257,main,source_aware,16.811400113887423
3.0980474225132086,0.13762182997505587,1,full_240825_oracle_reconstruction,2.044219349539036,1.3970652941380868,0.38379805346339285,3.201708017425981,3.0934155707886903,fixed_training_nr,512,32,4.010269479269257,1.3817981860624922,main,source_aware,0.16465186057197823
