route,accuracy_population,point_global_rmse_pct,raw_cv_rmse_K,fresh_median_s,q2_throughput_samples_s,ram_bytes,vram_bytes,fresh_speedup_vs_fvm,q2_speedup_vs_fvm
E16384_reconstruction,frozen_valid32_model_seed0,2.7022701863666154,2.2848059780011063,0.8832465254236013,1.726329665327671,4343300096.0,443188736.0,2.0013168422384684,2.005173095171336
U_v2_16384_reconstruction,frozen_valid32_model_seed0,2.6908852170063957,2.279714917315074,0.8661765540018678,1.7594814717617289,3221032960.0,314090240.0,1.9763314924381818,2.052976606568755
U_v2_direct240825,frozen_valid32_model_seed0,2.81884946262079,2.318118608279255,1.309088043635711,1.147569509832514,5549998080.0,3995909632.0,1.2923099591481455,1.3403130328892972
E240825_direct_control,frozen_valid32_model_seed0,3.0670958565907793,2.4883756380040065,1.3102346409577876,1.3108900829676136,8384962560.0,4052184576.0,1.3219975757612379,1.5310646090128834
FVM240825_reference,reference,,,1.7006825949065387,0.8570392210666445,1466626048.0,,1.0,1.0
