feature,peak_spearman,peak_linear_r2
continuous_severity,0.8765908258560702,0.7378029968552986
package_total_power_W,0.72796305621681,0.4561952928603633
top_h_W_m2K,-0.179145303058048,0.034441157121762545
bottom_h_W_m2K,-0.03679500091558322,0.00023809883420078393
source_count,-0.10381421120844668,0.014585594535360125
k_region_count,-0.0015745073564772548,0.000315839793301409
upper_source_count,-0.04211374547974112,0.0007401445294751285
cross_family_overlap_pair_count,-0.042511130513491,0.005357706989689404
power_base_W,0.8765908258560702,0.7378029968552986
power_top_h_factor,-0.179145303058048,0.03764519050899884
power_independent_latent,0.3897923915033877,0.16517897526658154
power_independent_multiplier,0.3897923915033877,0.15763385727007184
total_source_area_fraction,-0.11700009155832264,0.017693946662475146
mean_source_area_fraction,-0.04858885735213331,0.0012856831462741969
source_area_cv,0.08302050906427394,0.0031989237745624344
mean_source_aspect_ratio,-0.11726904413111153,0.016867119308636602
source_centroid_spread,-0.09631935542940853,0.02228456909903609
source_upper_fraction,0.04678894951080655,0.004520057390946741
cross_family_overlap_fraction,0.015362813170582286,0.0011280079181398284
q_proxy_mean_W_m3,0.5919760574986266,0.3060939577679953
q_proxy_max_W_m3,0.6312946346822926,0.3255060614283397
mean_local_k_W_mK,0.06692913385826771,0.00024030424263798977
local_k_log_std,0.09926638893975463,0.005175356692881716
background_kz_pcb_fr4_equivalent_W_mK,-0.016909677714704266,0.0002672976760872414
background_kz_bt_substrate_with_vias_W_mK,-0.009367560886284564,0.00011367072791290678
background_kz_silicon_interposer_tsv_0p1_W_mK,-0.022597738509430504,0.00048100760845037893
background_kz_bump_underfill_under_interposer_W_mK,0.016812396996887018,0.00019873189079988585
background_kz_silicon_die_lower_W_mK,-0.033241393517670755,0.0009552282134924761
background_kz_tim_between_dies_W_mK,-0.04081212232191906,0.0003688063454498902
background_kz_silicon_die_upper_W_mK,-0.02565349752792529,0.00011228720949774118
background_kz_tim_to_spreader_W_mK,-0.045103918696209486,0.001515544557729509
background_kz_spreader_W_mK,-0.019868156015381798,0.0008125842444395293
