background_rmse_K,bottom_rmse_K,domain,family,full_field_point_global_pct_mean,full_field_point_global_pct_std,interface_drop_rmse_K,layer_mean_rmse_K,peak_rmse_K,point_global_true_rms_relative_rmse_pct,raw_cv_weighted_rmse_K,resolution,route,sample_count,sample_first_cv_relative_rmse_pct,scope,seed_count,source_rmse_K,support_point_global_pct_mean,support_point_global_pct_std,support_sample_first_pct_mean,support_sample_first_pct_std,top_rmse_K
,,,p1i,3.442625525047171,0.05843506828224949,,,,,,1024,frozen_primary_point_global,128,,formal_quality_128_valid_x_3_seed,3,,2.027348369966488,0.09473836759761606,1.6294017339551512,0.013132262946893854,
1.2397476499208653,1.0340639038009507,support_1024,p1i,,,0.6524472935345664,1.2801971147967928,2.6375343118712262,1.7545238999598183,1.2949866328868858,1024,model_support,32,1.4104789291538442,timing_queue_diagnostic_only,,2.691091596025445,,,,,0.7201171297548714
2.9300924371028128,1.0193685383038065,full_240825,p1i,,,1.4166688783299186,1.6078387602941044,2.676556668100541,3.0719977828617115,2.9302157829011057,240825,production_reconstruction,32,3.7932094871647406,timing_queue_diagnostic_only,,2.9629775015357884,,,,,0.7375800347011009
41.60985372827044,38.285081858640766,support_1024,randomblock,,,5.522439218112881,41.649600760153554,51.180189032403206,112.6276230485744,41.54731542503085,1024,model_support,32,125.16833350165751,timing_queue_diagnostic_only,,40.08763251730579,,,,,45.37008505438574
42.123807425987295,38.236359839329864,full_240825,randomblock,,,5.7945724200127815,42.107519029896196,51.13306819530372,108.34008584188717,42.11878101487868,240825,production_reconstruction,32,118.25774267088592,timing_queue_diagnostic_only,,39.52807145614796,,,,,45.319421870259404
2.9711789579744656,1.03470237266903,resolution_4096,p1i,,,0.8756875246005267,1.380415610093914,2.663304501938413,3.120072921937366,2.9698698396833274,4096,production_reconstruction,32,3.983221596235521,timing_queue_resolution_diagnostic_only,,2.707533351983353,,,,,0.7207882102661313
1.5235426203773423,2.0736711401962444,resolution_4096,p1i,,,0.7323416459043166,0.9961397468593648,0.7319249476522575,1.1904910095994177,1.5184888200276743,4096,fvm,32,1.9629319786480046,timing_queue_resolution_diagnostic_only,,0.46464415411332627,,,,,0.2795295300005794
3.1147259630670194,1.0324503210044302,resolution_8192,p1i,,,1.0888740547023419,1.462245014737604,2.676778221020937,3.307222598188574,3.113792108628371,8192,production_reconstruction,32,4.18270434700712,timing_queue_resolution_diagnostic_only,,2.7570048809560794,,,,,0.7320818708701292
1.5228489233972309,2.0739404752886843,resolution_8192,p1i,,,0.7323698565946635,0.9962696023392286,0.9171088964803534,1.1911061000126233,1.5187982483257476,8192,fvm,32,1.9633027633031355,timing_queue_resolution_diagnostic_only,,0.4921144014051607,,,,,0.2797910336647873
3.1712149563448877,1.0233071282050863,resolution_16384,p1i,,,1.2198885780309427,1.524368415361835,2.6199781930151715,3.381870040573269,3.1705993450638714,16384,production_reconstruction,32,4.253200944206904,timing_queue_resolution_diagnostic_only,,2.7709746072716954,,,,,0.7358890716956971
1.5221852026200997,2.074202494227701,resolution_16384,p1i,,,0.732411080610967,0.996431228383459,0.8380235782564778,1.191235438070111,1.5190030239758656,16384,fvm,32,1.9635708399647795,timing_queue_resolution_diagnostic_only,,0.5014561511259206,,,,,0.27978843622360394
3.16906966621593,1.023052674916867,resolution_32768,p1i,,,1.3287039965910747,1.561454796453877,2.676645672868699,3.3845173610349333,3.1686783800852423,32768,production_reconstruction,32,4.249483219128795,timing_queue_resolution_diagnostic_only,,2.805243903411956,,,,,0.7387963967011175
1.521907662755147,2.074328029524019,resolution_32768,p1i,,,0.7324134305025863,0.996520995425783,0.9363378156905341,1.1915530985150615,1.519157312155432,32768,fvm,32,1.9637710687878336,timing_queue_resolution_diagnostic_only,,0.5126552782272298,,,,,0.2798226978817609
3.1366473866945666,1.0172318748332372,resolution_65536,p1i,,,1.3578904905560298,1.586703541347014,2.66718086234337,3.336015830120096,3.1363905654727864,65536,production_reconstruction,32,4.180685677551182,timing_queue_resolution_diagnostic_only,,2.8659274656978257,,,,,0.7381006900778013
1.5217780021487188,2.074538280042439,resolution_65536,p1i,,,0.732414366512104,0.9966270666442402,1.0940934127658692,1.1919342795141568,1.5193560971137812,65536,fvm,32,1.9640098125980714,timing_queue_resolution_diagnostic_only,,0.5244238614420087,,,,,0.27987665833000913
2.93007815047246,1.0192955858271544,resolution_240825,p1i,,,1.4166227241631664,1.6078448814567496,2.6754180327870216,3.072004859000795,2.930201040418054,240825,production_reconstruction,32,3.793191218735748,timing_queue_resolution_diagnostic_only,,2.9628423491587124,,,,,0.7376142341287082
0.031844662040212246,0.010716097348772824,resolution_240825,p1i,,,0.00022646361985941381,0.000614593647147556,0.5096626175014703,0.06964839353793924,0.03655308281557931,240825,fvm,32,0.0458136244948983,timing_queue_resolution_diagnostic_only,,0.29555740210047954,,,,,0.012519725738727984
42.110165651953196,38.267957342230964,resolution_4096,randomblock,,,5.6174695982243685,41.960505895814705,51.18157570476535,117.70997967106737,42.092716389986975,4096,production_reconstruction,32,131.50243518656995,timing_queue_resolution_diagnostic_only,,40.05353200067166,,,,,45.37473795576095
42.143950542542804,38.29767301529239,resolution_8192,randomblock,,,5.659451923712084,42.000536324444866,51.16363261653961,118.39222360144674,42.13468141716141,8192,production_reconstruction,32,131.95958809833016,timing_queue_resolution_diagnostic_only,,40.02310781485637,,,,,45.4725580313821
42.16327073586262,38.26204674813278,resolution_16384,randomblock,,,5.683977211768492,42.05166960181616,51.17323541931923,118.52956052022326,42.15767468427996,16384,production_reconstruction,32,131.982328753464,timing_queue_resolution_diagnostic_only,,39.899303899980886,,,,,45.59773239572119
42.133196718543545,38.17789626615475,resolution_32768,randomblock,,,5.711338834839623,42.06644732285432,51.1545906995003,118.02984678795146,42.12972955899388,32768,production_reconstruction,32,131.1717178531677,timing_queue_resolution_diagnostic_only,,39.83714640485929,,,,,45.50051780789771
42.07098510444779,38.23080734553454,resolution_65536,randomblock,,,5.730572352025414,42.081534851399404,51.14744121793962,116.5083266699862,42.068180846737356,65536,production_reconstruction,32,129.10144961164667,timing_queue_resolution_diagnostic_only,,39.64743106978539,,,,,45.18549737598154
0.906669610080991,0.8059312477190284,resolution_65536,randomblock,,,0.5177585518430435,0.7742472455192585,0.8578249104953747,1.9784253638830696,0.9064255568835906,65536,fvm,32,2.5721815497895615,timing_queue_resolution_diagnostic_only,,0.7813176556484038,,,,,0.673166550024754
42.12387676504843,38.23625910970623,resolution_240825,randomblock,,,5.794640858667071,42.10756654063102,51.13263558883485,108.34012952963425,42.11885029035301,240825,production_reconstruction,32,118.25791767302736,timing_queue_resolution_diagnostic_only,,39.52810702161048,,,,,45.319289187435814
8.80820919945301e-06,8.803205976428388e-06,resolution_240825,randomblock,,,9.450899050912913e-08,6.493462611054393e-08,8.813002685059235e-06,2.2485074246844162e-05,8.808244663500532e-06,240825,fvm,32,2.5031328181893273e-05,timing_queue_resolution_diagnostic_only,,8.825942485020745e-06,,,,,8.81505836405464e-06
337.1175871194241,289.75122785177564,direct_structured_support_4096,p1i,,,21.456603964828965,356.4330518715784,416.1287269427954,403.6008268380223,337.5105797907169,4096,direct_model,32,368.3560137775815,structured_support_OOD_diagnostic_only,,387.2393155019537,,,,,345.5981129566412
144.0094626088167,126.63293650035918,direct_structured_support_8192,p1i,,,8.998884908631192,151.90336803213023,179.94689858559633,171.74104142217493,144.13501048971693,8192,direct_model,32,151.07797183276898,structured_support_OOD_diagnostic_only,,163.81961280203083,,,,,148.17626469145546
36.537332198582,33.25544413384605,direct_structured_support_16384,p1i,,,2.2146342076187326,38.18862762931866,48.661048077706965,42.99740462224611,36.561592545876096,16384,direct_model,32,33.55859442606547,structured_support_OOD_diagnostic_only,,41.39435442512502,,,,,35.18128119309674
12.679933876320987,12.765832148304165,direct_structured_support_32768,p1i,,,0.9339426187451607,13.035723546846047,16.400578553328465,14.730355938843514,12.688280330382376,32768,direct_model,32,10.374801706584822,structured_support_OOD_diagnostic_only,,14.586372175292698,,,,,11.169112370885856
4.108247492243266,4.0092421524475546,direct_structured_support_65536,p1i,,,0.8787109265722497,3.8912067368796053,4.798357371341503,4.715123964825056,4.113648742740786,65536,direct_model,32,3.923094294597373,structured_support_OOD_diagnostic_only,,5.4020746760321785,,,,,3.829818001873954
181.67170569869452,150.59309969759184,direct_structured_support_240825,p1i,,,10.747452086408552,190.6801263160793,211.70918705172352,215.32597812210543,181.7419071999353,240825,direct_model,32,189.76740052832878,structured_support_OOD_diagnostic_only,,199.6106293021548,,,,,190.0902597928079
23.125793818052482,32.16301302144566,direct_structured_support_65536,randomblock,,,4.145523254896422,21.189813618565093,20.06851025543231,55.286758500182664,23.116375954059887,65536,direct_model,32,65.12427731528575,structured_support_OOD_diagnostic_only,,18.070748875115143,,,,,20.62084388167647
26.504765584332443,34.344858871348926,direct_structured_support_240825,randomblock,,,4.133442432655183,24.40629064285245,23.550045177147588,63.20148514198923,26.496124619863373,240825,direct_model,32,74.75715237439236,structured_support_OOD_diagnostic_only,,21.75469686915127,,,,,24.282267765966896
