config_id,seed,host,checkpoint_label,epoch,support_point_global_pct,support_sample_first_pct,support_raw_cv_rmse_K,shape_cv_rmse,scale_log_rmse,full_point_global_pct,full_sample_first_pct,full_raw_cv_rmse_K,peak_rmse_K,source_rmse_K,background_rmse_K,layer_mean_rmse_K,layer_drop_rmse_K,interface_rmse_K,top_rmse_K,bottom_rmse_K
V6_06_V5best_P1i_seed0_reliable_B24,0,devbox,point_global_best,559,2.1099431505824233,1.6407085115485034,1.316122932076816,0.012053868605730225,0.012467959223817205,3.4598839257728553,3.9642902273173015,2.985701455888172,4.150015006650825,2.9102038389724387,2.9859132142137215,1.463570203222442,1.470763664749501,1.4831037304458001,0.7884622168853839,1.1404176708735831
V6_06_V5best_P1i_seed0_reliable_B24,0,devbox,sample_first_best,572,2.1496269688317833,1.638394888900857,1.3326381448516842,0.012115299964976622,0.01247500350759864,3.422669563186034,3.948799540982208,2.983982421433993,4.300499669320881,2.9726237467184817,2.984014628152535,1.427580122738039,1.4290330395458126,1.4522145585683293,0.8048094364646525,1.1282049504515375
V6_06_V5best_P1i_seed0_reliable_B24,0,devbox,base_mse_best,559,2.109934900810299,1.6406439153479433,1.3160706258958703,0.012054025404855267,0.01246753978987824,3.4598557142833037,3.964268736175165,2.985671665699791,4.150036728514103,2.91028364793821,2.9858831205322067,1.4635259793007085,1.470753076314501,1.4830138382901121,0.7885062325036613,1.140305628420288
V6_06_V5best_P1i_seed0_reliable_B24,0,devbox,final,600,2.1529411927949704,1.665574020524686,1.3417095614468648,0.01212864818641395,0.012694341820821468,3.505023608517911,3.9815537239706162,3.000587955657094,4.22619929516728,2.9486029839351002,3.0007343543827316,1.5154459999303926,1.484392192034575,1.5390551245676956,0.8166731081393477,1.1441676259259337
V6_07_V5best_P1i_seed1_reliable_B24,1,wsl2,point_global_best,455,2.0481713060929105,1.6324989974454314,1.2591368315690699,0.012481415996316744,0.012101433250274192,3.4904876329400674,3.963523085497847,2.970242644848947,3.7805688044286927,2.9150536855927602,2.9703979678551375,1.4516289487839376,1.5308257955618267,1.487104070700319,0.7982259521411391,0.9975319767435388
V6_07_V5best_P1i_seed1_reliable_B24,1,wsl2,sample_first_best,571,2.0600127719994457,1.6058469589777309,1.2660394068870224,0.01212248290633924,0.012236413957496915,3.4366481104334823,3.9435962363713966,2.9628764138257346,3.916686246381524,2.926259956168708,2.9629797911668923,1.4302748009585011,1.4638537436430594,1.4622221525809156,0.7774122455303211,0.9641701042921221
V6_07_V5best_P1i_seed1_reliable_B24,1,wsl2,base_mse_best,455,2.048189336707842,1.6324661205969655,1.2591530827071256,0.012481255666992958,0.012101176982114279,3.4905290148870094,3.9635223225618192,2.9702556524796515,3.7803116204592735,2.9150550680161085,2.9704110079023343,1.4516993075576232,1.5308510893589353,1.4872039574676252,0.7982509512522842,0.9975945258941732
V6_07_V5best_P1i_seed1_reliable_B24,1,wsl2,final,600,2.082147035323807,1.6184442685487563,1.2772504431900051,0.012148097097595907,0.012552521724320599,3.3760068374153143,3.931475839560036,2.955801973248957,4.122858914598477,2.9803782953797553,2.9557318644834085,1.3699190673693467,1.3961658578330036,1.398442929405635,0.7812162312264684,0.9624641835047467
V6_08_V5best_P1i_seed2_reliable_B24,2,wsl2,point_global_best,587,1.9239306532241305,1.6149976928715188,1.223538921154059,0.01162621708547646,0.012658062905030989,3.3775050164285894,3.947064647955797,2.9475690932335,3.3930722051674067,2.6858414125055923,2.948279526452225,1.3679205145658617,1.4678668629930416,1.402963046742986,0.7285062341752925,0.9584074141689428
V6_08_V5best_P1i_seed2_reliable_B24,2,wsl2,sample_first_best,593,1.9431086299959832,1.6136484242515812,1.2274250540072025,0.01158681718057646,0.012721023011262106,3.327972783790054,3.9353155934265396,2.9406366456878716,3.5981878456779883,2.7277332179666027,2.9412195200619777,1.3148804696856864,1.4376599422284853,1.3525303371670985,0.7243475622464454,0.9488473343178297
V6_08_V5best_P1i_seed2_reliable_B24,2,wsl2,base_mse_best,587,1.9240378750217941,1.6151677325041562,1.2236372151109498,0.011626229212375728,0.012660169948139493,3.3775624780101974,3.9471439446471623,2.947609232806104,3.3930138833203407,2.685954616785002,2.9483194773828805,1.3680100214365667,1.4678686713209301,1.4030077116750954,0.7285129476324607,0.958509984005544
V6_08_V5best_P1i_seed2_reliable_B24,2,wsl2,final,600,1.931972293697631,1.6248881806661755,1.2251368922652166,0.011672702255990128,0.012754355656507347,3.3942840528417015,3.952174147582353,2.949930109858592,3.348437078584258,2.6908075969713554,2.9506338236462586,1.3632579282935382,1.4955863698823941,1.4006039170725624,0.731688167087391,0.958715405292112
