machine,evidence_role,fresh_latency_rank,q2_throughput_rank,route,order_seeds,cold_s_median,cold_s_min,cold_s_max,fresh_s_median,fresh_s_min,fresh_s_max,fresh_p95_s_median,fresh_p95_s_min,fresh_p95_s_max,cache_hot_s_median,cache_hot_s_min,cache_hot_s_max,resident_s_median,resident_s_min,resident_s_max,q2_submit_s_median,q2_submit_s_min,q2_submit_s_max,q2_submit_p95_s_median,q2_submit_p95_s_min,q2_submit_p95_s_max,q2_throughput_samples_s_median,q2_throughput_samples_s_min,q2_throughput_samples_s_max,b16_to_b32_marginal_s_median,b16_to_b32_marginal_s_min,b16_to_b32_marginal_s_max,ram_bytes_median,ram_bytes_min,ram_bytes_max,vram_bytes_median,vram_bytes_min,vram_bytes_max,fresh_speedup_vs_fvm_median,fresh_speedup_vs_fvm_min,fresh_speedup_vs_fvm_max,q2_speedup_vs_fvm_median,q2_speedup_vs_fvm_min,q2_speedup_vs_fvm_max,model_seed_label,paired_speedup_definition
wsl2,primary_authoritative,2,2,E16384_reconstruction,"[20260814, 20260815, 20260816]",0.8913912079297006,0.8748217658139765,0.9084151932038367,0.8832465254236013,0.8791875480674207,0.8922206142451614,0.982959209359251,0.9535444008419289,0.9838125811656937,0.01723840390332043,0.017037475248798728,0.017388236476108432,0.006441973149776459,0.006440117489546537,0.006513793021440506,1.1523080875631422,1.1313511990010738,1.1577038157265633,1.3603447827743367,1.3588916141306981,1.3612547097029164,1.726329665327671,1.697267141855395,1.7265263989432615,0.567697766731726,0.5599838138150517,0.586381867993623,4343300096.0,4333617152.0,4343812096.0,443188736.0,305813760.0,443189760.0,2.0013168422384684,1.9545994394013546,2.0293524656222357,2.005173095171336,1.9803844446500696,2.0162806084311136,model_seed0,within each lifecycle seed and identical ordered sample IDs compute FVM/neural paired workload ratio first; report median and min-max over the three lifecycle seeds; never pool 96 samples across machines
wsl2,primary_authoritative,1,1,U_v2_16384_reconstruction,"[20260814, 20260815, 20260816]",0.827453242149204,0.8098038248717785,0.8323723133653402,0.8661765540018678,0.8659982257522643,0.8792787864804268,0.9114785658428445,0.9073353003244847,0.9164918229682371,0.013645591912791133,0.013236231403425336,0.01598892454057932,0.004051928874105215,0.003881650511175394,0.004230750957503915,1.1343586589209735,1.1149309049360454,1.1419467846862972,1.2538536867592485,1.2089576999656855,1.2542332087643444,1.7594814717617289,1.7488618263053948,1.7944797281720086,0.5616106673260219,0.5433704782044515,0.5686626350798178,3221032960.0,3208712192.0,3227680768.0,314090240.0,297509376.0,410075904.0,1.9763314924381818,1.9563511877533537,1.996020402993489,2.052976606568755,2.042597226952993,2.0840935145638233,model_seed0,within each lifecycle seed and identical ordered sample IDs compute FVM/neural paired workload ratio first; report median and min-max over the three lifecycle seeds; never pool 96 samples across machines
wsl2,primary_authoritative,3,4,U_v2_direct240825,"[20260814, 20260815, 20260816]",1.5253308811224997,1.4054057621397078,1.5535546690225601,1.309088043635711,1.3015637004282326,1.3956956584006548,1.5273324431385844,1.5086737914010881,1.5534232629695908,0.07013794756494462,0.07009266782552004,0.07036033039912581,0.05923160701058805,0.0589930210262537,0.05988891562446952,1.716335293604061,1.7090221343096346,1.7595399403944612,1.9549812979530543,1.8923903001938016,1.9551341336220502,1.147569509832514,1.1315700634370947,1.1690535661861488,0.8553287149989046,0.843338304257486,0.8786923476145603,5549998080.0,5254012928.0,5551108096.0,3995909632.0,3995909632.0,6670066176.0,1.2923099591481455,1.2081887027507383,1.30716972665037,1.3403130328892972,1.3203247128279352,1.3577288822026308,model_seed0,within each lifecycle seed and identical ordered sample IDs compute FVM/neural paired workload ratio first; report median and min-max over the three lifecycle seeds; never pool 96 samples across machines
wsl2,primary_authoritative,4,3,E240825_direct_control,"[20260814, 20260815, 20260816]",1.3828958747908473,1.3786619938910007,1.397238093893975,1.3102346409577876,1.2926584114320576,1.3113206219859421,1.3755142256850377,1.3661577069433406,1.389566839649342,0.11026625940576196,0.11025718483142555,0.11050050682388246,0.09460066421888769,0.09457745007239282,0.09478142252191901,1.540077030658722,1.4466665445361286,1.5457806792110205,1.7245816235896199,1.7141478030942379,1.7310574221424755,1.3108900829676136,1.283853489279441,1.3469175916241583,0.7300854247296229,0.7124305508623365,0.7558672614395618,8384962560.0,8352710656.0,8639639552.0,4052184576.0,4052184576.0,4052184576.0,1.3219975757612379,1.2984084237271567,1.3340751844751115,1.5310646090128834,1.4910565378094611,1.5715938763547206,model_seed0,within each lifecycle seed and identical ordered sample IDs compute FVM/neural paired workload ratio first; report median and min-max over the three lifecycle seeds; never pool 96 samples across machines
wsl2,primary_authoritative,5,5,FVM240825_reference,"[20260814, 20260815, 20260816]",1.851149657741189,1.8152325949631631,2.1552919670939445,1.7006825949065387,1.6965987938456237,1.7102128411643207,1.9608000347157941,1.9486500145634635,2.046042246068828,1.6290058540180326,1.625003007473424,1.8813146667089313,1.6267920054960996,1.626611387124285,1.8795690895058215,2.294414240401238,2.2849850696511567,2.310379227856174,2.5823483393294735,2.5665013948688284,2.6116721608210356,0.8570392210666445,0.8561951437260233,0.8610360886553464,1.1526178251951933,1.1287597682676278,1.1653023513790686,1466626048.0,1465122816.0,1468436480.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,N/A,within each lifecycle seed and identical ordered sample IDs compute FVM/neural paired workload ratio first; report median and min-max over the three lifecycle seeds; never pool 96 samples across machines
devbox,independent_overclock_enabled_replication,2,2,E16384_reconstruction,"[20260814, 20260815, 20260816]",0.8371991156600416,0.8360997540876269,0.8941598529927433,0.8318714390043169,0.8206553249619901,0.8623441739473492,0.8839393693720922,0.87535783033818,0.8877421910408885,0.015745718264952302,0.015581280924379826,0.015782309463247657,0.005938862217590213,0.005924354074522853,0.005961958784610033,1.1234120945446193,1.092603272991255,1.1235234341584146,1.2857983112800866,1.2656437361612916,1.2933902522781864,1.805342830181821,1.7879602466397053,1.8223209581668538,0.5383170681307092,0.5365656543872319,0.558185382571537,4340736000.0,4322975744.0,4348715008.0,443186688.0,305813760.0,443189248.0,1.80323905354746,1.7626275945346257,1.8093227269284609,1.9242633980197035,1.861362105114942,1.9366088962076593,model_seed0,within each lifecycle seed and identical ordered sample IDs compute FVM/neural paired workload ratio first; report median and min-max over the three lifecycle seeds; never pool 96 samples across machines
devbox,independent_overclock_enabled_replication,1,1,U_v2_16384_reconstruction,"[20260814, 20260815, 20260816]",0.7723883697763085,0.7611103248782456,0.7966256709769368,0.8106694354210049,0.8075346639379859,0.8149998798035085,0.8394912553485483,0.8388084751553834,0.8640561304753646,0.012751033063977957,0.012381276115775108,0.013169309590011835,0.003953138366341591,0.003849606029689312,0.0041457724291831255,1.0685920044779778,1.0649357594083995,1.0746882495004684,1.1238321791170165,1.1077695864252746,1.1430530334357172,1.8688302483121035,1.8559764589143735,1.880942106486612,0.5305508666788228,0.5225545822468121,0.535491506831022,3184177152.0,3173339136.0,3207483392.0,297509376.0,297509376.0,310633216.0,1.792673955946745,1.7692729818372759,1.7947029027354482,1.9861638714550018,1.9321706145879343,2.004712470051292,model_seed0,within each lifecycle seed and identical ordered sample IDs compute FVM/neural paired workload ratio first; report median and min-max over the three lifecycle seeds; never pool 96 samples across machines
devbox,independent_overclock_enabled_replication,3,4,U_v2_direct240825,"[20260814, 20260815, 20260816]",1.3345929607748985,1.265911941882223,1.5115139340050519,1.1710687794256955,1.1510244864039123,1.195632962975651,1.3606817357009278,1.3174738104222343,1.4345183389494196,0.06379176862537861,0.06365950126200914,0.06916662398725748,0.0549826945643872,0.054912703577429056,0.05943301250226796,1.4805777170695364,1.4796936684288085,1.4829911917913705,1.6868072561221197,1.685637822584249,1.8126205818261951,1.3266020082529169,1.3169161714925386,1.3436391430382666,0.7615422972012311,0.7426580844330601,0.7626605738769285,5334355968.0,5320163328.0,5609984000.0,3995909632.0,3995909632.0,6705033472.0,1.2336370093724702,1.2138402243329363,1.241137864690572,1.3905857668522221,1.3810635395122122,1.4413348391223166,model_seed0,within each lifecycle seed and identical ordered sample IDs compute FVM/neural paired workload ratio first; report median and min-max over the three lifecycle seeds; never pool 96 samples across machines
devbox,independent_overclock_enabled_replication,4,3,E240825_direct_control,"[20260814, 20260815, 20260816]",1.2596444617956877,1.2465847870334983,1.5136557910591364,1.1880306282546371,1.1749422231223434,1.1987397950142622,1.2785416543250903,1.2512758785160258,1.2824142895406112,0.09989376552402973,0.09985001478344202,0.09991573775187135,0.08736069244332612,0.087347173364833,0.08742822334170341,1.3128402326256037,1.2567950645461679,1.3538389627356082,1.5299894627649335,1.4801533882273359,1.5632351428037508,1.5007720175490395,1.4435802309029422,1.5549545184979843,0.6359565113089047,0.6168853213021066,0.6915959820034914,8511008768.0,8477040640.0,8760983552.0,4052184576.0,4052184576.0,4052184576.0,1.2162617526660031,1.190431903931147,1.2392048857216587,1.5847266910911437,1.5028441166663598,1.6680149074058215,model_seed0,within each lifecycle seed and identical ordered sample IDs compute FVM/neural paired workload ratio first; report median and min-max over the three lifecycle seeds; never pool 96 samples across machines
devbox,independent_overclock_enabled_replication,5,5,FVM240825_reference,"[20260814, 20260815, 20260816]",1.5804627072066069,1.4724409570917487,1.6928209676407278,1.433134846156463,1.421253992477432,1.4409563990775496,1.6769261405803264,1.6651076111942529,1.699150869785808,1.386520580155775,1.3662796658463776,1.6217019162140787,1.399985017022118,1.3785897409543395,1.6225749941077083,2.0876903745811433,2.0380884534679353,2.106868966948241,2.379972799657844,2.329247079580091,2.4150806837016714,0.9470226165722632,0.9322185980437824,0.9605655136775743,1.048152317700442,1.034482666378608,1.0669412270653993,1463791616.0,1448398848.0,1465368576.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,N/A,within each lifecycle seed and identical ordered sample IDs compute FVM/neural paired workload ratio first; report median and min-max over the three lifecycle seeds; never pool 96 samples across machines
