feature,peak_spearman,peak_linear_r2
continuous_severity,0.8642476194836111,0.7084525912127937
package_total_power_W,0.7502746749679545,0.5331237858583432
top_h_W_m2K,-0.09678859183299761,0.009779535828999819
bottom_h_W_m2K,0.11463101995971434,0.00986456012558623
source_count,-0.20052291640529302,0.04021540287174452
k_region_count,0.022101560130007334,0.0033395467174405224
upper_source_count,-0.16502801058311284,0.02690608327730093
cross_family_overlap_pair_count,-0.04543699428239849,0.0010956252894135377
power_base_W,0.8642476194836111,0.7084525912127937
power_top_h_factor,-0.09678859183299761,0.010166495298494782
power_independent_latent,0.40987799853506685,0.19859409887816482
power_independent_multiplier,0.40987799853506685,0.20295219325143543
total_source_area_fraction,-0.2133881157297198,0.04143869101675712
mean_source_area_fraction,-0.08934375572239517,0.0025128877047584375
source_area_cv,-0.08568142281633401,0.005569021862035228
mean_source_aspect_ratio,0.03488944332539828,0.0055470842619993466
source_centroid_spread,-0.10207608496612343,0.023534364135914698
source_upper_fraction,-0.046771635925325405,0.0026641665076084786
cross_family_overlap_fraction,0.05112898266685017,0.004333072986314357
q_proxy_mean_W_m3,0.6671053836293719,0.3587565217416109
q_proxy_max_W_m3,0.6707791613257645,0.36521514083143314
mean_local_k_W_mK,-0.17407526094121956,0.03532083447826617
local_k_log_std,0.05142144295916499,0.0023324653274509055
background_kz_pcb_fr4_equivalent_W_mK,0.03319561435634499,7.713283237453794e-06
background_kz_bt_substrate_with_vias_W_mK,-0.009779573338216442,1.720351399348008e-05
background_kz_silicon_interposer_tsv_0p1_W_mK,-0.036600439479948725,1.082383689543498e-05
background_kz_bump_underfill_under_interposer_W_mK,0.0019913935176707562,0.00021298514991385797
background_kz_silicon_die_lower_W_mK,-0.03316127998535067,0.00016588715502996454
background_kz_tim_between_dies_W_mK,-0.039530305804797654,0.0007372344443098422
background_kz_silicon_die_upper_W_mK,-0.01309284013916865,0.00022416701853988918
background_kz_tim_to_spreader_W_mK,-0.05050013733748398,0.0028455056034836224
background_kz_spreader_W_mK,-0.004131569309650246,4.155152940610307e-07
