feature,peak_spearman,peak_linear_r2
continuous_severity,0.8618785478850027,0.731932753830104
package_total_power_W,0.6833169291338582,0.4617471149725195
top_h_W_m2K,-0.17196369712506865,0.032639885347827136
bottom_h_W_m2K,-0.045636101446621495,0.014881223686350697
source_count,-0.20901261189967263,0.05277433690509992
k_region_count,0.23645336365395284,0.048319134045502365
upper_source_count,-0.05791618428143,0.0035265552228237462
cross_family_overlap_pair_count,-0.005542296753833375,5.098903595424087e-05
power_base_W,0.8618785478850027,0.7699800286961895
power_top_h_factor,-0.17196369712506865,0.03307651959227753
power_independent_latent,0.38041910822193736,0.15145265972988575
power_independent_multiplier,0.38041910822193736,0.14891699931530944
total_source_area_fraction,-0.1920378593664164,0.044449299443811374
mean_source_area_fraction,0.03129577916132576,0.0003702454367267016
source_area_cv,-0.08839956052005127,0.014268293514910213
mean_source_aspect_ratio,0.1068600073246658,0.019156190035410692
source_centroid_spread,-0.1287310016480498,0.016804337663093638
source_upper_fraction,0.09893489502966352,0.009572518686287501
cross_family_overlap_fraction,-0.008253445340204332,0.00044082484809260247
q_proxy_mean_W_m3,0.6007255997070133,0.29300979347153666
q_proxy_max_W_m3,0.6180759018494781,0.32571686520037324
mean_local_k_W_mK,0.2011421900750778,0.031943884623211405
local_k_log_std,0.23296442959164984,0.05646991194833373
background_kz_pcb_fr4_equivalent_W_mK,-0.020486174693279617,0.0005613378516586831
background_kz_bt_substrate_with_vias_W_mK,-0.004148736495147408,8.701827609014501e-05
background_kz_silicon_interposer_tsv_0p1_W_mK,-0.020852407983885733,0.00013224677647938332
background_kz_bump_underfill_under_interposer_W_mK,0.00033189891961179265,5.558526167126487e-06
background_kz_silicon_die_lower_W_mK,0.014798113898553377,7.75050174647296e-05
background_kz_tim_between_dies_W_mK,-0.05800219739974364,0.0038832211527241034
background_kz_silicon_die_upper_W_mK,0.0036566105108954403,2.803542939622261e-05
background_kz_tim_to_spreader_W_mK,-0.057555850576817426,0.0034275810974701004
background_kz_spreader_W_mK,0.002821140816700238,3.786430275087849e-05
