side,sample_id,split_role,peak_deltaT_K,mean_deltaT_K,cv_rms_deltaT_K,package_total_power_W,continuous_severity,top_h_W_m2K,bottom_h_W_m2K,total_source_volume_m3,mean_q_W_m3,max_q_W_m3,mean_local_k_W_mK,source_count,k_region_count
left,v6p1if_0923,train,165.9063727113312,108.44161232956243,109.5759513071369,14.555568232542875,0.9125102227553725,1173.8208428165935,106.18470795105445,6.61087036132812e-10,22312658161.786148,29138599000.223892,94.08298709197368,3,5
right,v6p1if_0650,valid_iid,171.64975253898132,135.98552364115224,136.2010142552234,11.786553269331456,0.9991472074761987,822.6621044523948,25.77002116417298,7.19070434570312e-10,16521428444.748026,19484992596.44391,173.45834423721612,3,8
