resolution,new_case_median_seconds,new_case_p95_seconds,warm_cache_median_seconds,warm_cache_p95_seconds,neural_forward_median_seconds,neural_forward_p95_seconds,reconstruction_max_abs_error_K,reconstruction_max_rmse_K,peak_vram_bytes
4096,0.32604494562838227,0.3387186749605462,0.0032185360323637724,0.003490280220285058,0.0032160880509763956,0.003664864553138614,3.071297373935522e-05,6.85273492626092e-06,157979136
8192,0.346083189942874,0.3595675714430399,0.004326750058680773,0.004637661727610975,0.004396616946905851,0.004715492785908281,3.189576466411381e-05,6.826470732159387e-06,162774272
16384,0.36340211250353605,0.37208423799602314,0.008008401957340539,0.008662753237877041,0.00801954697817564,0.008546535111963748,3.202916377631482e-05,6.733877219373257e-06,244753664
32768,0.4129834249615669,0.4236251087975688,0.018056844943203032,0.018398880877066405,0.01804737001657486,0.018476763262879104,3.0812016547088206e-05,6.5156792069969555e-06,470183936
65536,0.47020660305861384,0.49395294240675863,0.036220638430677354,0.03667767632286996,0.036094734095968306,0.03645569910295308,3.096602156915651e-05,6.031695615462699e-06,867789568
