resolution,status,support_point_global_pct,support_sample_first_pct,support_raw_cv_rmse_K,support_peak_rmse_K,support_source_rmse_K,support_background_rmse_K,support_interface_drop_rmse_K,full_point_global_pct,full_sample_first_pct,full_raw_cv_rmse_K,full_peak_rmse_K,full_source_rmse_K,full_background_rmse_K,full_interface_drop_rmse_K,oracle_full_point_global_pct,oracle_full_raw_cv_rmse_K,gpu_replay_rmse_K,gpu_replay_max_abs_K,graph_seconds,jit_first_forward_seconds,steady_forward_median_seconds,reconstruction_seconds,end_to_end_seconds,peak_rss_bytes,peak_vram_bytes,result_sha256
1024,passed,1.754447414985133,1.4104226878028157,1.2949499373815059,2.636256978615902,2.69086538119256,1.239720709379017,0.6524220886751985,3.071967625386462,3.7931740205886584,2.930196006566672,2.6755216248449316,2.9627762630847885,2.930073347748559,1.4165821789031567,2.489856066895459,2.6290367861682675,0.0016995292434191349,0.007598876953125,58.78627277794294,4.288621648214757,0.0021384211722761393,2.0501013800967485,80.62479359889403,4908982272,158623744,347b1c4f262fbf9142d3eee048696c8f9d20972efb46692415dc481b497b9205
4096,passed,2.9669478358385524,2.5398371141851226,2.1076791221689497,3.564594874358049,3.639616777776804,2.085719855089179,0.4232404307145843,2.823750041212247,3.2903205353120364,2.6381528447588414,3.565766029145503,3.5611520964318055,2.634089567712552,0.6908449321960156,1.4887712831896143,1.6370542970513278,0.001594676635823266,0.008103373620485854,68.17683076299727,4.767195085994899,0.0032649938948452473,1.9825023908633739,88.4267066330649,5166493696,226714624,2fcd010c4dfe7446d3e1c63ee598be715c8612b4e1acfa7e830b096362c1d3a8
8192,passed,3.041382148684537,2.69646626089361,2.2143972300273798,3.3680542056004117,3.6272462073446596,2.1988201489740535,0.4657396615015584,2.7427579982503554,3.0860043929392598,2.491699688318761,3.369423744840235,3.6060349963750618,2.4865895607037545,0.5623705985613656,1.0807464629146346,1.1917747645083332,0.0016071240083388894,0.00850779771269572,73.9925936490763,5.340693452162668,0.004314851947128773,6.299643627600744,98.51136376708746,5192302592,313894144,2db85843391ebbf7d5015eff833e266bc82fb654ebd0f694b2f8e242c4e759d3
16384,passed,3.138509211657211,3.0141574971878917,2.4270317553353413,3.496277891479243,3.7391703132293705,2.416066430279624,0.5584772972829749,2.8173708946158174,3.1586288748782647,2.5342753349123437,3.496277891479243,3.7365713301693875,2.528700150796364,0.5954506934552837,0.7088529457821527,0.7741530600258646,0.0016223686526273785,0.010450155726118737,82.80080477893353,5.125929635949433,0.007673655170947313,6.9979030604008585,109.12794800195843,5297655808,531908096,3055dd4809ac450464bcf64e31d9063b049f0530590a9ba41a8ce23b94cc40ff
32768,passed,3.1887790986392757,3.282499270045973,2.6100857543359286,3.108928655934672,3.722045531524078,2.602732166854564,0.608158974074531,2.939389790801459,3.3291799012485193,2.6468942460370664,3.108928655934672,3.703181295835305,2.6421462383593823,0.6568611645383883,0.4676680532241624,0.4964680366695942,0.0015347228490932019,0.009574723884952618,94.73598622484133,5.10481193009764,0.01768113300204277,7.537199506070465,121.91535928309895,5528469504,1027177984,715a75296a133e7003742f6011f59eea1807c766fc4277488b81def7748bcbb7
65536,passed,3.346582661461924,3.530376262551047,2.791427628923666,3.088897881376177,3.8042449358307637,2.7856393838608398,0.6594721793905501,3.144189119461571,3.540718106066917,2.799543278853602,3.088897881376177,3.7889025596461865,2.7951812778718006,0.7010494419749512,0.31762225333103017,0.30980411010950715,0.0014053513880274422,0.009794353251436405,122.2256215880625,5.657807226991281,0.03464420000091195,8.585756088374183,152.60663453489542,6109839360,2350252032,615ab9527396dab6453a5b90b7de38c9f21a968a93b1e62ec46dd9143d6c663f
