feature,peak_spearman,peak_linear_r2
continuous_severity,0.7385094305072331,0.4822310220947139
package_total_power_W,0.6047770554843435,0.3322479053483671
top_h_W_m2K,-0.4668272752243179,0.2234948688600844
bottom_h_W_m2K,-0.03653177073796007,0.021761474279121007
source_count,-0.06321131971358754,0.009030097605316478
k_region_count,-0.0019218521193171427,0.00043008518460907474
upper_source_count,-0.10846172416826334,0.01163585749968088
cross_family_overlap_pair_count,0.13615535349159133,0.005040268596064101
power_base_W,0.7385094305072331,0.4822310220947138
power_top_h_factor,-0.4668272752243179,0.23207748792178795
power_independent_latent,0.42998077275224317,0.2223294817787692
power_independent_multiplier,0.42998077275224317,0.2256720009931631
total_source_area_fraction,-0.0643941127998535,0.00796147773932343
mean_source_area_fraction,0.02719854422266984,0.00032021804043202984
source_area_cv,0.09812763230177622,0.009768442283805134
mean_source_aspect_ratio,-0.006380470609778429,0.008756459463560406
source_centroid_spread,-0.08371864127449184,0.005794279644139921
source_upper_fraction,-0.0979736275023615,0.006391674094470057
cross_family_overlap_fraction,0.17057012959771703,0.02370416101048123
q_proxy_mean_W_m3,0.3944790331441128,0.169131967502826
q_proxy_max_W_m3,0.40033304339864495,0.17796646328625754
mean_local_k_W_mK,0.029888069950558507,0.0003238642471852238
local_k_log_std,-0.13158647683574434,0.007380485679143511
background_kz_pcb_fr4_equivalent_W_mK,0.023564823292437285,6.6586816856673e-05
background_kz_bt_substrate_with_vias_W_mK,-0.028577641457608497,0.0008406964725978794
background_kz_silicon_interposer_tsv_0p1_W_mK,0.0033590459622779706,0.0005149722240098686
background_kz_bump_underfill_under_interposer_W_mK,-0.019622093023255814,1.6194115433076917e-06
background_kz_silicon_die_lower_W_mK,0.004915537447353964,3.0840842557555703e-06
background_kz_tim_between_dies_W_mK,-0.07355566746017213,0.003399862781413021
background_kz_silicon_die_upper_W_mK,0.021481871452114994,0.00012305694108183385
background_kz_tim_to_spreader_W_mK,-0.04359892876762497,0.00016198874766581994
background_kz_spreader_W_mK,0.01117011536348654,4.1035149533907855e-06
