population,sample_id,split_role,true_peak_deltaT_K,total_power_W,continuous_severity,absolute_peak_error_K,sample_peak_relative_error_pct,peak_error_sse_K2,peak_error_sse_rank,is_top5_sse,is_top10_sse
valid32,v6p1if1_0907,valid_iid,87.93591973925396,4.7235675111334645,0.2903232127428055,3.9327774047851562,4.472321909461525,15.466738115588669,13,False,False
valid32,v6p1if1_0365,valid_iid,64.39605491096216,5.2064916603077975,0.27805722691118717,0.8456459045410156,1.3131952038215016,0.7151169958669925,25,False,False
valid32,v6p1if1_0632,valid_iid,73.43024429682976,7.731943860644218,0.8188065709546208,0.718841552734375,0.9789447925960529,0.5167331779375672,26,False,False
valid32,v6p1if1_0124,valid_iid,79.86399994079284,9.29601180118244,0.3479599030688405,0.40067291259765625,0.5016940209539906,0.16053878288948908,32,False,False
valid32,v6p1if1_0041,valid_iid,94.75031628245426,10.474792867852523,0.8645243793725967,6.851890563964844,7.231522630002733,46.948404300550465,3,True,True
valid32,v6p1if1_1003,valid_iid,141.69326873029144,7.7603535702771556,0.6283331699669361,2.7290191650390625,1.9260048056578203,7.447545603150502,18,False,False
valid32,v6p1if1_0091,valid_iid,140.0578666793283,8.70655450299574,0.632984128780663,0.64227294921875,0.4585768471608069,0.412514541298151,29,False,False
valid32,v6p1if1_0286,valid_iid,82.39213710204444,5.114794142683818,0.6099558537825942,5.851661682128906,7.10220888539582,34.2419444420957,8,False,True
valid32,v6p1if1_0915,valid_iid,54.589499221029484,3.8478997563714277,0.13947774935513735,1.6995697021484375,3.113363790473669,2.8885371724609286,21,False,False
valid32,v6p1if1_0572,valid_iid,73.43109404949547,5.453447747938667,0.5125920986756682,0.5078048706054688,0.6915392956874483,0.25786578661063686,31,False,False
valid32,v6p1if1_0522,valid_iid,120.06426563350084,7.069243059630338,0.6827245652675629,6.0084686279296875,5.004377111063743,36.10169525281526,5,True,True
valid32,v6p1if1_0708,valid_iid,123.17928727737382,12.365978385031777,0.5323996003717184,6.692535400390625,5.433166198892225,44.7900300854817,4,True,True
valid32,v6p1if1_0846,valid_iid,50.673500789538934,4.554079009807283,0.20594334043562412,1.5465431213378906,3.0519760767291606,2.3917956261575455,23,False,False
valid32,v6p1if1_0817,valid_iid,85.06419531270052,5.624004220423576,0.5610294649377465,0.5630035400390625,0.661857245541948,0.31697298609651625,30,False,False
valid32,v6p1if1_0869,valid_iid,133.3482380278333,11.84014803353632,0.6857859306037426,2.83026123046875,2.122458663366815,8.010378632694483,16,False,False
valid32,v6p1if1_0991,valid_iid,83.32629802736574,9.38268995059792,0.4150784881785512,4.558845520019531,5.471076512390279,20.78307247540215,11,False,False
valid32,v6p1if1_0203,valid_iid,86.8732874314183,9.848291786218809,0.34624564088881016,4.6341705322265625,5.334402172687416,21.47553652175702,10,False,True
valid32,v6p1if1_0543,valid_iid,63.13491850980603,3.7625992100614276,0.013123678974807262,2.15008544921875,3.40554086386411,4.622867438942194,19,False,False
valid32,v6p1if1_0854,valid_iid,105.05064792766166,12.43661438164426,0.3647306552156806,5.913764953613281,5.629441674348859,34.972615926584695,7,False,True
valid32,v6p1if1_0118,valid_iid,116.18048448264489,6.363592453000438,0.6451263586059213,0.65069580078125,0.5600732374966566,0.4234050251543522,28,False,False
valid32,v6p1if1_0930,valid_iid,61.3802886640313,5.471171815396781,0.21098851412534714,2.7815818786621094,4.531718470545593,7.73719774770143,17,False,False
valid32,v6p1if1_0029,valid_iid,53.43189104098542,3.0604832685169785,0.09292008820921183,1.6979026794433594,3.177695279661668,2.882873508860939,22,False,False
valid32,v6p1if1_0003,valid_iid,160.74940641348866,7.977747186952668,0.8836205657571554,1.0937347412109375,0.6803973747794574,1.1962556841317564,24,False,False
valid32,v6p1if1_0308,valid_iid,99.43220263914952,13.199944663154593,0.6377504030242562,3.5745010375976562,3.5949128579298564,12.777057667786721,14,False,False
valid32,v6p1if1_0599,valid_iid,44.12460847338002,2.6568340712446754,0.19469645526260138,4.9779815673828125,11.281644732068237,24.780300485203043,9,False,True
valid32,v6p1if1_0175,valid_iid,128.6920718437218,8.29586979987016,0.7864773515611887,7.960899353027344,6.186006052256834,63.37591850903118,1,True,True
valid32,v6p1if1_0347,valid_iid,163.36681873750098,8.049232366812944,0.4172511072829366,5.9636077880859375,3.6504400551915666,35.56461785011925,6,False,True
