metric,unit,count,mean,std,q00,q01,q05,q10,q25,q50,q75,q90,q95,q99,q100,occupied_bins,normalized_entropy,bin_count_cv,uniform_ks,uniform_ks_pvalue,wasserstein_normalized_range,maximum_gap,maximum_gap_normalized,central_kde_diagnosis,kde_bandwidth_sensitivity
peak_deltaT_K,K,1024,91.95303288399397,33.168849905938956,30.37403451000688,33.9866598029056,39.65927083622004,45.12495110441116,64.24305663036394,90.77670386923518,116.93940818272219,137.76965890892112,146.08404513372523,159.5184918434289,173.0984308776595,12,0.9514643209662785,0.4412938878005861,0.15480463263566557,6.772260492125719e-22,0.07110960943571701,4.076698941706809,0.02856343446151552,bimodal,count_changes
mean_deltaT_K,K,1024,73.05400911326919,26.781835326868876,22.008407564353615,26.27568921223072,31.538088817292355,35.50943356313078,51.80741173665199,72.64288929314864,92.96378364780443,108.648624508149,117.4261478994637,131.13735200777427,146.52729110040278,12,0.9310876464816045,0.5194578190587279,0.20586171170520573,1.5572617500365886e-38,0.09503921636782378,5.373680484016489,0.043155546624065004,unimodal,stable_count
cv_rms_deltaT_K,K,1024,73.60055247832507,26.895043703343408,22.486610592128407,26.499019988293163,31.912630957806048,35.78581621632489,52.005236937266886,73.04933365786549,93.41741771668566,109.64828065806006,117.70873267280471,131.72215002523583,146.71737420688797,12,0.9337121540448324,0.5090879415450366,0.20021466410658428,1.8700262602198823e-36,0.09311399313091137,5.398089239522193,0.04345211348987361,unimodal,count_changes
Reff_peak_K_W,K/W,1024,12.913976541177949,3.584897136028666,6.992221097165395,7.421296602542083,8.048529398824249,8.538183148350289,9.813869342163443,12.348855670376622,15.757833841314238,18.162412404563423,19.219412829258143,20.609996566597825,21.963282486481706,12,0.9502432536238303,0.45809005291758004,0.17137513633063584,9.147452221106525e-27,0.10773749549638854,0.49524817600573456,0.03308036505408727,unimodal,stable_count
top_heat_fraction,fraction,1024,0.9481364802528658,0.026737153365750027,0.853464451651843,0.8735870196913504,0.8949218096162912,0.9094052437806293,0.9322703137427178,0.9531564884591215,0.9687397764621698,0.9785324306729547,0.9818646105424239,0.9858613328778728,0.9882905765888875,12,0.8691455058691778,0.7619340641199908,0.34469865847463455,3.618089720364483e-109,0.20251090247047995,0.007494526992526396,0.05558660827807577,unimodal,stable_count
bottom_heat_fraction,fraction,1024,0.05186351975281076,0.026737153367260395,0.011709423409229076,0.014138667105677214,0.018135389454203992,0.021467569336815186,0.031260223576164495,0.046843511530215834,0.0677296862573258,0.09059475621565398,0.10507819040224459,0.12641298031183412,0.14653554837226238,12,0.8691455058691776,0.761934064119991,0.34469865870545807,3.618088471985004e-109,0.20251090247555592,0.007494527062402362,0.055586608785628266,unimodal,stable_count
