metric,unit,bin_index,lower,upper,count,fraction
peak_deltaT_K,K,0,30.37403451000688,42.267734207311264,76,0.07421875
peak_deltaT_K,K,1,42.267734207311264,54.16143390461565,96,0.09375
peak_deltaT_K,K,2,54.16143390461565,66.05513360192003,93,0.0908203125
peak_deltaT_K,K,3,66.05513360192003,77.94883329922442,80,0.078125
peak_deltaT_K,K,4,77.94883329922442,89.8425329965288,155,0.1513671875
peak_deltaT_K,K,5,89.8425329965288,101.73623269383319,123,0.1201171875
peak_deltaT_K,K,6,101.73623269383319,113.62993239113756,109,0.1064453125
peak_deltaT_K,K,7,113.62993239113756,125.52363208844196,102,0.099609375
peak_deltaT_K,K,8,125.52363208844196,137.41733178574634,85,0.0830078125
peak_deltaT_K,K,9,137.41733178574634,149.31103148305073,70,0.068359375
peak_deltaT_K,K,10,149.31103148305073,161.2047311803551,27,0.0263671875
peak_deltaT_K,K,11,161.2047311803551,173.0984308776595,8,0.0078125
mean_deltaT_K,K,0,22.008407564353615,32.384981192357714,61,0.0595703125
mean_deltaT_K,K,1,32.384981192357714,42.76155482036181,109,0.1064453125
mean_deltaT_K,K,2,42.76155482036181,53.138128448365904,107,0.1044921875
mean_deltaT_K,K,3,53.138128448365904,63.51470207637,103,0.1005859375
mean_deltaT_K,K,4,63.51470207637,73.8912757043741,150,0.146484375
mean_deltaT_K,K,5,73.8912757043741,84.26784933237819,134,0.130859375
mean_deltaT_K,K,6,84.26784933237819,94.64442296038229,123,0.1201171875
mean_deltaT_K,K,7,94.64442296038229,105.02099658838638,102,0.099609375
mean_deltaT_K,K,8,105.02099658838638,115.39757021639049,74,0.072265625
mean_deltaT_K,K,9,115.39757021639049,125.77414384439457,39,0.0380859375
mean_deltaT_K,K,10,125.77414384439457,136.15071747239867,17,0.0166015625
mean_deltaT_K,K,11,136.15071747239867,146.52729110040278,5,0.0048828125
cv_rms_deltaT_K,K,0,22.486610592128407,32.8391742266917,62,0.060546875
cv_rms_deltaT_K,K,1,32.8391742266917,43.191737861255,107,0.1044921875
cv_rms_deltaT_K,K,2,43.191737861255,53.544301495818296,105,0.1025390625
cv_rms_deltaT_K,K,3,53.544301495818296,63.89686513038159,104,0.1015625
cv_rms_deltaT_K,K,4,63.89686513038159,74.24942876494488,151,0.1474609375
cv_rms_deltaT_K,K,5,74.24942876494488,84.60199239950819,133,0.1298828125
cv_rms_deltaT_K,K,6,84.60199239950819,94.95455603407146,119,0.1162109375
cv_rms_deltaT_K,K,7,94.95455603407146,105.30711966863478,101,0.0986328125
cv_rms_deltaT_K,K,8,105.30711966863478,115.65968330319808,77,0.0751953125
cv_rms_deltaT_K,K,9,115.65968330319808,126.01224693776135,42,0.041015625
cv_rms_deltaT_K,K,10,126.01224693776135,136.36481057232467,18,0.017578125
cv_rms_deltaT_K,K,11,136.36481057232467,146.71737420688797,5,0.0048828125
Reff_peak_K_W,K/W,0,6.992221097165395,8.239809546275087,67,0.0654296875
Reff_peak_K_W,K/W,1,8.239809546275087,9.487397995384779,153,0.1494140625
Reff_peak_K_W,K/W,2,9.487397995384779,10.734986444494472,132,0.12890625
Reff_peak_K_W,K/W,3,10.734986444494472,11.982574893604165,121,0.1181640625
Reff_peak_K_W,K/W,4,11.982574893604165,13.230163342713858,105,0.1025390625
Reff_peak_K_W,K/W,5,13.230163342713858,14.47775179182355,102,0.099609375
Reff_peak_K_W,K/W,6,14.47775179182355,15.725340240933242,86,0.083984375
Reff_peak_K_W,K/W,7,15.725340240933242,16.972928690042934,77,0.0751953125
Reff_peak_K_W,K/W,8,16.972928690042934,18.220517139152626,80,0.078125
Reff_peak_K_W,K/W,9,18.220517139152626,19.46810558826232,58,0.056640625
Reff_peak_K_W,K/W,10,19.46810558826232,20.71569403737201,34,0.033203125
Reff_peak_K_W,K/W,11,20.71569403737201,21.963282486481706,9,0.0087890625
top_heat_fraction,fraction,0,0.853464451651843,0.8646999620632634,3,0.0029296875
top_heat_fraction,fraction,1,0.8646999620632634,0.8759354724746837,9,0.0087890625
top_heat_fraction,fraction,2,0.8759354724746837,0.8871709828861042,21,0.0205078125
top_heat_fraction,fraction,3,0.8871709828861042,0.8984064932975245,28,0.02734375
top_heat_fraction,fraction,4,0.8984064932975245,0.9096420037089449,43,0.0419921875
top_heat_fraction,fraction,5,0.9096420037089449,0.9208775141203653,64,0.0625
top_heat_fraction,fraction,6,0.9208775141203653,0.9321130245317857,83,0.0810546875
top_heat_fraction,fraction,7,0.9321130245317857,0.943348534943206,118,0.115234375
top_heat_fraction,fraction,8,0.943348534943206,0.9545840453546264,164,0.16015625
top_heat_fraction,fraction,9,0.9545840453546264,0.9658195557660467,180,0.17578125
top_heat_fraction,fraction,10,0.9658195557660467,0.9770550661774672,190,0.185546875
top_heat_fraction,fraction,11,0.9770550661774672,0.9882905765888875,121,0.1181640625
bottom_heat_fraction,fraction,0,0.011709423409229076,0.022944933822815185,121,0.1181640625
bottom_heat_fraction,fraction,1,0.022944933822815185,0.03418044423640129,190,0.185546875
bottom_heat_fraction,fraction,2,0.03418044423640129,0.045415954649987406,180,0.17578125
bottom_heat_fraction,fraction,3,0.045415954649987406,0.05665146506357351,164,0.16015625
bottom_heat_fraction,fraction,4,0.05665146506357351,0.06788697547715962,118,0.115234375
bottom_heat_fraction,fraction,5,0.06788697547715962,0.07912248589074573,83,0.0810546875
bottom_heat_fraction,fraction,6,0.07912248589074573,0.09035799630433183,64,0.0625
bottom_heat_fraction,fraction,7,0.09035799630433183,0.10159350671791795,43,0.0419921875
bottom_heat_fraction,fraction,8,0.10159350671791795,0.11282901713150406,28,0.02734375
bottom_heat_fraction,fraction,9,0.11282901713150406,0.12406452754509016,21,0.0205078125
bottom_heat_fraction,fraction,10,0.12406452754509016,0.13530003795867626,9,0.0087890625
bottom_heat_fraction,fraction,11,0.13530003795867626,0.14653554837226238,3,0.0029296875
