sample_id,sobol_index,sobol_dimensions_consumed,continuous_severity,package_total_power_W,top_h_W_m2K,bottom_h_W_m2K,source_count,k_region_count,upper_source_count,cross_family_overlap_pair_count,power_base_W,power_top_h_factor,power_independent_latent,power_independent_multiplier,total_source_area_fraction,mean_source_area_fraction,source_area_cv,mean_source_aspect_ratio,source_centroid_spread,source_upper_fraction,cross_family_overlap_fraction,q_proxy_mean_W_m3,q_proxy_max_W_m3,mean_local_k_W_mK,local_k_log_std,background_kz_pcb_fr4_equivalent_W_mK,background_kz_bt_substrate_with_vias_W_mK,background_kz_silicon_interposer_tsv_0p1_W_mK,background_kz_bump_underfill_under_interposer_W_mK,background_kz_silicon_die_lower_W_mK,background_kz_tim_between_dies_W_mK,background_kz_silicon_die_upper_W_mK,background_kz_tim_to_spreader_W_mK,background_kz_spreader_W_mK,split_role
v6p1i7_0000,0,83,0.021368538960814476,4.975437626039755,1173.5036726004757,76.78621724994176,5,6,2,3,3.4963744918815793,1.1769653457062363,0.9009102256968617,1.209065049623172,0.05906842214792436,0.011813684429584873,0.2589558329431516,1.1590377130801222,0.2840570745467553,0.4,0.1,5721178721.753839,6939186154.7095,164.01733420604555,0.7996575289714356,0.2453769846138837,0.5660458816651289,140.34207614138722,4.272564110309459,123.6575735732913,4.004615655496585,129.20348150655627,5.437559664477623,396.66248256340623,train
v6p1i7_0001,1,106,0.6902226964011788,5.45671876738279,733.3366391001614,59.85600785562483,8,6,5,0,8.078025470348075,0.8876771367216764,0.09620243962854147,0.7609766289552687,0.10159877559568058,0.012699846949460072,0.16715032634321367,1.1318905830998962,0.34037468638995727,0.625,0.0,3658674796.826524,4885369803.985764,153.09531353830394,1.1307009178652452,0.35379094093796304,0.4252227831332666,124.4311386346817,5.709512024028718,127.28716847486794,1.8026730383848013,123.98877921514213,1.4683135802191392,390.2222575293854,valid_iid
v6p1i7_0002,2,77,0.9247919740155339,7.851484825165905,665.2920196231596,29.41301573023136,3,7,1,0,9.684825022006407,0.8372986525250458,0.5148408403620124,0.9682324298026221,0.04319900649929817,0.01439966883309939,0.2358245882421184,1.2229841407949467,0.22687193610725545,0.3333333333333333,0.0,12283223943.04393,13455690601.385672,144.81103460010198,0.8157737015972523,0.3296003976196601,0.5186021164962008,149.99844105448574,4.509740000491604,137.84363493323326,2.8993166430355237,145.37167460657656,2.312048357651995,386.77346643060446,valid_iid
v6p1i7_0003,3,114,0.34944423474371433,6.848644735425188,1294.251878808658,119.3079272035086,10,2,4,0,5.743693007994443,1.248200310740283,0.4914273964241147,0.9552765844127032,0.12177968017713452,0.012177968017713451,0.21768708479091428,1.2283070841446615,0.371584817500205,0.4,0.0,3791941681.4030914,4969614357.563468,57.793730277339336,0.7547142577181847,0.28762317680040334,0.46090031895271205,135.28392768930644,5.390374220508231,110.02791770733893,7.372334118666976,101.38743948191404,3.497615862376655,392.52521409187466,train
v6p1i7_0004,4,104,0.39970123302191496,6.304970753817032,818.9001229351123,25.268292350528768,7,5,2,0,6.0879534462001175,0.9484437209530672,0.7238255180418491,1.091943551559469,0.06848190111406043,0.00978312873058006,0.24618774792745474,1.1461661724483214,0.3027935629644973,0.2857142857142857,0.0,6454653636.768219,8521164819.074386,108.01344659881822,0.34085352811310715,0.28321199596469926,0.5179863189708225,123.7101719668135,4.900957094246139,104.4652353040874,3.5576687528246067,140.49684810452163,2.549783459865609,387.3519100761041,train
v6p1i7_0005,5,110,0.8265508525073528,7.681097883099546,907.1346172815296,182.07396913692378,6,7,4,2,9.011873339675367,1.0085003381298698,0.2785352151840925,0.8451468404327787,0.07830385278947681,0.013050642131579469,0.1527552485061889,1.1090738609502946,0.32184326954838777,0.6666666666666666,0.047619047619047616,6454480374.41023,9001353125.295351,66.57761354225376,0.6610172561998263,0.3067944124396337,0.46642672712585,143.9960581017658,4.68945930175867,144.5869871880859,1.6480918280021684,106.26145480200648,4.821834564226969,395.666332738474,train
v6p1i7_0006,6,94,0.5608761161565781,11.324461664641428,1444.848489326995,89.46304293846397,9,3,3,0,7.192001395672559,1.3334182314716163,0.8598971124738455,1.1808681636325333,0.11656153232377807,0.012951281369308674,0.16827589674416046,1.14675921257406,0.33046920697229654,0.3333333333333333,0.0,6498957670.403185,7547621254.7226095,151.15166493435248,1.1296702533320384,0.3594582088858057,0.5931547048465672,131.5528734959662,5.803966169272534,134.03220446780324,2.0763074580157794,134.87557973712683,6.120830192807744,399.14625260513276,train
v6p1i7_0007,7,53,0.22802091296762228,2.7382134308732824,513.8417397383538,39.26331408800991,4,2,1,0,4.911943253828213,0.7170849893324317,0.13330864533782005,0.7773978297549039,0.041877547613532906,0.010469386903383227,0.23614764916231487,1.2671984549887862,0.36536415860919397,0.25,0.0,4256261693.220454,5176381698.168058,137.28760440923588,0.43678211664803346,0.2635024428134417,0.40448621817224445,150.64260460436344,3.9736542673405157,118.09926922433078,5.41465388875731,118.31596628762782,2.0374816561640787,391.52030563913286,train
v6p1i7_0008,8,143,0.11762109491974115,4.5347727915724425,1268.465227909254,44.52135712193584,9,7,4,2,4.155704500200227,1.2332188199941039,0.358328552916646,0.8848521894192047,0.1117804122244809,0.0124200458027201,0.1020626035718281,1.4104220053133727,0.3024914559682127,0.4444444444444444,0.031746031746031744,2724410755.40447,3714760731.4962254,131.47848607568878,0.9325241918873931,0.2607943482993715,0.5411427670938946,129.3277761200443,4.777425464861854,130.2357017993927,6.498634314986393,141.54036063700914,3.105010523900383,388.4020790178329,train
v6p1i7_0009,9,53,0.6712406482547522,6.452677603292202,587.2958195444743,101.45161765644555,4,2,1,1,7.947998440545053,0.7769394066704959,0.6473674699664116,1.0449488781855927,0.047121595148143444,0.011780398787035861,0.15344267382990728,1.224803005523934,0.131295658808093,0.25,0.125,9306247624.211,12149314056.88368,65.85425406149776,0.7260371881532046,0.37338254432026613,0.44179634748417884,152.8944280045107,5.10622177127808,120.38204693235457,2.630092777448623,111.71325691975653,4.020269111029797,394.61799127515405,train
v6p1i7_0010,10,93,0.9681878481060266,7.143980672618163,699.7891678132195,160.4914499661856,7,4,2,2,9.982086759526283,0.8630845318888822,0.24545270204544067,0.8292120363193258,0.07948524383433184,0.011355034833475977,0.1867721396619531,1.1767049438465678,0.33301213262521995,0.2857142857142857,0.07142857142857142,6125133388.6082945,7908368259.029047,94.40360522429398,0.6044513862569225,0.3122173030175421,0.5581771330225427,121.58654651604593,4.034101467025237,106.67464341968298,1.9780358506423985,133.0870210658759,7.3379990442611644,398.315806677565,train
v6p1i7_0011,11,83,0.2580747278407216,6.311981247835302,1065.1518879728587,22.274455616343847,6,5,4,1,5.117811885708943,1.1105034926682633,0.753285015001893,1.1106096752870667,0.0718064055492541,0.011967734258209017,0.1934584248397521,1.2512992167978603,0.38689958522397255,0.6666666666666666,0.03333333333333333,5920530297.639682,7165460520.519319,143.27616107173748,0.7773433340624539,0.27057879220123204,0.4313124037663835,146.14427738822997,6.026006626786042,140.76630068011582,4.5066010318240215,113.70913153514266,1.6738778757192887,392.34891693573445,train
v6p1i7_0012,12,59,0.4891178570687771,3.706182864280182,567.0775979815103,135.3511597433486,3,4,1,0,6.700457320921123,0.7607789692226138,0.016933913342654705,0.7270493657370329,0.041688025690542065,0.013896008563514022,0.20171004017507116,1.1524297749338774,0.24883006732380455,0.3333333333333333,0.0,5976166256.594474,7135635379.685137,246.4775658232799,0.16935171084842549,0.2989072939885086,0.601846486381196,147.866770317778,5.478876387304009,147.88995431736112,5.741953305490041,127.82161557115614,5.322864691174222,397.4892591731623,train
v6p1i7_0013,13,139,0.7851078612729907,15.143058268532272,1516.6982066577411,33.36555824053066,10,7,6,2,8.727988849719987,1.372816555311305,0.9778968999162316,1.2638248861035044,0.11907535674048066,0.011907535674048066,0.19911479567853926,1.1435106817437695,0.31248243999460246,0.6,0.02857142857142857,8393378758.691648,13011306467.148914,101.28303394559258,0.8559781146330495,0.3260575269987138,0.39855959484243053,137.42516771890223,4.194865085906204,101.49531434290111,2.3832976215794073,118.97382084280252,1.5177926877656147,389.3973155505955,train
v6p1i7_0014,14,89,0.5818110620602965,7.1446355874460785,1028.1904280833542,52.78709931719598,5,7,2,0,7.335405775113031,1.0872192612906089,0.37981136981397867,0.8958572275515383,0.05690844468890884,0.011381688937781768,0.20976674612619675,1.3313706382971917,0.29489268355732506,0.4,0.0,8273730394.002764,9174123481.329245,88.86130231609627,0.5688858102893669,0.33814295663854554,0.4965707002096947,138.10679933521897,5.190694333876907,115.19798813387752,1.4039823845581245,147.6030378602445,2.2375884579673544,385.7269669184461,train
v6p1i7_0015,15,123,0.1298154592514038,4.192194607164082,836.0208693789403,67.71363508397324,8,8,5,1,4.239235895872116,0.9602919210591107,0.6219771532341838,1.0297945187168678,0.08610917687507086,0.010763647109383857,0.16901685926914772,1.3505208215050002,0.33370381632458523,0.625,0.015625,3288007987.983925,4496003981.578627,146.78936251433623,0.9068769082385163,0.24961565660175952,0.48643495378550866,126.67385280597955,4.4431943682649475,137.35803528688848,3.2918224937351064,105.64977000467479,3.57152550554626,393.5698861256242,train
v6p1i7_0016,16,95,0.41975985188037157,5.108045419402961,949.178191528716,69.40675968001624,7,6,2,3,6.2253549853805445,1.0362908287808845,0.16518687177449465,0.7917881077013854,0.08617261940842397,0.012310374201203424,0.26346151939455076,1.2807482290892558,0.2495587850314441,0.2857142857142857,0.07142857142857142,3964185760.326263,5089408778.412748,108.51798504567127,0.8359039344977265,0.253604008072629,0.4993310892758454,154.88761350046843,5.9303176431387215,111.55233960598707,2.4566934728741514,122.06585612148046,2.1348629995181216,395.22970244288445,train
v6p1i7_0017,17,101,0.8701080325990915,9.970413678216019,782.6202313584815,50.12139099557059,6,8,1,0,9.310240023303777,0.9230041341540215,0.8292710622772574,1.160242190997578,0.07286324867208409,0.012143874778680681,0.17533774429578003,1.24632997523225,0.22755052434629403,0.16666666666666666,0.0,9095070960.846039,10866554796.888052,66.03524376493826,0.7231743875584877,0.34343341298063357,0.48214127011327546,130.32933318521827,4.000548481615222,139.39229217357934,5.606879420803158,131.18680850602686,3.733783680195101,387.85554172936827,train
v6p1i7_0018,18,88,0.51053068600595,4.247002979632012,518.6168643576933,32.257963243229284,9,2,6,1,6.847135199140757,0.7210759070200226,0.3091922616586089,0.860186609285211,0.10251621912922074,0.01139069101435786,0.19124591740674324,1.1749575846046783,0.32655330357593143,0.6666666666666666,0.05555555555555555,2797051120.284751,3753756792.7668386,153.5210703575172,0.6548659207051033,0.32107081657293557,0.6046482063783646,144.13883320987225,5.0077526334071,125.73851719498634,3.3938793493622144,102.57735657505691,5.127515807905878,392.02210707589984,valid_iid
v6p1i7_0019,19,59,0.21667696628719568,6.87272277004521,1431.557859425626,141.24393532714035,4,3,1,0,4.83423721906729,1.326045259430237,0.6919792415574193,1.0721178353440821,0.05317170706128103,0.013292926765320257,0.1523089526541719,1.088893284526232,0.371605793952662,0.25,0.0,8632462931.458767,11018343153.171894,173.8379260228122,1.1688166967094027,0.29417541450277124,0.3953967491469308,120.57162979617715,4.721037554798301,122.13315763510764,1.3713121703536333,144.21784160658717,1.5798969400051919,398.7077904166654,test_iid
v6p1i7_0020,20,70,0.032712504267692566,3.0244864588021576,753.4804245023793,21.152597725191622,5,3,3,1,3.5740806542336943,0.902227765627339,0.4595796875655651,0.9379314693674274,0.07089969024738427,0.014179938049476853,0.07435352378260798,1.1273060976094107,0.3217899849549141,0.6,0.06666666666666667,2859879634.949595,3587579730.6921277,185.21322516041536,0.7651721663199486,0.27490200472937826,0.5553485517746299,135.418791025877,4.602018470902387,116.57198024913669,2.6932228403620884,108.23343307711184,7.019438973358205,388.8524957699701,train
