feature,peak_spearman,peak_linear_r2
continuous_severity,0.8872516480498077,0.7599775230289395
package_total_power_W,0.7571930507233107,0.5120902918099504
top_h_W_m2K,-0.1846616919978026,0.03967742327245205
bottom_h_W_m2K,0.11931193920527373,0.012513209558248972
source_count,-0.0920947402542487,0.010172119338043517
k_region_count,0.027697246317229002,0.0007339551246828835
upper_source_count,0.04112199730967872,0.0014264129016154925
cross_family_overlap_pair_count,-0.1482887809847636,0.02373398772629054
power_base_W,0.8872516480498077,0.7605757678197471
power_top_h_factor,-0.1846616919978026,0.04051134985658267
power_independent_latent,0.39181239699688697,0.1731050972495115
power_independent_multiplier,0.39181239699688697,0.17278148839352225
total_source_area_fraction,-0.09020211499725324,0.010243184018581375
mean_source_area_fraction,0.000772523347372276,3.443184053208981e-06
source_area_cv,0.08352980223402307,0.005644770664264609
mean_source_aspect_ratio,-0.05234847097601172,0.0014488136476115132
source_centroid_spread,-0.014832448269547702,0.0002967174377952464
source_upper_fraction,0.14714442324623056,0.01954205743535442
cross_family_overlap_fraction,-0.13171965262311375,0.0055650135595946
q_proxy_mean_W_m3,0.6363703991942867,0.31551552151976214
q_proxy_max_W_m3,0.6577378227430873,0.35161916868574616
mean_local_k_W_mK,-0.06933826222303606,0.001922641312056328
local_k_log_std,-0.015856757004211682,0.00023404006853522397
background_kz_pcb_fr4_equivalent_W_mK,-0.012446209485442226,0.00022311120092899372
background_kz_bt_substrate_with_vias_W_mK,-0.0038568943416956605,8.016469822202943e-05
background_kz_silicon_interposer_tsv_0p1_W_mK,-0.011393288774949642,0.00017034405318927526
background_kz_bump_underfill_under_interposer_W_mK,-0.013996978575352498,2.18697225007336e-06
background_kz_silicon_die_lower_W_mK,-0.051913568943416956,0.0005058266259528876
background_kz_tim_between_dies_W_mK,-0.01724157663431606,0.0008855814788517602
background_kz_silicon_die_upper_W_mK,-0.012251648049807728,0.0007965125213982294
background_kz_tim_to_spreader_W_mK,-0.06346136238784104,0.005215917418169735
background_kz_spreader_W_mK,-0.00975096136238784,0.00012732942594417818
