sample_id,sobol_index,sobol_dimensions_consumed,continuous_severity,package_total_power_W,top_h_W_m2K,bottom_h_W_m2K,source_count,k_region_count,upper_source_count,cross_family_overlap_pair_count,power_base_W,power_top_h_factor,power_independent_latent,power_independent_multiplier,total_source_area_fraction,mean_source_area_fraction,source_area_cv,mean_source_aspect_ratio,source_centroid_spread,source_upper_fraction,cross_family_overlap_fraction,q_proxy_mean_W_m3,q_proxy_max_W_m3,mean_local_k_W_mK,local_k_log_std,background_kz_pcb_fr4_equivalent_W_mK,background_kz_bt_substrate_with_vias_W_mK,background_kz_silicon_interposer_tsv_0p1_W_mK,background_kz_bump_underfill_under_interposer_W_mK,background_kz_silicon_die_lower_W_mK,background_kz_tim_between_dies_W_mK,background_kz_silicon_die_upper_W_mK,background_kz_tim_to_spreader_W_mK,background_kz_spreader_W_mK,split_role
v6p1i12_0000,0,94,0.17058982327580452,5.479702243469801,981.8001346492742,87.63123222466973,8,4,2,0,5.329490437546404,1.0603895246110973,0.48712791595607996,0.969629554297043,0.09280556850862762,0.011600696063578452,0.27117166386774105,1.1518438128453323,0.33801521424661357,0.25,0.0,4003867325.086749,4844593275.968961,206.24267027773976,1.1915756424523178,0.36559498887473474,0.4740528188050348,153.67562423925847,4.082696054125147,143.05113111622632,3.9856186719573015,135.7429132796824,3.039294762708234,392.43886354379356,valid_iid
v6p1i12_0001,1,115,0.9798305667936802,11.969689339599771,862.7172705322954,30.23316281112707,6,7,3,0,10.48628974575514,0.9775470229207227,0.9005423774942756,1.167678726368424,0.08772254310364895,0.014620423850608159,0.1901191491067397,1.1252575812842471,0.29723602069872784,0.5,0.0,9176626506.771475,11796288280.617249,163.88628054193626,0.8285922341313762,0.27631444630682156,0.5663476364769845,136.82543434668332,5.000425450699422,100.55081797763705,1.7256010632524479,121.6361525002867,4.329363250602257,395.20285210572183,train
v6p1i12_0002,2,149,0.6373588535934687,6.3060256973077475,660.5905657474731,59.98581481700631,9,8,5,3,8.813038304044989,0.8264191094587281,0.2352604540064931,0.8658242145393683,0.08947314740113084,0.009941460822347871,0.16395674563498316,1.215495422956256,0.36915162780366984,0.5555555555555556,0.041666666666666664,4660796932.74272,6378155046.5537405,144.56920388453702,0.7794722063845284,0.24359211529577124,0.4015805019511127,143.54551325552166,4.697769579930779,124.68370543792844,2.147701582309927,149.6599080041051,6.2028537835291395,398.80143528804183,train
v6p1i12_0003,3,92,0.44659569300711155,10.312667619491016,1296.762899780766,179.01155749821476,3,7,2,0,7.829989522228866,1.2632411477080487,0.6485536573454738,1.0426140571908022,0.03449914067262835,0.011499713557542784,0.2060346395367237,1.2214073074752874,0.3082901068045285,0.6666666666666666,0.0,19979500317.6239,22149618980.333557,119.30146977700882,0.9629710436906094,0.32235348145941434,0.5363316525070667,124.57538986578584,6.073264590047107,131.41737119294703,4.934740796465748,107.71808489225805,1.9298785345263954,388.4788759984076,test_iid
v6p1i12_0004,4,64,0.35499079525470734,4.883685104003617,696.8625772797373,45.77955729928663,5,2,1,1,7.212986350556846,0.8546831556469724,0.037549219094216824,0.7921864286854027,0.0577283567033589,0.01154567134067178,0.21351370390726654,1.2817490339019475,0.3913189382849268,0.2,0.1,5651990324.846986,7154544679.732193,23.13890842398447,0.12323905042350236,0.31518720138642725,0.4379878886294989,131.46429636981338,5.5226020183765145,127.60284072719514,3.5710641233987017,140.10363831184804,5.802727243921147,396.3206851342693,train
v6p1i12_0005,5,89,0.5453685522079468,9.271420156428269,1061.1341211577603,136.61679412262345,7,5,6,0,8.248204890400004,1.1135156818592569,0.5766797596588731,1.0094631838207533,0.09018797888667882,0.01288399698381126,0.17518384814862578,1.269315923931693,0.38353887129875136,0.8571428571428571,0.0,6907613749.962142,8754347333.913683,154.64667921964332,0.9679853438663539,0.2673636408871885,0.49142740940947893,150.4341600323096,4.5733284947022925,116.38914700597525,1.5514348110759306,104.01813853532076,1.4716890197283032,386.0475412989035,train
v6p1i12_0006,6,76,0.8218169342726469,12.02195944898128,1388.9705064704756,64.56872369644167,4,5,1,0,10.291848669580636,1.319028995135143,0.28544225823134184,0.8855794386927176,0.042386841198774936,0.010596710299693734,0.19133212094570326,1.2478257959153156,0.31432721289510723,0.25,0.0,18355551675.423603,23831173526.957962,112.88164615526685,0.7755442291388466,0.2865660767487416,0.4630008363198043,121.3317904714495,5.366033089094445,109.24763604998589,2.9656799142770427,125.79835527576506,2.1014057215376343,389.93911614175886,valid_iid
v6p1i12_0007,7,105,0.012198654934763908,2.407970402102878,528.8058760735346,22.276494954751065,10,3,3,1,2.9695058719402962,0.7184639940203306,0.8249381678178906,1.1286569177138657,0.1257044947275523,0.01257044947275523,0.18499737043375894,1.2240471949967155,0.3006306384157858,0.3,0.03333333333333333,1264628374.122565,1673503623.8767962,87.29807949598653,0.7392983323230241,0.33776807790396984,0.5807507618223785,138.18223800510168,4.209896446045188,147.24350753240287,6.8361913819287725,118.32306394353509,3.69700529373038,392.7708307048306,train
v6p1i12_0008,8,59,0.19650991074740887,7.080837772889148,1274.9199765825294,23.5509542927443,4,3,3,1,5.7156925661930975,1.2498124976811809,0.5361177828162909,0.991221972003855,0.05378178332525617,0.013445445831314042,0.263208745157637,1.1543734138685569,0.311552409483017,0.75,0.08333333333333333,8636740664.687366,9851148913.889196,56.84791557812971,0.39387232974745234,0.3510886130216488,0.4096435785718258,124.07963777892292,4.428878543630255,104.34110420756042,5.821403193575259,140.76190292835236,5.172545873517883,398.1217565946281,train
v6p1i12_0009,9,135,0.887505678460002,6.395656371153646,585.0034303691217,81.07003471559678,10,8,5,3,10.372680873160546,0.7655955419081413,0.07425834983587265,0.8053686299100289,0.13046637354475354,0.013046637354475355,0.13496046605556644,1.1880213226689809,0.28879319751905835,0.5,0.0375,3282889598.489877,4129679823.6216574,89.56274530064961,0.8987786478780685,0.29767273545109374,0.524743061898487,139.76773420348763,5.741925062167734,139.163176715374,2.5169597683587686,101.84741797856987,1.628806946202582,385.88754715397954,valid_iid
v6p1i12_0010,10,75,0.7296798378229141,9.982433239108126,801.3038349162078,125.81407160115012,5,3,1,0,9.637225411070961,0.9331707081185127,0.7878636661916971,1.1100008192027806,0.05724890293204959,0.011449780586409917,0.24559710147821592,1.2099882271487548,0.30576365128589045,0.2,0.0,11173480324.640053,14716731827.201902,190.20303802949158,1.2033925235450298,0.2554876765451159,0.4845764964470046,129.80165387969464,4.310767703493828,135.19549202173948,2.022157961442467,130.06724892184138,2.2945655809082095,389.36851407401264,train
v6p1i12_0011,11,104,0.42067950963974,7.1914560231227656,941.337519773908,37.46249169680785,7,5,6,2,7.72025749405564,1.032682026308591,0.32636960223317146,0.90202469008892,0.08495456525560037,0.012136366465085768,0.268312959795616,1.239363048229874,0.3098708361508063,0.8571428571428571,0.05714285714285714,5573264111.9782095,7516579515.850409,237.10979062023048,0.5015316352987559,0.3012526512224494,0.5551338463718122,147.74636917281896,5.276349695903763,120.80794028006494,4.702042619540476,112.54252498038113,3.251315221366047,394.0440946724266,train
v6p1i12_0012,12,126,0.2617961261421442,5.643004177028741,546.4828899386035,164.8051053932596,9,5,6,3,6.3439441039941435,0.7334811811564034,0.9847370833158493,1.2127242118325117,0.10367885200972651,0.011519872445525168,0.19710594651102561,1.2687307257934468,0.3252440008730016,0.6666666666666666,0.06666666666666667,3613669240.706934,4941984010.510443,85.06363285143422,0.6549964737191355,0.33020963907997136,0.4474549867406187,145.20577752031386,5.089784777901527,113.86841000057757,6.4975089689674626,133.3794787991792,2.7098327450615245,390.6364187365398,valid_iid
v6p1i12_0013,13,53,0.572158420458436,11.20749886607905,1593.5915966181203,49.07249181059737,3,3,1,0,8.361636198395793,1.4381444984357645,0.3990803640335798,0.9319978515197171,0.03598503317629974,0.01199501105876658,0.09891843279303576,1.2524238746728404,0.30015375105118897,0.3333333333333333,0.0,21176421765.533924,25864011863.94804,43.28659600177614,0.4770216174473336,0.24969196195812524,0.6018471350200303,127.26128648966551,3.983633894063279,130.02593340352178,2.7993718881585066,122.48622504994273,4.790619420711616,395.36513501312584,train
v6p1i12_0014,14,89,0.7950310297310352,13.100198857254547,1166.0705891467512,31.97082453786874,8,4,3,1,10.220642174323736,1.181575617055433,0.7367224656045437,1.0847712938362677,0.09880638717606818,0.012350798397008523,0.1467449170272084,1.2320903299473382,0.35382394856232413,0.375,0.03125,8870482811.923857,10532136214.846737,193.13549209381324,0.6637235415357385,0.27538260212195276,0.42267992414928907,150.93015515711159,5.846458254567446,144.73499534651637,1.4644881117656554,144.46251722984016,6.771497395984987,399.37341070268303,test_iid
v6p1i12_0015,15,98,0.10538936033844948,3.2295697435033586,741.8237699497184,110.05396500790488,6,5,3,1,4.358021587267955,0.8889716655074417,0.15094448812305927,0.8336185530620966,0.06955863108432168,0.01159310518072028,0.256258089799455,1.3071491184657036,0.34563800241490394,0.5,0.03333333333333333,3200190066.7497406,4448434195.406139,181.39451247785308,1.0786551069793955,0.3642826952409278,0.50845066722945,135.24183238390833,4.846828493480278,111.65848006494343,3.394018068678143,111.40435487031937,1.6975594786065065,387.2033232683316,train
v6p1i12_0016,16,89,0.3236307045444846,8.909048876467638,1086.441664857223,104.46501612791953,5,7,2,1,6.920552846122114,1.1301499122513028,0.8453869791701436,1.139080708205398,0.05714476383947977,0.011428952767895954,0.3153900112179989,1.1227858720484551,0.32876508143959327,0.4,0.02857142857142857,10551346803.63027,13559374880.57083,190.06875608849825,0.5995529004045094,0.35865208125281806,0.41943535321775816,140.79245556145906,5.4422801359346815,132.94705119915307,2.639942316323606,120.23024423979223,7.442444569695973,385.31641849316657,train
v6p1i12_0017,17,101,0.5142305782064795,6.022362908826965,688.0142893472555,35.08354624048042,7,7,3,1,8.11636321479711,0.847839698577564,0.2591378865763545,0.8751685469771162,0.08706179551518835,0.012437399359312621,0.21759617572969012,1.2177122847247033,0.3196669848033631,0.42857142857142855,0.02040816326530612,4589359419.063012,6924860525.328854,127.01356104192574,0.7699723422498741,0.2720119184524755,0.511630286244783,122.91606561280787,4.150462455812941,123.0547628365457,6.105845723133021,137.17206735163927,1.7680060496733323,397.52129641361535,valid_iid
