machine,route,stage,median_s,p95_s,median_share_fresh_pct,p95_share_fresh_pct,devbox_over_wsl2_median_ratio,devbox_vs_wsl2_change_pct,model_seed_label,anomaly_note
wsl2,E16384_reconstruction,input_support,0.30525164771825075,0.30903040361590683,34.25194902249955,40.28718761361169,0.9981087930591083,-0.1891206940891732,model_seed0,
wsl2,E16384_reconstruction,graph,0.07597172423265874,0.07822486641816795,8.652620771254174,9.90221058538203,0.9368349764775439,-6.316502352245612,model_seed0,
wsl2,E16384_reconstruction,packing,0.3155250402633101,0.3627132666297257,35.593925113248716,39.41759693616068,0.9450223928371115,-5.497760716288846,model_seed0,
wsl2,E16384_reconstruction,reconstruction_map,0.1553704054094851,0.1575691270409152,17.40994873869498,20.491983167409643,0.9331079291222631,-6.689207087773685,model_seed0,
wsl2,E16384_reconstruction,h2d,0.011979002971202135,0.01311324757989496,1.366586895416038,1.5973608580976375,0.8877255890085148,-11.227441099148516,model_seed0,
wsl2,E16384_reconstruction,nn_reconstruction,0.007738753221929073,0.08563718944787979,0.9367836475657867,8.80029514356502,0.7836029348848891,-21.639706511511093,model_seed0,WSL2 E16384 NN/reconstruction median=0.007738753 s and p95=0.085637189 s; the observed upper tail is retained without exclusion or replacement
wsl2,E16384_reconstruction,other_measured,0.0002467031590640545,0.0002703932113945484,0.02841304224115908,0.033181206836379144,0.7201924910011683,-27.980750899883166,model_seed0,
wsl2,U_v2_16384_reconstruction,input_support,0.33912766771391034,0.34795547102112323,39.07803642356586,42.81951034323672,0.9872908086932092,-1.2709191306790824,model_seed0,
wsl2,U_v2_16384_reconstruction,graph,0.08012160728685558,0.09339423011988401,9.224307390088903,10.943093164859317,0.914899665881652,-8.510033411834804,model_seed0,
wsl2,U_v2_16384_reconstruction,packing,0.2748841817956418,0.2899422643240541,31.638085212458417,32.943966278136706,0.8946571983069374,-10.534280169306264,model_seed0,
wsl2,U_v2_16384_reconstruction,reconstruction_map,0.15076556475833058,0.15605679096188396,17.433510042702828,18.83807586063328,0.9477069738373403,-5.229302616265974,model_seed0,
wsl2,U_v2_16384_reconstruction,h2d,0.009476919658482075,0.010900147957727313,1.0918234816518768,1.2454351000969668,0.845026541002077,-15.497345899792304,model_seed0,
wsl2,U_v2_16384_reconstruction,nn_reconstruction,0.00727442093193531,0.045386802521534264,0.8395964802979062,5.101177851869107,0.7463340737563774,-25.366592624362262,model_seed0,
wsl2,U_v2_16384_reconstruction,other_measured,0.0008871401660144329,0.001013134024105966,0.10184641507169151,0.11994701340159708,0.667866416743521,-33.2133583256479,model_seed0,
wsl2,U_v2_direct240825,input_support,0.08616570709273219,0.09274111606646329,6.559479449235017,7.128005626864101,0.931868849024392,-6.813115097560796,model_seed0,
wsl2,U_v2_direct240825,graph,0.8372500496916473,1.0450540552847087,62.56101249850583,69.25706454837815,0.8948283252265291,-10.517167477347089,model_seed0,
wsl2,U_v2_direct240825,packing,0.34442855999805033,0.36746612389106303,25.614448123025234,28.613407187501686,0.8500291866934468,-14.997081330655316,model_seed0,
wsl2,U_v2_direct240825,reconstruction_map,1.2197531759738922e-05,1.5648547559976578e-05,0.0009204780901813442,0.0011403839736230492,0.8542223409941208,-14.577765900587924,model_seed0,
wsl2,U_v2_direct240825,h2d,0.009511812590062618,0.010312649654224515,0.7115015318142259,0.8023459320001145,0.8472246686675353,-15.277533133246468,model_seed0,
wsl2,U_v2_direct240825,nn_reconstruction,0.06029004347510636,0.061386557994410396,4.572038425464505,4.990543845266352,0.9166894634439258,-8.331053655607423,model_seed0,
wsl2,U_v2_direct240825,other_measured,0.000897648511454463,0.0010980888037011027,0.06662960911085355,0.08191260446284693,0.7546492931549259,-24.53507068450741,model_seed0,
wsl2,E240825_direct_control,input_support,0.0571082488168031,0.05978379095904529,4.405898301468943,4.784952883001264,0.942909056183382,-5.709094381661794,model_seed0,
wsl2,E240825_direct_control,graph,0.6189142996445298,0.6638022062834352,47.800593969466505,50.984995755139856,0.924338339753911,-7.566166024608901,model_seed0,
wsl2,E240825_direct_control,packing,0.5100012379698455,0.5664422117406502,39.15453127333187,42.32606292963413,0.8811601779277964,-11.883982207220356,model_seed0,
wsl2,E240825_direct_control,reconstruction_map,1.275632530450821e-05,1.6183708794414997e-05,0.000988717679404568,0.001272844755411132,0.8420091990946923,-15.79908009053077,model_seed0,
wsl2,E240825_direct_control,h2d,0.01576882926747203,0.01802705111913383,1.216223404423879,1.4276468637190427,0.8222055155104037,-17.779448448959634,model_seed0,
wsl2,E240825_direct_control,nn_reconstruction,0.09476127615198493,0.09520024759694934,7.266214217876215,7.872976026172438,0.9187616445388231,-8.123835546117686,model_seed0,
wsl2,E240825_direct_control,other_measured,0.00025496562011539936,0.0002982082078233361,0.019731068817156583,0.023160492520766397,0.7548921574804875,-24.510784251951247,model_seed0,
devbox,E16384_reconstruction,input_support,0.30467435368336737,0.31740773480851203,36.418889745023876,42.062279066779496,0.9981087930591083,-0.1891206940891732,model_seed0,
devbox,E16384_reconstruction,graph,0.07117296848446131,0.07360525929834694,8.570067990676105,9.649369064795607,0.9368349764775439,-6.316502352245612,model_seed0,
devbox,E16384_reconstruction,packing,0.29817822854965925,0.3399388004327193,35.6566863297152,38.68661129038426,0.9450223928371115,-5.497760716288846,model_seed0,
devbox,E16384_reconstruction,reconstruction_map,0.1449773572385311,0.1486752893542871,17.15825652079384,20.03600670019558,0.9331079291222631,-6.689207087773685,model_seed0,
devbox,E16384_reconstruction,h2d,0.010634067468345165,0.011479127453640103,1.3023486673966331,1.4680732832109757,0.8877255890085148,-11.227441099148516,model_seed0,
devbox,E16384_reconstruction,nn_reconstruction,0.0060641097370535135,0.006304485606960952,0.7327064190555244,0.8394001731282692,0.7836029348848891,-21.639706511511093,model_seed0,
devbox,E16384_reconstruction,other_measured,0.00017767376266419888,0.0002388420980423689,0.02233244390975677,0.03059700234700803,0.7201924910011683,-27.980750899883166,model_seed0,
devbox,U_v2_16384_reconstruction,input_support,0.33481762930750847,0.3521422651829198,41.44650090775005,46.11363726609237,0.9872908086932092,-1.2709191306790824,model_seed0,
