discretization_seed,factor_cell,p2r_edge_count,p2r_edge_length_max_normalized,p2r_edge_length_mean_normalized,p2r_edge_length_median_normalized,p2r_edge_length_p95_normalized,p2r_in_degree_max,p2r_in_degree_mean,p2r_in_degree_median,p2r_in_degree_min,p2r_in_degree_p05,p2r_in_degree_p95,p2r_in_degree_zero_count,p2r_out_degree_max,p2r_out_degree_mean,p2r_out_degree_median,p2r_out_degree_min,p2r_out_degree_p05,p2r_out_degree_p95,p2r_out_degree_zero_count,r2p_edge_count,r2p_edge_length_max_normalized,r2p_edge_length_mean_normalized,r2p_edge_length_median_normalized,r2p_edge_length_p95_normalized,r2p_in_degree_max,r2p_in_degree_mean,r2p_in_degree_median,r2p_in_degree_min,r2p_in_degree_p05,r2p_in_degree_p95,r2p_in_degree_zero_count,r2p_out_degree_max,r2p_out_degree_mean,r2p_out_degree_median,r2p_out_degree_min,r2p_out_degree_p05,r2p_out_degree_p95,r2p_out_degree_zero_count,r2r_edge_count,r2r_edge_length_max_normalized,r2r_edge_length_mean_normalized,r2r_edge_length_median_normalized,r2r_edge_length_p95_normalized,r2r_in_degree_max,r2r_in_degree_mean,r2r_in_degree_median,r2r_in_degree_min,r2r_in_degree_p05,r2r_in_degree_p95,r2r_in_degree_zero_count,r2r_isolated_node_count,r2r_out_degree_max,r2r_out_degree_mean,r2r_out_degree_median,r2r_out_degree_min,r2r_out_degree_p05,r2r_out_degree_p95,r2r_out_degree_zero_count,r2r_weakly_connected_components,regional_mode,regional_nodes,resolution,sample_id,suite,support_mode
0,B,10848,0.34459546208381653,0.10616675019264221,0.10676202923059464,0.21332144737243652,136,10.59375,7.0,1,1.0,32.0,0,11,2.6484375,2.0,1,1.0,6.0,0,10848,0.34459546208381653,0.10616675019264221,0.10676202923059464,0.21332144737243652,11,2.6484375,2.0,1,1.0,6.0,0,136,10.59375,7.0,1,1.0,32.0,0,17736,2.0314903259277344,0.3258267045021057,0.2893907427787781,0.7482638359069824,50,17.3203125,15.0,6,9.0,33.0,0,0,50,17.3203125,15.0,6,9.0,33.0,0,1,growing_nr,1024,4096,v6p1if1_0091,factor,source_aware
0,B,10478,0.3860304057598114,0.10691962391138077,0.10395185649394989,0.2275034338235855,128,10.232421875,6.0,1,1.0,32.0,0,11,2.55810546875,2.0,1,1.0,6.0,0,10478,0.3860304057598114,0.10691962391138077,0.10395185649394989,0.2275034338235855,11,2.55810546875,2.0,1,1.0,6.0,0,128,10.232421875,6.0,1,1.0,32.0,0,17970,2.4142751693725586,0.3284468352794647,0.28768181800842285,0.7740910649299622,51,17.548828125,16.0,4,9.0,33.0,0,0,51,17.548828125,16.0,4,9.0,33.0,0,1,growing_nr,1024,4096,v6p1if1_0930,factor,source_aware
0,B,9718,0.34573236107826233,0.1034766361117363,0.10242907702922821,0.2096313238143921,105,9.490234375,6.0,1,1.0,27.84999999999991,0,10,2.37255859375,2.0,1,1.0,5.0,0,9718,0.34573236107826233,0.1034766361117363,0.10242907702922821,0.2096313238143921,10,2.37255859375,2.0,1,1.0,5.0,0,105,9.490234375,6.0,1,1.0,27.84999999999991,0,17936,2.18652606010437,0.32960471510887146,0.28741610050201416,0.768439769744873,47,17.515625,16.0,5,9.0,33.0,0,0,47,17.515625,16.0,5,9.0,33.0,0,1,growing_nr,1024,4096,v6p1if1_0175,factor,source_aware
0,B,10699,0.3532666563987732,0.1065445989370346,0.1055101677775383,0.22107091546058655,221,10.4482421875,7.0,1,1.0,28.0,0,10,2.612060546875,2.0,1,1.0,6.0,0,10699,0.3532666563987732,0.1065445989370346,0.1055101677775383,0.22107091546058655,10,2.612060546875,2.0,1,1.0,6.0,0,221,10.4482421875,7.0,1,1.0,28.0,0,17942,2.744312286376953,0.3208187520503998,0.2862341105937958,0.7203566431999207,52,17.521484375,16.0,5,9.0,33.0,0,0,52,17.521484375,16.0,5,9.0,33.0,0,1,growing_nr,1024,4096,v6p1if1_0915,factor,source_aware
0,B,9234,0.2954728901386261,0.1018267497420311,0.10077603161334991,0.20502780377864838,106,9.017578125,6.0,1,1.0,25.0,0,9,2.25439453125,2.0,1,1.0,5.0,0,9234,0.2954728901386261,0.1018267497420311,0.10077603161334991,0.20502780377864838,9,2.25439453125,2.0,1,1.0,5.0,0,106,9.017578125,6.0,1,1.0,25.0,0,17962,2.372830629348755,0.3276364505290985,0.28911885619163513,0.7506507635116577,50,17.541015625,16.0,6,9.0,33.0,0,0,50,17.541015625,16.0,6,9.0,33.0,0,1,growing_nr,1024,4096,v6p1if1_0869,factor,source_aware
0,B,9012,0.33888348937034607,0.10041817277669907,0.10044072568416595,0.20502787828445435,117,8.80078125,6.0,1,1.0,24.84999999999991,0,8,2.2001953125,2.0,1,1.0,5.0,0,9012,0.33888348937034607,0.10041817277669907,0.10044072568416595,0.20502787828445435,8,2.2001953125,2.0,1,1.0,5.0,0,117,8.80078125,6.0,1,1.0,24.84999999999991,0,17760,2.0748085975646973,0.31929850578308105,0.28748032450675964,0.7126158475875854,49,17.34375,16.0,6,9.0,32.0,0,0,49,17.34375,16.0,6,9.0,32.0,0,1,growing_nr,1024,4096,v6p1if1_0522,factor,source_aware
0,B,9797,0.34882041811943054,0.10678544640541077,0.11124172806739807,0.2224833220243454,252,9.5673828125,6.0,1,1.0,24.0,0,8,2.391845703125,2.0,1,1.0,5.0,0,9797,0.34882041811943054,0.10678544640541077,0.11124172806739807,0.2224833220243454,8,2.391845703125,2.0,1,1.0,5.0,0,252,9.5673828125,6.0,1,1.0,24.0,0,17852,2.312915563583374,0.32383206486701965,0.28477880358695984,0.748162567615509,53,17.43359375,15.0,6,9.0,32.0,0,0,53,17.43359375,15.0,6,9.0,32.0,0,1,growing_nr,1024,4096,v6p1if1_0118,factor,source_aware
0,B,9817,0.31294143199920654,0.10937780886888504,0.1112416610121727,0.22228871285915375,130,9.5869140625,6.0,1,1.0,30.0,0,9,2.396728515625,2.0,1,1.0,5.0,0,9817,0.31294143199920654,0.10937780886888504,0.1112416610121727,0.22228871285915375,9,2.396728515625,2.0,1,1.0,5.0,0,130,9.5869140625,6.0,1,1.0,30.0,0,17920,2.172717809677124,0.32799938321113586,0.2843506932258606,0.7378975749015808,52,17.5,15.0,6,9.0,33.0,0,0,52,17.5,15.0,6,9.0,33.0,0,1,growing_nr,1024,4096,v6p1if1_0708,factor,source_aware
0,B,10043,0.376030296087265,0.10710614174604416,0.10676205903291702,0.22097086906433105,94,9.8076171875,6.0,1,1.0,31.0,0,10,2.451904296875,2.0,1,1.0,5.0,0,10043,0.376030296087265,0.10710614174604416,0.10676205903291702,0.22097086906433105,10,2.451904296875,2.0,1,1.0,5.0,0,94,9.8076171875,6.0,1,1.0,31.0,0,17864,2.04927134513855,0.3257899880409241,0.29080283641815186,0.7460002303123474,51,17.4453125,15.0,5,9.0,32.84999999999991,0,0,51,17.4453125,15.0,5,9.0,32.84999999999991,0,1,growing_nr,1024,4096,v6p1if1_0817,factor,source_aware
0,B,9912,0.3149837851524353,0.1069607138633728,0.1112416610121727,0.21205221116542816,128,9.6796875,7.0,1,1.0,27.84999999999991,0,10,2.419921875,2.0,1,1.0,5.0,0,9912,0.3149837851524353,0.1069607138633728,0.1112416610121727,0.21205221116542816,10,2.419921875,2.0,1,1.0,5.0,0,128,9.6796875,7.0,1,1.0,27.84999999999991,0,17930,2.2973110675811768,0.32754555344581604,0.2840110957622528,0.7582049369812012,51,17.509765625,16.0,5,9.0,32.0,0,0,51,17.509765625,16.0,5,9.0,32.0,0,1,growing_nr,1024,4096,v6p1if1_1003,factor,source_aware
