host,config_id,checkpoint,epoch,metric_scope,point_global_relative_rmse_pct,sample_first_cv_relative_rmse_pct,raw_cv_weighted_rmse_K,shape_cv_rmse,scale_log_rmse,amplitude_ratio,spatial_correlation,hotspot_cv_weighted_rmse_K,top5_cv_weighted_rmse_K,strong_q_cv_weighted_rmse_K,low_deltaT_background_bias_K,low_deltaT_background_rmse_K,low_deltaT_background_over_ratio,legacy_normalized_valid_base_mse
wsl2,V4P5_44_gate6q_xy_deepsets_e600,point_global_best,329,true_rms_valid_iid_cpu,22.06021905550541,18.90783527599047,0.15894290606777328,0.1403774720764634,0.15325153044815895,1.0024176312501463,0.9829007837811938,0.2826821605752513,0.4593697841349666,0.35128715237484437,0.0033624435759257738,0.01693586898841702,0.36298419823797845,0.03167379797539901
wsl2,V4P5_44_gate6q_xy_deepsets_e600,sample_first_best,477,true_rms_valid_iid_cpu,22.711029989195925,18.46560421213318,0.16398372391030294,0.1365479717941428,0.15774859778736272,0.9808192687258575,0.9836527319459853,0.28497904020523557,0.46385237477241426,0.3562312134109371,0.0038243137952896937,0.016327606327703283,0.3798723629531139,0.03357021808653482
wsl2,V4P5_44_gate6q_xy_deepsets_e600,legacy_best,329,true_rms_valid_iid_cpu,22.059485125491364,18.90731548734553,0.1589365910860861,0.1403751230895692,0.1532469645824133,1.0024119050577975,0.9829015294401572,0.28266728382829576,0.4593393896383091,0.3512521731483314,0.0033622286797288597,0.01693543160647766,0.3629972673005485,0.03167169047463135
wsl2,V4P5_44_gate6q_xy_deepsets_e600,final,600,true_rms_valid_iid_cpu,22.543257849501323,18.65575360254833,0.16278913044912632,0.13798235855429292,0.15545558963633244,0.9914701454161275,0.9832064588526919,0.2841558688596903,0.45949760539025497,0.35454479431265346,0.004310584940040588,0.016721899719922655,0.38587385921296746,0.03307606663056115
devbox,V4P5_42_gate6q_objective_only_e600,point_global_or_base_mse_best,257,persisted_native_diagnostic_not_replayed,21.936856603963548,19.25080120563507,0.15634797513484955,0.1430085301399231,0.10776251554489136,1.0195584297180176,0.9815722703933716,0.23365271091461182,0.42645925283432007,,,,,0.03132149949669838
devbox,V4P5_42_gate6q_objective_only_e600,sample_first_best,591,persisted_native_diagnostic_not_replayed,22.489219329539758,17.70627498626709,0.16151674091815948,0.1326884776353836,0.10263149440288544,0.9869332313537598,0.9841910600662231,0.23033404350280762,0.4315758943557739,,,,,0.03291697800159454
devbox,V4P5_42_gate6q_objective_only_e600,final,600,persisted_native_diagnostic_not_replayed,22.739307019576724,17.85357892513275,0.16308672726154327,0.13332641124725342,0.10284215211868286,0.9931551218032837,0.9840977787971497,0.23329707980155945,0.43151217699050903,,,,,0.0336524173617363
