comparison,variable,baseline,candidate,sample_id,deltaT_quartile,true_scale_cv_rms_K,baseline_point_error_squared_sum,candidate_point_error_squared_sum,delta_point_error_squared_sum,baseline_shape_point_sse_K2,candidate_shape_point_sse_K2,delta_shape_point_sse_K2,baseline_scale_point_sse_K2,candidate_scale_point_sse_K2,delta_scale_point_sse_K2,baseline_cross_point_sse_K2,candidate_cross_point_sse_K2,delta_cross_point_sse_K2
V42_minus_V38,objective,V38,V42,sample_0014,Q4,1.2896650226372384,24.882071876417562,22.07386968568919,-2.808202190728373,18.56157620703052,22.715061964019878,4.153485756989358,3.683642711575063,0.8091255055192342,-2.874517206055829,2.6368529578119815,-1.450317783849924,-4.087170741661906
V42_minus_V38,objective,V38,V42,sample_0023,Q2,0.2629658707962856,1.1813021688391727,1.2656751506805302,0.08437298184135744,0.9645556118972441,0.8697791485376367,-0.09477646335960743,0.1636351120404425,0.3519993121529865,0.188364200112544,0.05311144490148589,0.0438966899899068,-0.009214754911579089
V42_minus_V38,objective,V38,V42,sample_0027,Q3,0.5366140210141005,7.147118665382122,4.044300107709337,-3.1028185576727845,4.690877450805195,3.4233292958895793,-1.267548154915616,2.616680876651927,0.3468228803593716,-2.2698579962925556,-0.16043966207500004,0.2741479314603857,0.43458759353538573
V42_minus_V38,objective,V38,V42,sample_0037,Q2,0.22343163865336263,1.6994108588863912,1.0793048246970476,-0.6201060341893436,1.5466382892927164,1.0838823669330544,-0.462755922359662,0.06784825529261862,0.015009926025580829,-0.05283832926703779,0.0849243143010562,-0.019587468261587745,-0.10451178256264394
V42_minus_V38,objective,V38,V42,sample_0053,Q3,0.4663458019698718,8.61707844850364,17.469102755349347,8.852024306845706,7.122975156021736,7.672055444229359,0.5490802882076231,1.4175490382700582,9.327500435054214,7.909951396784155,0.07655425421184625,0.4695468760657726,0.39299262185392636
V42_minus_V38,objective,V38,V42,sample_0059,Q3,0.6962427182377497,6.748569476385459,2.947762053088113,-3.800807423297346,4.434900500645462,2.4226697937206145,-2.0122307069248473,2.0227479300150053,0.39940390779157364,-1.6233440222234317,0.29092104572499067,0.12568835157592506,-0.1652326941490656
V42_minus_V38,objective,V38,V42,sample_0061,Q1,0.08382224791294639,0.18929732483424697,0.3619055235481796,0.17260819871393265,0.0516918478815825,0.08944901464913776,0.037757166767555264,0.1287399970403224,0.2601399911922707,0.1313999941519483,0.008865479912342086,0.012316517706771113,0.0034510377944290266
V42_minus_V38,objective,V38,V42,sample_0075,Q2,0.1759556525077124,0.726106761325176,0.6404940084986429,-0.08561275282653313,0.7231549055732944,0.5739384708424635,-0.1492164347308309,0.0016432766247704497,0.07329711394753036,0.0716538373227599,0.0013085791271111652,-0.006741576291351012,-0.008050155418462178
V42_minus_V38,objective,V38,V42,sample_0077,Q3,0.5243418484033366,7.77754354458215,10.060491603132213,2.2829480585500637,7.007321084762338,6.087665340783533,-0.9196557439788045,0.5612645506630062,3.3280532712723634,2.766788720609357,0.20895790915680537,0.6447729910763167,0.43581508191951135
V42_minus_V38,objective,V38,V42,sample_0084,Q1,0.1663770492536331,0.43388711526132095,0.4835598053376901,0.04967269007636915,0.3244792352901365,0.15771415044402554,-0.16676508484611097,0.1207154292822664,0.27655492875010285,0.15583949946783643,-0.01130754931108191,0.04929072614356173,0.06059827545464364
V42_minus_V38,objective,V38,V42,sample_0085,Q2,0.35151646004990067,5.092178896700292,3.892875220909657,-1.1993036757906355,3.963973654961113,3.8569633900532123,-0.10701026490790078,1.5379793782610576,0.004380176150156158,-1.5335992021109015,-0.4097741365218768,0.03153165470628848,0.44130579122816527
V42_minus_V38,objective,V38,V42,sample_0108,Q2,0.2914894514933416,0.7224508042274631,0.8142444807201934,0.09179367649273029,0.6415405093808606,0.7942955096920694,0.1527550003112088,0.10774863176845759,0.04224111906657893,-0.06550751270187866,-0.026838336921855097,-0.022292148038454945,0.004546188883400151
V42_minus_V38,objective,V38,V42,sample_0130,Q2,0.3034592316489574,1.5859073261038437,1.2774812961214361,-0.30842602998240753,1.2690760570975494,0.9842740444588874,-0.284802012638662,0.25337815326722374,0.2900417878782251,0.03666363461100136,0.0634531157390702,0.003165463784323433,-0.060287651954746765
V42_minus_V38,objective,V38,V42,sample_0153,Q3,0.5671374625740733,67.61760699007881,103.21620342407763,35.59859643399882,5.9148326984325035,8.37171182578816,2.4568791273556574,61.58843155231495,92.35840096718505,30.769969414870097,0.11434273933135763,2.486090631104453,2.3717478917730954
V42_minus_V38,objective,V38,V42,sample_0155,Q2,0.23407834265904284,0.5255824727978307,0.33848128500991237,-0.1871011877879183,0.422576899451776,0.319099357443262,-0.103477542008514,0.11995960118392486,0.016078032878130553,-0.10388156830579431,-0.016954027837870256,0.003303894688519795,0.02025792252639005
V42_minus_V38,objective,V38,V42,sample_0162,Q1,0.104607551461206,0.02659115573448283,0.081535033122483,0.054943877388000176,0.02628545941475903,0.03771889318312787,0.01143343376836884,0.00011247989867357404,0.04322556654688915,0.04311308664821558,0.00019321642105022237,0.0005905733924659903,0.00039735697141576794
V42_minus_V38,objective,V38,V42,sample_0169,Q4,1.3291137206236883,10.282855279932289,11.12253081094602,0.8396755310137323,7.554816832331333,6.000413980824206,-1.5544028515071275,2.700404628836687,5.06893974743265,2.3685351185959633,0.027633818764266183,0.05317708268916577,0.025543263924899584
V42_minus_V38,objective,V38,V42,sample_0171,Q1,0.07917458795069666,0.11631416690264704,0.09880431714301646,-0.017509849759630575,0.10615242183270199,0.08297972315253106,-0.023172698680170925,0.006558055609183423,0.023502549859425043,0.01694449425024162,0.0036036894607616417,-0.0076779558689396565,-0.011281645329701297
V42_minus_V38,objective,V38,V42,sample_0194,Q4,0.9539930273758233,20.479010486633616,25.659562750301394,5.180552263667778,10.858115691245603,24.918754496194264,14.060638804948661,9.537969441491127,1.0691361089849987,-8.468833332506128,0.08292535389689082,-0.3283278548778714,-0.41125320877476224
V42_minus_V38,objective,V38,V42,sample_0195,Q3,0.47324039844335775,3.6013721849523277,3.448204199258128,-0.15316798569419987,1.855018753994031,1.9661497607045832,0.1111310067105522,1.6422696856949994,1.4938567568650438,-0.1484129288299556,0.10408374526329689,-0.011802318311499235,-0.11588606357479612
V42_minus_V38,objective,V38,V42,sample_0196,Q1,0.11565347010374963,0.052671158147118716,0.09390835206808767,0.04123719392096896,0.0482917031558047,0.08452820842756328,0.03623650527175858,0.003705409467605798,0.008617148758018923,0.004911739290413126,0.0006740455237082164,0.0007629948825054848,8.894935879726843e-05
V42_minus_V38,objective,V38,V42,sample_0206,Q1,0.057751311223483696,0.18798811577272942,0.5757926073832621,0.38780449161053265,0.17590089427824426,0.41401303322939736,0.2381121389511531,0.006063672098990369,0.23362531673766967,0.2275616446386793,0.006023549395494777,-0.07184574258380508,-0.07786929197929986
V42_minus_V38,objective,V38,V42,sample_0213,Q3,0.5267958684596359,1.8437557499181823,7.909468261947764,6.065712512029582,1.670884875123178,1.6189193723494597,-0.05196550277371825,0.10015492726076951,5.79067800916765,5.690523081906881,0.07271594753423491,0.49987088043065286,0.4271549328964179
