sample_id,role,deltaT_quartile,true_scale_cv_rms_K,physics_24_nearest_train_sample_id,physics_24_nearest_distance,physics_24_mean_k_distance,physics_24_neighbor_log_target_scale_mean,physics_24_neighbor_log_target_scale_variance,physics_24_neighbor_log_target_scale_std,pooled_latent_96_nearest_train_sample_id,pooled_latent_96_nearest_distance,pooled_latent_96_mean_k_distance,pooled_latent_96_neighbor_log_target_scale_mean,pooled_latent_96_neighbor_log_target_scale_variance,pooled_latent_96_neighbor_log_target_scale_std,combined_120_nearest_train_sample_id,combined_120_nearest_distance,combined_120_mean_k_distance,combined_120_neighbor_log_target_scale_mean,combined_120_neighbor_log_target_scale_variance,combined_120_neighbor_log_target_scale_std
sample_0014,valid_iid,Q4,1.2896650226372384,sample_0215,1.6481254304673183,2.035376711344256,-0.009560742827002571,0.40314599102826687,0.6349377851634496,sample_0215,4.551084982428303,5.475475765308974,0.3225810481809984,0.21861250532907409,0.4675601622562321,sample_0215,4.840319405972864,6.215522006592929,0.22407120127014796,0.27523579587109515,0.52462919845458
sample_0023,valid_iid,Q2,0.2629658707962856,sample_0580,0.9673912893501015,1.356715039286724,-1.1767144978111888,0.31852800882241883,0.5643828565986203,sample_0193,3.847798089814202,4.630424013879699,-0.8198234858590709,0.4744966986408799,0.6888372076484254,sample_0193,4.781382773923613,5.338547707584357,-1.0537976536071227,0.5276476043227836,0.7263935602156613
sample_0027,valid_iid,Q3,0.5366140210141005,sample_0567,1.61481906876899,1.943934762871606,-0.5334569196613623,0.18055716617007697,0.42492018800014314,sample_0002,4.011341662881356,4.909618502471662,-0.6426493379984181,0.28374279772189165,0.5326751333804608,sample_0567,4.899473451894481,5.7929352599165815,-0.6985124694811395,0.2119539504295121,0.4603845679749834
sample_0037,valid_iid,Q2,0.22343163865336263,sample_0094,3.012844091794441,4.365491181441548,-0.9664016668243303,1.1644357494914825,1.0790902415884793,sample_0033,6.479780454097184,7.3066856520950605,-1.329056272781754,1.0174415173315368,1.0086830608925366,sample_0150,8.496222005388434,9.456007432322476,-0.805338765152787,1.0375659330924987,1.018609804141163
sample_0053,valid_iid,Q3,0.4663458019698718,sample_0268,1.2207459984629365,1.5438415265127339,-0.995360568368239,0.23193456061003365,0.48159584779152076,sample_0569,4.479240250134551,5.3832617816911945,-0.5632660977401953,0.4105283945318116,0.6407248976993258,sample_0268,5.186871163287015,5.999679061872877,-0.4193991919571995,0.32974146070260496,0.5742311909872233
sample_0059,valid_iid,Q3,0.6962427182377497,sample_0967,1.0977578590522485,1.4385697161256337,-0.4258650720670173,0.35011267182176453,0.5917031957170458,sample_0405,4.031550951696771,4.911792370238407,-0.8673030563569611,0.2246859089413873,0.4740104523545734,sample_0405,4.564932846282992,5.427354376001087,-0.8673030563569611,0.2246859089413873,0.4740104523545734
sample_0061,valid_iid,Q1,0.08382224791294639,sample_0718,1.5005994031527943,1.7569259459935638,-1.6770697532099827,0.40839177467881427,0.6390553768483717,sample_0219,4.241175324843213,4.713101660905503,-1.394234804417398,0.45294281071243303,0.673010260480799,sample_0949,4.774609454441018,5.288304205879514,-1.4669877978368309,0.3809815187504116,0.6172370037112257
sample_0075,valid_iid,Q2,0.1759556525077124,sample_0443,1.606856795768986,2.282357081825609,-1.8604665045586546,0.5526520335543657,0.743405699167262,sample_0237,4.97015259161474,5.66505327797797,-1.2506744539918642,0.3998104104518863,0.6323056305710762,sample_0237,5.784015612734151,6.5107253138943815,-1.2762256710869397,0.33515513823613646,0.5789258486508756
sample_0077,valid_iid,Q3,0.5243418484033366,sample_0646,1.2243334976211375,1.5550211924335224,-0.5597449765617846,0.3413830411554863,0.5842799338976877,sample_0903,3.801987027256289,5.130669983165243,-0.5184168906266927,0.25450375544270076,0.5044836523047113,sample_0903,4.922812734361492,5.782749947850988,-0.6609772740349779,0.2801801398039599,0.5293204509594919
sample_0084,valid_iid,Q1,0.1663770492536331,sample_0090,0.8559977008638646,1.8382888123981984,-0.9080113887422888,0.5818944337210706,0.7628200533029206,sample_0909,4.858594740704232,5.793636437620095,-1.9608995944721586,0.18420111643204998,0.42918657531666804,sample_0909,5.460069441900397,6.574917553491427,-1.9516282729233776,0.21292809788786987,0.461441326592959
sample_0085,valid_iid,Q2,0.35151646004990067,sample_0396,1.5941168218239663,2.410401203815155,-0.8766539963565918,1.0018798149473658,1.0009394661753357,sample_0133,5.010753356481518,6.482630303343446,-0.7335748441118282,0.43726184207005475,0.6612577727861161,sample_0133,5.471650062361904,7.292870915898511,-0.9362995190107007,0.26348463115475906,0.5133075405200659
sample_0108,valid_iid,Q2,0.2914894514933416,sample_0066,1.0409239646285038,1.398629286882859,-1.132070452760253,0.09908838043242793,0.314783068846512,sample_0066,2.9186730477755263,4.016316474172536,-1.4205351283586354,0.135257200860259,0.3677733009073103,sample_0066,3.098737655876858,4.45004213767471,-1.4094057226396768,0.1342454274061983,0.3663951792889725
sample_0130,valid_iid,Q2,0.3034592316489574,sample_0115,2.214289522160718,2.6788498555990263,-0.727277655883114,0.33644396056507064,0.5800378958008439,sample_0143,4.586430141149898,6.619154656030304,-0.584311223870084,0.4822154692002413,0.6944173595182088,sample_0143,5.1481669266656835,7.503081009294749,-0.697268367251071,0.5276592093409928,0.7264015482782183
