sample_id,role,deltaT_quartile,true_scale_cv_rms_K,total_power_W,q_cv_mean_W_m3,q_cv_rms_W_m3,q_max_W_m3,source_present_fraction,q_weighted_inverse_kz_mK_W,q_weighted_local_kz_W_mK,harmonic_kx_W_mK,harmonic_ky_W_mK,harmonic_kz_W_mK,anisotropy_xy_over_z,top_h_W_m2K,T_inf_minus_T_bottom_K,bc_top_cv_fraction,bc_bottom_cv_fraction,bc_side_cv_fraction,source_concentration,e231_point_sse_K2,e231_sample_cv_relative_rmse,e231_raw_cv_rmse_K,e231_shape_cv_rmse,e231_signed_log_scale_error,e543_point_sse_K2,e543_sample_cv_relative_rmse,e543_raw_cv_rmse_K,e543_shape_cv_rmse,e543_signed_log_scale_error,v39_e24_point_sse_K2,v39_e24_sample_cv_relative_rmse,v39_e24_raw_cv_rmse_K,v39_e24_shape_cv_rmse,v39_e24_signed_log_scale_error,e231_oracle_scale_point_sse_K2,e231_oracle_scale_sample_cv_relative_rmse,e231_oracle_scale_raw_cv_rmse_K,e231_oracle_scale_shape_cv_rmse,e231_oracle_scale_signed_log_scale_error,e543_oracle_scale_point_sse_K2,e543_oracle_scale_sample_cv_relative_rmse,e543_oracle_scale_raw_cv_rmse_K,e543_oracle_scale_shape_cv_rmse,e543_oracle_scale_signed_log_scale_error,v39_e24_oracle_scale_point_sse_K2,v39_e24_oracle_scale_sample_cv_relative_rmse,v39_e24_oracle_scale_raw_cv_rmse_K,v39_e24_oracle_scale_shape_cv_rmse,v39_e24_oracle_scale_signed_log_scale_error,ridge_physics_24_point_sse_K2,ridge_physics_24_sample_cv_relative_rmse,ridge_physics_24_raw_cv_rmse_K,ridge_physics_24_shape_cv_rmse,ridge_physics_24_signed_log_scale_error,ridge_pooled_latent_96_point_sse_K2,ridge_pooled_latent_96_sample_cv_relative_rmse,ridge_pooled_latent_96_raw_cv_rmse_K,ridge_pooled_latent_96_shape_cv_rmse,ridge_pooled_latent_96_signed_log_scale_error,ridge_combined_120_point_sse_K2,ridge_combined_120_sample_cv_relative_rmse,ridge_combined_120_raw_cv_rmse_K,ridge_combined_120_shape_cv_rmse,ridge_combined_120_signed_log_scale_error,physics_24_nearest_train_sample_id,physics_24_nearest_distance,physics_24_mean_k_distance,physics_24_neighbor_log_target_scale_mean,physics_24_neighbor_log_target_scale_variance,physics_24_neighbor_log_target_scale_std,pooled_latent_96_nearest_train_sample_id,pooled_latent_96_nearest_distance,pooled_latent_96_mean_k_distance,pooled_latent_96_neighbor_log_target_scale_mean,pooled_latent_96_neighbor_log_target_scale_variance,pooled_latent_96_neighbor_log_target_scale_std,combined_120_nearest_train_sample_id,combined_120_nearest_distance,combined_120_mean_k_distance,combined_120_neighbor_log_target_scale_mean,combined_120_neighbor_log_target_scale_variance,combined_120_neighbor_log_target_scale_std
sample_0014,valid_iid,Q4,1.2896650226372384,1.4152010381866746,7076005.26287037,30145619.448603023,213093536.0,0.0962962962962963,0.1661538199456739,6.182670004290516,16.434891254639908,16.434891254639908,11.797956086532027,1.3930286851466738,2765.5367474252816,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,4.260259628488802,24.881603470058366,0.1324081104822008,0.17076210880238146,0.1175341059097728,0.05302434549723453,12.465016683953309,0.09559925051991336,0.12329100958586708,0.09504959368933386,0.00664975948986241,13.494884629268292,0.0984229818231357,0.12693267708095882,0.09506515267662215,0.02114286487815381,18.560375841087858,0.11753410590977281,0.15157962535877473,0.1175341059097728,0.0,12.174906598324306,0.09504959368933387,0.12258213639701507,0.09504959368933387,-2.2204460492503136e-16,12.17775141039774,0.09506515267662216,0.12260220227870844,0.09506515267662215,0.0,14.961057872780318,0.10296183185066864,0.1327862732044641,0.09504959368933386,0.034711954902007465,13.709863496227609,0.10628065888106192,0.13706644834174533,0.09504959368933386,-0.05369921150048558,12.712282985486063,0.10119074110873783,0.1305021594226793,0.09504959368933387,-0.040327337996933416,sample_0215,1.6481254304673183,2.035376711344256,-0.009560742827002571,0.40314599102826687,0.6349377851634496,sample_0215,4.551084982428303,5.475475765308974,0.3225810481809984,0.21861250532907409,0.4675601622562321,sample_0215,4.840319405972864,6.215522006592929,0.22407120127014796,0.27523579587109515,0.52462919845458
sample_0023,valid_iid,Q2,0.2629658707962856,0.4648959858257915,2324479.9096296295,6395248.2463418795,22604202.0,0.1451851851851852,0.13091247094509895,42.282544189687755,10.962411964801857,10.962411964801857,8.859624986724366,1.2373449193649162,2393.1171030531204,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,2.7512598557253845,1.1810016675607842,0.15251484226197792,0.04010619830477916,0.1379691440361596,0.05465636605284153,1.3926988701322316,0.16610343329007232,0.0436795339773766,0.15273844249701607,0.05320727572836919,1.4752988342659275,0.17091826044141534,0.04494566919196311,0.15272890512606074,0.06386142374175757,0.9645254452521514,0.13796914403615956,0.036281176104486855,0.1379691440361596,0.0,1.1786356679552596,0.15273844249701607,0.040164997535296225,0.15273844249701607,0.0,1.178496664531365,0.15272890512606074,0.04016248953223785,0.15272890512606074,0.0,1.7973707455065173,0.188455522750894,0.049557370646558054,0.1527384424970161,0.09471209186250532,1.4772611921991599,0.17103008848177628,0.044975076149976076,0.15273844249701607,0.0640734409155371,1.344811859786239,0.16324067166621778,0.042926725374077504,0.15273844249701607,0.04603481941006213,sample_0580,0.9673912893501015,1.356715039286724,-1.1767144978111888,0.31852800882241883,0.5643828565986203,sample_0193,3.847798089814202,4.630424013879699,-0.8198234858590709,0.4744966986408799,0.6888372076484254,sample_0193,4.781382773923613,5.338547707584357,-1.0537976536071227,0.5276476043227836,0.7263935602156613
sample_0027,valid_iid,Q3,0.5366140210141005,0.7282132765770551,3641066.4183796295,22049486.216831658,142325568.0,0.044444444444444446,0.02931186123869092,34.752655895150085,36.084032497922344,36.084032497922344,25.083366361238685,1.438564185454907,250.49503812334368,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,6.055776970950946,7.14602288129752,0.14451898407634614,0.07755091315808087,0.11408837733119553,-0.10032558090567295,8.741133460169374,0.16415097386591318,0.0880857141395682,0.10167934680318808,-0.14403269496855334,8.343389397955688,0.16008629701727073,0.08590455155169525,0.10168474044535239,-0.13802366074724295,4.690399570457255,0.11408837733119552,0.06122142291066678,0.1140883773311955,0.0,3.4459709880112386,0.10167934680318806,0.05456256314214597,0.10167934680318808,0.0,3.4466416517953298,0.10168474044535239,0.05456545744615568,0.10168474044535239,0.0,16.66632208301667,0.23144674908180304,0.1241975706754279,0.10167934680318805,-0.23971665991021004,3.938780074754721,0.10720043663624679,0.05752525735784368,0.10167934680318805,-0.040322099176486235,5.041939820770726,0.121964818551729,0.06544803170529846,0.10167934680318808,-0.07550257104027991,sample_0567,1.61481906876899,1.943934762871606,-0.5334569196613623,0.18055716617007697,0.42492018800014314,sample_0002,4.011341662881356,4.909618502471662,-0.6426493379984181,0.28374279772189165,0.5326751333804608,sample_0567,4.899473451894481,5.7929352599165815,-0.6985124694811395,0.2119539504295121,0.4603845679749834
sample_0037,valid_iid,Q2,0.22343163865336263,0.8964694359693468,4482347.24,18064132.58042908,93660680.0,0.07407407407407407,0.06878508785006869,64.76029435459623,61.82474842719013,61.82474842719013,13.190376443151221,4.6871102347720415,525.3273986045094,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,4.030060933212591,1.6997013161286265,0.20366958665757876,0.04550622949075586,0.19583175230556113,0.03919814100015552,1.5287943708712037,0.19656671398033243,0.04391922300933252,0.19295741671912447,0.022980203487071263,1.5587617249812284,0.19844816433669274,0.04433959854549906,0.19298148088969796,0.03076632666302642,1.547004660272456,0.1958317523055611,0.043755009317990944,0.19583175230556113,0.0,1.4732736759896405,0.19295741671912447,0.04311279180787373,0.19295741671912447,2.2204460492503128e-16,1.4736777815551902,0.1929814808896979,0.04311816850493779,0.19298148088969794,2.2204460492503128e-16,1.4679827847710314,0.1925921401943121,0.04303117747537329,0.19295741671912447,-0.004282014704893586,1.51412441528991,0.19502579202367804,0.043574932291520284,0.19295741671912447,-0.05394320492246409,2.5206464768798393,0.2484079366529417,0.055502192340867465,0.19295741671912447,-0.19378079687978975,sample_0094,3.012844091794441,4.365491181441548,-0.9664016668243303,1.1644357494914825,1.0790902415884793,sample_0033,6.479780454097184,7.3066856520950605,-1.329056272781754,1.0174415173315368,1.0086830608925366,sample_0150,8.496222005388434,9.456007432322476,-0.805338765152787,1.0375659330924987,1.018609804141163
sample_0053,valid_iid,Q3,0.4663458019698718,1.2023210060093878,6011604.917037037,35291280.11427544,285046688.0,0.047407407407407405,0.016987060677941188,78.64855021767688,21.0423960646304,21.0423960646304,20.869526350174656,1.008283355911156,1827.062705644622,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,5.870525555588475,8.615799706491028,0.22188611526000646,0.10347565836690711,0.1954543790599397,0.08401970582112125,11.261515778892932,0.25064787370223696,0.11688858367371283,0.20466839762259484,0.11800834761893955,11.85985465428635,0.2573638852903619,0.12002056748381591,0.20467217890348707,0.1279397776623493,7.122148101002231,0.1954543790599397,0.0911493291512309,0.19545437905993973,-1.1102230246251565e-16,7.796173033873211,0.20466839762259487,0.0954462480271976,0.20466839762259484,2.2204460492503128e-16,7.79656621097419,0.20467217890348707,0.09544801141166775,0.20467217890348707,-1.1102230246251565e-16,9.341998624025521,0.22737717959068632,0.10603639316586617,0.20466839762259484,0.07723621950714477,26.314818796051647,0.38299972205926863,0.17861031253796764,0.20466839762259484,0.2650222438324421,24.938550856665874,0.37296948327547486,0.17393275278839002,0.20466839762259484,0.25584663688849074,sample_0268,1.2207459984629365,1.5438415265127339,-0.995360568368239,0.23193456061003365,0.48159584779152076,sample_0569,4.479240250134551,5.3832617816911945,-0.5632660977401953,0.4105283945318116,0.6407248976993258,sample_0268,5.186871163287015,5.999679061872877,-0.4193991919571995,0.32974146070260496,0.5742311909872233
sample_0059,valid_iid,Q3,0.6962427182377497,0.8617255690152267,4308627.925,6248568.985759421,9635550.0,0.5007407407407407,0.1566749154602221,7.406002408941779,9.000544951067731,9.000544951067731,7.926346700704579,1.1355224911203625,1501.3074099412408,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,1.4502456667974144,6.7497269383657645,0.12666853593723545,0.0881920457761369,0.10148111546227083,0.06843512685569578,4.265844974934881,0.09915041291782073,0.0690327530042988,0.08801812713096314,0.04108156227020906,4.780263990077156,0.10525125405631028,0.07328041922209745,0.08798605246631362,0.05261078912560177,4.435422190683806,0.10148111546227083,0.07065548767925038,0.10148111546227084,0.0,3.3889626195130784,0.08801812713096314,0.06128198008785761,0.08801812713096314,0.0,3.386907271235714,0.08798605246631364,0.06125964833615547,0.08798605246631362,0.0,8.335052311633717,0.14059696199359153,0.09788961099438777,0.08801812713096314,0.10059800151474609,8.137921391436837,0.140458601676471,0.09779327863109953,0.08801812713096314,-0.12036341372065003,5.297603841085014,0.1123404282070652,0.07821620510287985,0.08801812713096314,-0.07665337869695929,sample_0967,1.0977578590522485,1.4385697161256337,-0.4258650720670173,0.35011267182176453,0.5917031957170458,sample_0405,4.031550951696771,4.911792370238407,-0.8673030563569611,0.2246859089413873,0.4740104523545734,sample_0405,4.564932846282992,5.427354376001087,-0.8673030563569611,0.2246859089413873,0.4740104523545734
sample_0061,valid_iid,Q1,0.08382224791294639,0.317940960587773,1589704.8296296296,6130456.882043416,26575168.0,0.08296296296296296,0.04472198983289229,34.174978909787235,24.921134537520505,24.921134537520505,23.107607982259424,1.0784817951149852,630.9960618298162,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,3.85634915015144,0.1893304842326981,0.18635835091267366,0.01562097589084999,0.09787802902349838,0.14311948406723995,0.2232544950179966,0.20437057772955722,0.017130801232559025,0.1119292202242847,0.1525882961974884,0.23574969277144497,0.20997350042560273,0.017600450807824027,0.11194916752991986,0.1582721600711928,0.051709550636131314,0.09787802902349839,0.008204356414038244,0.09787802902349838,0.0,0.06670468978946081,0.11192922022428468,0.009382158846342763,0.1119292202242847,0.0,0.06672605370914014,0.11194916752991987,0.009383830874340911,0.11194916752991986,0.0,1.6114793236310678,0.5464704631324666,0.04580638263779224,0.1119292202242847,0.42438987709841075,0.30319554620557687,0.23790412627395333,0.01994165865204822,0.1119292202242847,0.1854487048582601,0.401233739392457,0.27343892112219054,0.022920265035352848,0.1119292202242847,0.2177654355176021,sample_0718,1.5005994031527943,1.7569259459935638,-1.6770697532099827,0.40839177467881427,0.6390553768483717,sample_0219,4.241175324843213,4.713101660905503,-1.394234804417398,0.45294281071243303,0.673010260480799,sample_0949,4.774609454441018,5.288304205879514,-1.4669877978368309,0.3809815187504116,0.6172370037112257
sample_0075,valid_iid,Q2,0.1759556525077124,0.8805630931734794,4402815.587326389,15502297.160989754,67130512.0,0.1451851851851852,0.022238888292977488,177.924154787115,32.47244605079598,32.47244605079598,20.025388457846557,1.6215638522643634,323.9330190921048,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,3.5209962324553086,0.7262697037035509,0.16026355630131764,0.028199278622204848,0.15946296611720714,0.007691906679805653,0.6780080036887173,0.15578360176718672,0.027411005298946956,0.12499604168535194,0.08203289700275725,0.7344288701270903,0.1622262996043889,0.02854463440080189,0.12499703720927009,0.0915668653677268,0.7233148742750534,0.15946296611720714,0.028058410253968415,0.15946296611720714,0.0,0.44363561086858005,0.12499604168535196,0.02199376007562732,0.12499604168535197,-1.1102230246251565e-16,0.4436090038655191,0.12499703720927009,0.021993935243687923,0.12499703720927009,0.0,1.2320148083867588,0.2076990592386157,0.036545823493568635,0.12499604168535194,-0.19100553312225366,2.354131536370779,0.29084828144230584,0.0511763991419277,0.12499604168535194,0.22707430231511266,1.7106066889417857,0.24796849225491022,0.043631457856066355,0.12499604168535194,0.18771539631627202,sample_0443,1.606856795768986,2.282357081825609,-1.8604665045586546,0.5526520335543657,0.743405699167262,sample_0237,4.97015259161474,5.66505327797797,-1.2506744539918642,0.3998104104518863,0.6323056305710762,sample_0237,5.784015612734151,6.5107253138943815,-1.2762256710869397,0.33515513823613646,0.5789258486508756
sample_0077,valid_iid,Q3,0.5243418484033366,1.8535252654421974,9267626.272592593,31261549.356331244,225172048.0,0.1437037037037037,0.027687064537294966,37.04710242908225,9.67644791457141,9.67644791457141,9.540173403989026,1.0142842802548435,1896.9595039821731,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,3.3731991786842275,7.777902582499678,0.16962022637894777,0.08893898302612988,0.1587783737551988,0.04724718973087535,6.993551253948676,0.16349870352733614,0.08572921241907257,0.14801313656002263,0.057664117111044015,7.480142277383444,0.16955254155917696,0.0889034930426224,0.1479798535500779,0.07002683102458433,7.0073161081259725,0.15877837375519874,0.08325414598127674,0.1587783737551988,0.0,5.834601401342829,0.14801313656002263,0.07760948161185775,0.14801313656002263,0.0,5.832616154913903,0.14797985355007792,0.07759202993690291,0.14797985355007792,-2.2204460492503136e-16,43.317400482868806,0.4208041250014742,0.2206452127190217,0.14801313656002263,0.32433625611989025,6.302915293292908,0.15447660986713113,0.08099855115281265,0.14801313656002263,0.03401446967836244,7.751805052950336,0.1728506171481545,0.09063281209312081,0.14801313656002263,0.07602296099770793,sample_0646,1.2243334976211375,1.5550211924335224,-0.5597449765617846,0.3413830411554863,0.5842799338976877,sample_0903,3.801987027256289,5.130669983165243,-0.5184168906266927,0.25450375544270076,0.5044836523047113,sample_0903,4.922812734361492,5.782749947850988,-0.6609772740349779,0.2801801398039599,0.5293204509594919
sample_0084,valid_iid,Q1,0.1663770492536331,1.7108204773726943,8554102.396296296,36945814.190012746,235265904.0,0.07407407407407407,0.005993259095147739,166.85412462972278,9.299185367626603,9.299185367626603,8.642702072116752,1.0759581077806453,360.4339597720042,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,4.3190755184628795,0.43387518167227274,0.12998294381068995,0.021626178644523385,0.1131986067500807,-0.07323235415050323,0.19606532518276587,0.08764703226861259,0.014582454604689727,0.08419870598841328,-0.02854805474624499,0.18490631865756035,0.0852226007531246,0.014179084843025321,0.08417492173868579,-0.017479545856120667,0.3244138833857051,0.1131986067500807,0.018833650170700822,0.11319860675008073,-2.2204460492503136e-16,0.17911922354007553,0.08419870598841328,0.01400873225332641,0.0841987059884133,-2.2204460492503136e-16,0.17903077069985543,0.08417492173868578,0.014004775100038037,0.08417492173868578,2.2204460492503128e-16,61.95480472275372,1.598914390192071,0.26602265824932897,0.0841987059884133,0.9528753297322217,0.5511125571725368,0.1512004840693841,0.02515629038518509,0.0841987059884133,0.11519531837043069,1.0210330457391414,0.20601645728145812,0.03427641026017616,0.0841987059884133,0.16933221542343843,sample_0090,0.8559977008638646,1.8382888123981984,-0.9080113887422888,0.5818944337210706,0.7628200533029206,sample_0909,4.858594740704232,5.793636437620095,-1.9608995944721586,0.18420111643204998,0.42918657531666804,sample_0909,5.460069441900397,6.574917553491427,-1.9516282729233776,0.21292809788786987,0.461441326592959
