model,config_id,checkpoint,epoch,checkpoint_sha256,point_global_relative_rmse_pct,sample_first_cv_relative_rmse_pct,raw_cv_weighted_rmse_K,legacy_normalized_valid_base_mse,shape_cv_rmse,scale_log_rmse,amplitude_ratio,spatial_correlation,hotspot_cv_weighted_rmse_K,top5_cv_weighted_rmse_K,strong_q_cv_weighted_rmse_K,low_deltaT_background_bias_K,low_deltaT_background_rmse_K,low_deltaT_background_over_ratio
V38,V4P5_38_gate6n_v36_r2r_mask_p005_e600,final,600,c23d09e999c2593a256257bf86f502ec556eb7f26e021575c862272f2bf8bbb1,22.643387296216485,20.16007982143378,0.1626796236931319,0.033370544333051366,0.1412053487365312,0.17358901848483818,0.995175961860551,0.9822009984843847,0.2958249707061526,0.44219782513793016,0.341917529419232,0.004781346800165031,0.017842817284744912,0.3897232398308724
V42,V4P5_42_gate6q_objective_only_e600,point_global_best,257,fd1006092976a43d8fb0e26e52142395d1e6233a422d03d41055c915a3e67752,21.936815354126658,19.250517211712364,0.15634710952501843,0.031320426010483,0.14300772479942028,0.14713299677865432,1.0195547879160882,0.9815720481126937,0.2826226063207836,0.426451120034416,0.3385304872997881,0.006000111604728589,0.019727775286653614,0.4029945803084632
V42,V4P5_42_gate6q_objective_only_e600,sample_first_best,591,ff1b78154e834ccd0c950f5d05df9bbc0c0cef5d93565b8aa1b779428d34f765,22.488765905330318,17.70631108414868,0.1615138009434834,0.032916355836537334,0.1326889762979022,0.14798478645673344,0.9869386878089186,0.9841912695149807,0.28047689443047336,0.43155413287573574,0.3477051849650378,0.0053597680673620526,0.01726164808972644,0.4101315563016541
V42,V4P5_42_gate6q_objective_only_e600,legacy_best,257,18fcc0343e40989a7fb98b8fe004d9b89460b215b3926ece5e9b59c76ce60459,21.93714826347909,19.25068284759888,0.15635020958089155,0.031321376644537297,0.14300903796014192,0.14713720666131408,1.0195549418925491,0.9815717998916751,0.28262719861786073,0.42646412109394544,0.3385521086017652,0.0060001242082045195,0.01972756974712713,0.4029133208106349
V42,V4P5_42_gate6q_objective_only_e600,final,600,dbd2db3357ee341d356b45136833b896bfbaf7f3f63eec105211ca30583e3159,22.739239483925004,17.85341825680561,0.16308678157606654,0.03365366538301331,0.13332618246772895,0.1480672604328741,0.9931497979842814,0.9840977831873294,0.2834107195064277,0.4315241535418305,0.348014836016052,0.004320814627148276,0.016865671953510162,0.36465903061977495
V43,V4P5_43_gate6q_xy_scale_features_e600,point_global_best,276,411cc6ddd2a0c222b98acc89c934d016b76d0fa2b66bddbdef4486ba0b550a7c,22.450097184635005,20.068498030972187,0.16138691070067995,0.032803255893466096,0.14397481190493877,0.15871275779829946,1.0086037332196522,0.9818382574417781,0.2882424841752844,0.4410561648925741,0.349340414140603,0.00682243582439431,0.019450182758615847,0.4369175563560569
V43,V4P5_43_gate6q_xy_scale_features_e600,sample_first_best,465,7699b49934ae2dd4495ced0a0727f11cd4c475d31bf763640634e5dad41b1eb1,22.99861454793393,18.972584483481125,0.16533452510724891,0.034425784857597265,0.13686307875605302,0.1585464151290022,0.9788519805450082,0.9836089738218191,0.2944513923932768,0.46563574171215805,0.35784165346920455,0.004896990920112335,0.01682138748702721,0.4068568446791903
V43,V4P5_43_gate6q_xy_scale_features_e600,legacy_best,276,323c00b4ef6c5cbb4457166fdee380ab04b7a0356daa59f7b1e47c2670b826ec,22.4492049922506,20.068296014129405,0.16138059338480265,0.032800648667911304,0.14397338643415533,0.15870981037812198,1.0086032001915748,0.9818385134339589,0.28823174434627286,0.44103301598181033,0.34931180939272066,0.006822787394683295,0.01945058187808195,0.436890327918379
V43,V4P5_43_gate6q_xy_scale_features_e600,final,600,310eca1de601a526552592124b4007092f9bb06e7a1733ffa0a7b09bf683b449,22.795047295274586,19.090909868126204,0.16384589138804026,0.0338190572045798,0.13683847759733064,0.15871714980150595,0.9870803202016001,0.9834152997773982,0.2912234661525393,0.4601406179240796,0.3542768318754558,0.004893952771854891,0.016951983645021138,0.4030543485402599
V44,V4P5_44_gate6q_xy_deepsets_e600,point_global_best,329,82f2bf50f0a4525e8764c654552cb43e25e6d5a2665c68a1f8ea420642831597,22.06021905550541,18.90783527599047,0.15894290606777328,0.03167379797539901,0.1403774720764634,0.15325153044815895,1.0024176312501463,0.9829007837811938,0.2826821605752513,0.4593697841349666,0.35128715237484437,0.0033624435759257738,0.01693586898841702,0.36298419823797845
V44,V4P5_44_gate6q_xy_deepsets_e600,sample_first_best,477,2ad8f554c7acc3801de9e92af9285599284f6daf555faac6fa578acf5c24cb70,22.711029989195925,18.46560421213318,0.16398372391030294,0.03357021808653482,0.1365479717941428,0.15774859778736272,0.9808192687258575,0.9836527319459853,0.28497904020523557,0.46385237477241426,0.3562312134109371,0.0038243137952896937,0.016327606327703283,0.3798723629531139
V44,V4P5_44_gate6q_xy_deepsets_e600,legacy_best,329,cdfcef36bbe937a3a50bea712421fbed72b6ba50c61bf71e2d5c133e792aefa3,22.059485125491364,18.90731548734553,0.1589365910860861,0.03167169047463135,0.1403751230895692,0.1532469645824133,1.0024119050577975,0.9829015294401572,0.28266728382829576,0.4593393896383091,0.3512521731483314,0.0033622286797288597,0.01693543160647766,0.3629972673005485
V44,V4P5_44_gate6q_xy_deepsets_e600,final,600,0f12cabc4c2c34aae81b393f0bc2854ed81a2204e482f2aad59149b201143b10,22.543257849501323,18.65575360254833,0.16278913044912632,0.03307606663056115,0.13798235855429292,0.15545558963633244,0.9914701454161275,0.9832064588526919,0.2841558688596903,0.45949760539025497,0.35454479431265346,0.004310584940040588,0.016721899719922655,0.38587385921296746
