physical_field,train_quartile,field,sample_count,point_global_relative_rmse_pct,sample_first_cv_relative_rmse_pct,raw_cv_weighted_rmse_K
harmonic_kx_W_mK,Q1,e543,31,26.55372431458744,22.8807706860081,0.25423275700510284
harmonic_kx_W_mK,Q1,e231_oracle_scale,31,18.3394373834512,15.255231972651401,0.1718427081550585
harmonic_kx_W_mK,Q1,e543_oracle_scale,31,18.577830655642234,14.836693859196648,0.17545430941822204
harmonic_kx_W_mK,Q1,v39_e24_oracle_scale,31,18.577596394847053,14.837444043477433,0.17545325576197526
harmonic_kx_W_mK,Q1,ridge_physics_24,31,55.377739955039786,47.30917161261724,0.5369347883047054
harmonic_kx_W_mK,Q1,ridge_pooled_latent_96,31,29.338996497690427,24.839942033281428,0.2818633021965652
harmonic_kx_W_mK,Q1,ridge_combined_120,31,28.54095431497661,24.584887326475386,0.2737299687003931
harmonic_kx_W_mK,Q2,e543,40,20.833945505559566,20.966663552134733,0.15416273195427782
harmonic_kx_W_mK,Q2,e231_oracle_scale,40,16.219627883585314,15.973878807769054,0.11732547895084608
harmonic_kx_W_mK,Q2,e543_oracle_scale,40,15.6332357497238,14.80344031805227,0.11416367426342966
harmonic_kx_W_mK,Q2,v39_e24_oracle_scale,40,15.632551749248133,14.802542255182852,0.11415910900882528
harmonic_kx_W_mK,Q2,ridge_physics_24,40,35.85858736944523,45.738543616071205,0.2615311055613492
harmonic_kx_W_mK,Q2,ridge_pooled_latent_96,40,20.549338237467264,20.648682259626217,0.15121970801757892
harmonic_kx_W_mK,Q2,ridge_combined_120,40,20.711601911468073,20.999165761514895,0.15250430494908396
harmonic_kx_W_mK,Q3,e543,30,16.47396240831102,18.778248865401377,0.08406483832615516
harmonic_kx_W_mK,Q3,e231_oracle_scale,30,13.624688241707267,14.21707741567388,0.06932138992084336
harmonic_kx_W_mK,Q3,e543_oracle_scale,30,13.019914009111341,13.842977277877155,0.06571248369510166
harmonic_kx_W_mK,Q3,v39_e24_oracle_scale,30,13.019964523339098,13.84314334353935,0.06571304848419984
harmonic_kx_W_mK,Q3,ridge_physics_24,30,24.26695946605527,37.147870483605445,0.12556450768811062
harmonic_kx_W_mK,Q3,ridge_pooled_latent_96,30,17.236898628961928,19.671380875581775,0.08912475059157786
harmonic_kx_W_mK,Q3,ridge_combined_120,30,17.146192816329535,20.05373812515069,0.08846285300066457
harmonic_kx_W_mK,Q4,e543,27,18.39543860485256,16.341071292482244,0.09524066581443677
harmonic_kx_W_mK,Q4,e231_oracle_scale,27,13.760363233773093,13.38767532097647,0.0733228839270977
harmonic_kx_W_mK,Q4,e543_oracle_scale,27,13.307974905127235,11.950348928665282,0.07073995469210702
harmonic_kx_W_mK,Q4,v39_e24_oracle_scale,27,13.30767146738219,11.950377629278472,0.07073529042715918
harmonic_kx_W_mK,Q4,ridge_physics_24,27,20.639126159494605,25.73192275131584,0.10884511730230936
harmonic_kx_W_mK,Q4,ridge_pooled_latent_96,27,21.385918155424992,18.907238614913293,0.11059703777448215
harmonic_kx_W_mK,Q4,ridge_combined_120,27,20.441035567801816,18.88191719194998,0.10537964183137949
harmonic_ky_W_mK,Q1,e543,29,26.71593737986927,22.940290696994566,0.2607328666222922
harmonic_ky_W_mK,Q1,e231_oracle_scale,29,18.766561277792352,16.26787266328002,0.17951909175307013
harmonic_ky_W_mK,Q1,e543_oracle_scale,29,19.027471470749948,16.163490188331973,0.1834868530783408
harmonic_ky_W_mK,Q1,v39_e24_oracle_scale,29,19.02716912899599,16.163429863284133,0.18348524365036006
harmonic_ky_W_mK,Q1,ridge_physics_24,29,56.36353158044397,47.870595188617756,0.5579928067552685
harmonic_ky_W_mK,Q1,ridge_pooled_latent_96,29,30.269770551632746,26.050648918226504,0.2962038314162403
harmonic_ky_W_mK,Q1,ridge_combined_120,29,29.333500008909734,25.086823666322587,0.28664205656944713
harmonic_ky_W_mK,Q2,e543,41,20.134560662666384,20.340568210808996,0.1540530234645647
harmonic_ky_W_mK,Q2,e231_oracle_scale,41,15.202773700409383,14.585314529913799,0.11337470688291715
harmonic_ky_W_mK,Q2,e543_oracle_scale,41,14.627774808674223,13.314043803359471,0.11010897745131915
harmonic_ky_W_mK,Q2,v39_e24_oracle_scale,41,14.627151411115264,13.313843291393459,0.11010495502942567
harmonic_ky_W_mK,Q2,ridge_physics_24,41,33.24664711693196,45.27263131580107,0.24969026835851957
harmonic_ky_W_mK,Q2,ridge_pooled_latent_96,41,18.477358996168185,19.553313835019196,0.14131314848948986
harmonic_ky_W_mK,Q2,ridge_combined_120,41,18.94931485562519,20.32169989190846,0.1447698036495065
