sweep,route,output_resolution,mode,measurement_count,median_s,p95_s,throughput_samples_per_second,speedup_vs_fresh_median,stage_bottleneck,stage_bottleneck_median_s,static_setup_median_s_per_geometry_route,break_even_repeated_cases,amortized_latency_4_cases_s,amortized_latency_16_cases_s,amortized_latency_100_cases_s,historical_devbox_fresh_median_s,current_fresh_over_historical_ratio,execution_commit,raw_sha256
K_only,E16384_reconstruction,16384,fresh_new_case,48,0.544123443076387,0.5829489180818199,1.8259823059681908,1.0,support_plus_cv,0.26331368810497224,6.74964039423503,15,1.754277675470803,0.48872010155173484,0.13436398085439577,0.8318714390043169,0.6540955940591722,ebc7179f3187b639aafe2c106626e3b591d6bcc3,34518b4267a94be758445536bc401b5f042ba602891f45410bff7da34397dbff
K_only,E16384_reconstruction,16384,graph_only_reuse,48,0.27064670412801206,0.27775400117971005,3.938918544966301,2.0104565648766384,reconstruction_map,0.20011046202853322,6.74964039423503,15,1.754277675470803,0.48872010155173484,0.13436398085439577,0.8318714390043169,0.6540955940591722,ebc7179f3187b639aafe2c106626e3b591d6bcc3,34518b4267a94be758445536bc401b5f042ba602891f45410bff7da34397dbff
K_only,E16384_reconstruction,16384,full_static_reuse,48,0.06686757691204548,0.07085193735547364,15.042526365834528,8.13732855599212,query_dynamic_pack,0.024616273120045662,6.74964039423503,15,1.754277675470803,0.48872010155173484,0.13436398085439577,0.8318714390043169,0.6540955940591722,ebc7179f3187b639aafe2c106626e3b591d6bcc3,34518b4267a94be758445536bc401b5f042ba602891f45410bff7da34397dbff
K_plus_Q_scale,E16384_reconstruction,16384,fresh_new_case,48,0.6653509803581983,0.6843482090858742,1.5907738617783589,1.0,support_plus_cv,0.32402736181393266,6.74964039423503,12,1.7519914920558222,0.4864339181367541,0.132077797439415,0.8318714390043169,0.7998242867366258,ebc7179f3187b639aafe2c106626e3b591d6bcc3,34518b4267a94be758445536bc401b5f042ba602891f45410bff7da34397dbff
K_plus_Q_scale,E16384_reconstruction,16384,graph_only_reuse,48,0.2692395970225334,0.27865161616355183,3.9166559832392895,2.471222612558409,reconstruction_map,0.19981881882995367,6.74964039423503,12,1.7519914920558222,0.4864339181367541,0.132077797439415,0.8318714390043169,0.7998242867366258,ebc7179f3187b639aafe2c106626e3b591d6bcc3,34518b4267a94be758445536bc401b5f042ba602891f45410bff7da34397dbff
K_plus_Q_scale,E16384_reconstruction,16384,full_static_reuse,48,0.06458139349706471,0.06847851381171495,15.538721293675003,10.30251817636049,query_dynamic_pack,0.02393744047731161,6.74964039423503,12,1.7519914920558222,0.4864339181367541,0.132077797439415,0.8318714390043169,0.7998242867366258,ebc7179f3187b639aafe2c106626e3b591d6bcc3,34518b4267a94be758445536bc401b5f042ba602891f45410bff7da34397dbff
K_only,U_v2_16384_reconstruction,16384,fresh_new_case,48,0.5390254245139658,0.554503419273533,1.851036293918035,1.0,support_plus_cv,0.26128016598522663,5.058263532817364,11,1.3327781450934708,0.3843537326902151,0.11879489721730352,0.8106694354210049,0.6649139599472303,ebc7179f3187b639aafe2c106626e3b591d6bcc3,c706f8edcc3d8e205096bf15fa0d3594995c7d7bdd5130213263b50f86d6d8a4
K_only,U_v2_16384_reconstruction,16384,graph_only_reuse,48,0.20661283703520894,0.21106716606300324,4.847852260930688,2.608867059030366,reconstruction_map,0.13829135638661683,5.058263532817364,11,1.3327781450934708,0.3843537326902151,0.11879489721730352,0.8106694354210049,0.6649139599472303,ebc7179f3187b639aafe2c106626e3b591d6bcc3,c706f8edcc3d8e205096bf15fa0d3594995c7d7bdd5130213263b50f86d6d8a4
K_only,U_v2_16384_reconstruction,16384,full_static_reuse,48,0.06821226188912988,0.07092304357793182,14.714160865548038,7.902177842894013,h2d_enqueue,0.024660779163241386,5.058263532817364,11,1.3327781450934708,0.3843537326902151,0.11879489721730352,0.8106694354210049,0.6649139599472303,ebc7179f3187b639aafe2c106626e3b591d6bcc3,c706f8edcc3d8e205096bf15fa0d3594995c7d7bdd5130213263b50f86d6d8a4
K_plus_Q_scale,U_v2_16384_reconstruction,16384,fresh_new_case,48,0.5399696866516024,0.5479819379048422,1.8546161283804234,1.0,support_plus_cv,0.2623106609098613,5.058263532817364,11,1.3325785065535456,0.3841540941502899,0.1185952586773783,0.8106694354210049,0.6660787530137731,ebc7179f3187b639aafe2c106626e3b591d6bcc3,c706f8edcc3d8e205096bf15fa0d3594995c7d7bdd5130213263b50f86d6d8a4
K_plus_Q_scale,U_v2_16384_reconstruction,16384,graph_only_reuse,48,0.20535055198706686,0.20960213113576173,4.882176579381725,2.629501997567604,reconstruction_map,0.13774927938356996,5.058263532817364,11,1.3325785065535456,0.3841540941502899,0.1185952586773783,0.8106694354210049,0.6660787530137731,ebc7179f3187b639aafe2c106626e3b591d6bcc3,c706f8edcc3d8e205096bf15fa0d3594995c7d7bdd5130213263b50f86d6d8a4
K_plus_Q_scale,U_v2_16384_reconstruction,16384,full_static_reuse,48,0.06801262334920466,0.07301598666235805,14.646036786630964,7.93925686235005,h2d_enqueue,0.02415760001167655,5.058263532817364,11,1.3325785065535456,0.3841540941502899,0.1185952586773783,0.8106694354210049,0.6660787530137731,ebc7179f3187b639aafe2c106626e3b591d6bcc3,c706f8edcc3d8e205096bf15fa0d3594995c7d7bdd5130213263b50f86d6d8a4
K_only,U_v2_direct240825,240825,fresh_new_case,48,0.9667825354263186,1.196305426536128,1.0141259873740591,1.0,query_graph,0.8153256587684155,5.220807099714875,7,1.4289326479192823,0.4500313167227432,0.17593894398771226,1.1710687794256955,0.8255557251730671,fb4bcf918497ae6e86970c84d08ad458f433fdde,82c0e09ff2829990663267cf48217e98058b94a869d2b9ca2d2ebc79a2c51e97
K_only,U_v2_direct240825,240825,graph_only_reuse,48,0.1274112940300256,0.1455035949125886,7.767810615745121,7.587887265303873,query_group_pack,0.04855701350606978,5.220807099714875,7,1.4289326479192823,0.4500313167227432,0.17593894398771226,1.1710687794256955,0.8255557251730671,fb4bcf918497ae6e86970c84d08ad458f433fdde,82c0e09ff2829990663267cf48217e98058b94a869d2b9ca2d2ebc79a2c51e97
K_only,U_v2_direct240825,240825,full_static_reuse,48,0.12373087299056351,0.14054810921661556,7.999395675045604,7.813591806630601,query_dynamic_pack,0.04754055105149746,5.220807099714875,7,1.4289326479192823,0.4500313167227432,0.17593894398771226,1.1710687794256955,0.8255557251730671,fb4bcf918497ae6e86970c84d08ad458f433fdde,82c0e09ff2829990663267cf48217e98058b94a869d2b9ca2d2ebc79a2c51e97
K_plus_Q_scale,U_v2_direct240825,240825,fresh_new_case,48,0.9433312029577792,1.1508007613709197,1.0445690783138262,1.0,query_graph,0.7933711023069918,5.220807099714875,7,1.4208978340029716,0.44199650280643255,0.1679041300714016,1.1710687794256955,0.8055301443698283,fb4bcf918497ae6e86970c84d08ad458f433fdde,82c0e09ff2829990663267cf48217e98058b94a869d2b9ca2d2ebc79a2c51e97
K_plus_Q_scale,U_v2_direct240825,240825,graph_only_reuse,48,0.12119287787936628,0.12825067655649036,8.169487175125116,7.7837181479984165,query_group_pack,0.04417987843044102,5.220807099714875,7,1.4208978340029716,0.44199650280643255,0.1679041300714016,1.1710687794256955,0.8055301443698283,fb4bcf918497ae6e86970c84d08ad458f433fdde,82c0e09ff2829990663267cf48217e98058b94a869d2b9ca2d2ebc79a2c51e97
