sweep,route,mode,stage,median_s,p95_s,share_of_elapsed_median,measurement_count,execution_commit
K_plus_Q_scale,E16384_reconstruction,fresh_new_case,anchor_group_pack,0.017192683881148696,0.019018859532661737,0.025840021866192855,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,fresh_new_case,dynamic_anchor_assembly,0.0002288843970745802,0.0003101046429947019,0.00034400550060264135,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,fresh_new_case,dynamic_query_assembly,0.007663149386644363,0.008271173480898142,0.011517454114997818,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,fresh_new_case,h2d_enqueue,0.009583340026438236,0.010516877612099051,0.014403435644265453,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,fresh_new_case,h2d_sync,0.0014275347348302603,0.0015842744149267673,0.002145536381507596,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,fresh_new_case,neural_forward,0.004743379075080156,0.00555605492554605,0.007129138176855937,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,fresh_new_case,query_graph,0.05020657507702708,0.05231661843135953,0.07545878274651054,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,fresh_new_case,query_group_pack,0.027740007964894176,0.030569300055503845,0.041692292915778174,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,fresh_new_case,reconstruction_apply,0.0013134295586496592,0.0013665163656696676,0.0019740401643994895,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,fresh_new_case,reconstruction_map,0.2001446366775781,0.2045962604228407,0.3008106136250498,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,fresh_new_case,support_plus_cv,0.32402736181393266,0.3368191211018711,0.48700215582381695,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,graph_only_reuse,anchor_group_pack,0.017115549184381962,0.01930994892027229,0.06356995543619653,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,graph_only_reuse,dynamic_anchor_assembly,0.00024080602452158928,0.00029305487405508753,0.0008943930505936523,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,graph_only_reuse,dynamic_query_assembly,0.007549586473032832,0.008230587467551231,0.028040401770475783,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
