route,sweep,mode,count,median_seconds,p95_seconds,throughput_samples_per_second,speedup_vs_fresh_median
E16384_reconstruction,K_only,fresh_new_case,16,0.8815747774206102,0.9365869087632746,1.1339047564879572,
E16384_reconstruction,K_only,known_topology_new_physics,16,0.11040580412372947,0.11718998989090323,9.018837482446418,7.984858988324996
E16384_reconstruction,K_plus_Q_scale,fresh_new_case,16,0.8798043155111372,0.9320072805276141,1.1379778724515712,
E16384_reconstruction,K_plus_Q_scale,known_topology_new_physics,16,0.11110050440765917,0.11476338387001306,8.964224649717725,7.918994789464559
U_v2_16384_reconstruction,K_only,fresh_new_case,16,0.8337122504599392,0.8606435835827142,1.2081769498784567,
U_v2_16384_reconstruction,K_only,known_topology_new_physics,16,0.09189216466620564,0.09400182834360749,10.867798257976219,9.072724029174449
U_v2_16384_reconstruction,K_plus_Q_scale,fresh_new_case,16,0.8318047316279262,0.8649152206489816,1.2097561088249593,
U_v2_16384_reconstruction,K_plus_Q_scale,known_topology_new_physics,16,0.09237959212623537,0.0966096636839211,10.827130298789704,9.004204418777658
U_v2_direct240825,K_only,fresh_new_case,16,1.3567595779895782,1.6315483124926686,0.7257041103256138,
U_v2_direct240825,K_only,known_topology_new_physics,16,0.21480714459903538,0.2505095253000036,4.589252350327357,6.3161752860787805
U_v2_direct240825,K_plus_Q_scale,fresh_new_case,16,1.4779531555250287,1.8851173483999446,0.6604684244011843,
U_v2_direct240825,K_plus_Q_scale,known_topology_new_physics,16,0.22027957369573414,0.26738303317688406,4.454772261615506,6.7094425993691225
E240825_direct_control,K_only,fresh_new_case,16,1.252546266419813,1.4111331072635949,0.7951803892733951,
E240825_direct_control,K_only,known_topology_new_physics,16,0.48435075697489083,0.5815491870744154,1.9724014349788708,2.586031400555334
E240825_direct_control,K_plus_Q_scale,fresh_new_case,16,1.2572094521019608,1.3468012157827616,0.7929920264419401,
E240825_direct_control,K_plus_Q_scale,known_topology_new_physics,16,0.4858878164086491,0.5953474742127582,1.9507039301807163,2.587447986233519
