sample_id,path,topology,package_total_power_W,peak_deltaT_K,mean_deltaT_K,Rth_peak_K_W,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,junction_temperature_K,top_surface_mean_temperature_K,board_reference_temperature_K,junction_to_top_R_K_W,junction_to_board_R_K_W,junction_to_ambient_R_K_W,junction_to_top_path_R_K_W,junction_to_board_path_R_K_W,junction_to_board_status,in_30_80_K_window,solver_peak_minus_projected_peak_K,solver_mean_minus_projected_mean_K
p1c_b_ss_p1,B_remote_dirichlet,single_layer_single_source,1.0,16.017360573698625,11.466900109356471,16.017360573698625,0.7780481322267603,0.2219518712147108,-3.441471080334324e-09,9.555149459728683e-12,315.91843375904756,315.56043260018225,300.0,0.3580011588653065,15.91843375904756,15.91843375904756,0.46012726467283377,71.72020524958069,defined_at_isothermal_board_exterior,False,0.0016693628147095296,-1.1163357354832772
p1c_b_ss_p4,B_remote_dirichlet,single_layer_single_source,4.0,64.06944294150259,45.86760045608386,16.017360735375647,0.7780481313773798,0.22195186944989856,-8.27278384685215e-10,9.145421915310282e-12,363.67373501667095,362.24173033459437,300.0,0.35800117051914526,15.918433754167737,15.918433754167737,0.46012728015344656,71.72020579786566,defined_at_isothermal_board_exterior,True,0.00472011665408445,-4.660331158719373
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,1.0,16.132012128881854,11.444316098072962,16.132012128881854,0.7789563397569101,0.22104365709462404,3.1484658213898342e-09,9.124593118132294e-12,315.97762396662654,315.5781842852184,300.0,0.3994396814081256,15.977623966626538,15.977623966626538,0.5127882796778819,72.28266206158027,defined_at_isothermal_board_exterior,False,0.0035308078122398,-1.1484691225920027
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,4.0,64.52804983020957,45.77726450893914,16.132012457552392,0.7789563390105468,0.2210436598684655,1.1209876638051952e-09,9.437026951907433e-12,363.91049584695435,362.31273707882974,300.0,0.3994396920311516,15.977623961738587,15.977623961738587,0.5127882938067255,72.28266113240366,defined_at_isothermal_board_exterior,True,0.008001977139997507,-4.488664978768
p1c_c0_ss_p1,C0_bottom_adiabatic,single_layer_single_source,1.0,20.571274132673807,20.076636677644203,20.571274132673807,1.0000000002696137,0.0,-2.696136647273306e-10,5.0209904214335386e-11,320.4609074013605,319.9993319569436,,0.46157544441689424,,20.460907401360487,0.4615754442924472,,not_applicable_no_board_or_bottom_heat_path,False,0.0008800596937703631,-0.11040324533767176
p1c_c0_ss_p4,C0_bottom_adiabatic,single_layer_single_source,4.0,82.28509651531795,80.30654669524135,20.571274128829486,1.0000000000780962,0.0,-7.809619617660246e-11,5.033014330633415e-11,381.84362959008104,379.99732781245336,,0.4615754444069182,,20.46090739752026,0.46157544437087095,,not_applicable_no_board_or_bottom_heat_path,False,0.0017293029721940911,-0.4789391671324239
p1c_c0_dm_p1,C0_bottom_adiabatic,dual_layer_multi_source,1.0,20.73037488655774,20.067062983109533,20.73037488655774,1.0000000002696248,0.0,-2.6962476695757687e-10,5.0158823684594414e-11,320.50938447634553,319.9988971473495,,0.510487328996021,,20.50938447634553,0.510487328858381,,not_applicable_no_board_or_bottom_heat_path,False,0.002608057685563381,-0.13110983462427228
p1c_c0_dm_p4,C0_bottom_adiabatic,dual_layer_multi_source,4.0,82.9214995308414,80.2682519171018,20.73037488271035,1.0000000000780855,0.0,-7.808553803556606e-11,5.0715265993592175e-11,382.0375378900212,379.99558857407516,,0.5104873289865139,,20.509384472505303,0.5104873289466523,,not_applicable_no_board_or_bottom_heat_path,False,0.013472789134937102,-0.48145269636002297
