platform,resolution,batch_size,graph_uncached_build_seconds,graph_cached_load_seconds,compile_seconds,warm_batch_seconds_mean,formal_inference_seconds,samples_per_second,end_to_end_seconds_valid128,process_peak_ram_GB,device_peak_memory_GB
cpu,1024,1,0.825902791984845,0.0020705839851871133,3.926043750019744,0.1595790665014647,25.995102250017226,4.924004482418036,37.22128183400491,1.50396928,N/A
cpu,2048,1,0.7546596250031143,0.0012014160165563226,2.2295203329995275,0.17525965010863728,25.809029790980276,4.959504523673856,68.31532058404991,1.911586816,N/A
cpu,4096,1,0.8119278340018354,0.0011342910001985729,3.4536109999753535,0.20977347500156612,30.32231412496185,4.221313698964295,74.15656170801958,1.7137664,N/A
cpu,8192,1,0.7783759579760954,0.0024941249866969883,2.8265864169807173,0.2418027916981373,34.323572125984356,3.7292155819381847,77.3204699580092,2.083913728,N/A
cpu,16384,1,0.8945441659889184,0.0017041669925674796,3.569135208032094,0.402404633309925,54.501598667004146,2.348554962250907,96.73649849998765,2.162425856,N/A
cpu,32768,1,1.1536822079797275,0.00146416702773422,4.128728875017259,0.8675111874938011,110.0966202080017,1.162615162556072,161.2851499579847,2.959310848,N/A
gpu,1024,1,2.248666111001512,0.0024251639988506213,9.17801019801118,0.3340270327971666,51.86335365200648,2.4680239704292233,69.93848769199394,2.033610752,0.121718528
gpu,2048,1,2.137337938998826,0.0025304959999630228,6.01589893399796,0.32839245699578895,49.11831421000534,2.605952628030678,132.384949135012,2.453487616,0.274594304
gpu,4096,1,2.3895340650051367,0.0021196309971855953,8.977178850007476,0.34393116799910783,51.887588990008226,2.4668712208741943,135.31051188500714,2.619809792,0.427748096
gpu,8192,1,2.595450405991869,0.0021805670112371445,8.202761516004102,0.33466080809594134,51.15145332501561,2.5023726928478416,135.41583491100755,2.669043712,0.709575424
gpu,16384,1,3.03181117400527,0.0024361399991903454,9.703560517998994,0.3363074142995174,52.49135005699645,2.438497006859498,138.53928323400032,2.902757376,1.355186432
gpu,32768,1,2.9381301599933067,0.0027630060067167506,9.848616557996138,0.32942172440234574,51.482524716004264,2.4862805525970817,137.6746188160032,3.276845056,2.479390976
cpu,4096,8,,0.002546834002714604,4.429086624993943,0.7425714710028842,15.454718999972101,8.282259936284255,45.18112537503475,2.345730048,N/A
gpu,4096,8,,0.002486031997250393,9.657493912003702,0.3308700219015009,14.652198058000067,8.735890648851303,51.021893515004194,2.545000448,0.948169216
