attempt_id,family_id,top_h_W_m2K,bottom_h_W_m2K,package_total_power_W,total_source_area_mm2,peak_deltaT_K,mean_deltaT_K,Rth_peak_K_W,top_heat_fraction,bottom_heat_fraction,top_branch_R_ambient_K_W,bottom_branch_R_ambient_K_W,effective_R_junction_to_ambient_K_W,parallel_branch_relative_closure_error,energy_balance_relative_error,linear_residual,in_30_80_K_window,family_role,attempt_retained
x_f02_p0_a3,f02_750_50,750.0,50.0,3.0,64.0,39.33620581631533,35.888477883074906,13.112068605438443,0.9522733926573687,0.0477266075046358,13.625029743820507,271.8557630132258,12.974753299205512,-1.6200449662973903e-10,-1.6200441913897615e-10,6.819180001592141e-11,True,literature_focus,True
x_f02_p1_a0,f02_750_50,750.0,50.0,5.0,16.0,67.3720001899311,59.8141298017637,13.47440003798622,0.9522733926030957,0.047726607501968145,13.91167390149765,277.5750801567198,13.247716902967113,-1.0506393715078347e-10,-1.0506387981834565e-10,6.863532501364555e-11,True,literature_focus,True
x_f02_p1_a1,f02_750_50,750.0,50.0,5.0,32.0,66.2359616666912,59.81412980176337,13.247192333338239,0.9522733926030836,0.047726607501969553,13.741121571868357,274.1721052952381,13.085304457414498,-1.0505307753533865e-10,-1.0505321057507899e-10,6.927231208630302e-11,True,literature_focus,True
x_f02_p1_a2,f02_750_50,750.0,50.0,5.0,48.0,65.93500441060002,59.81412980176604,13.187000882120003,0.9522733926031094,0.04772660750197119,13.673248720433033,272.8178604853721,13.02067094691289,-1.0508069035444326e-10,-1.0508060532821161e-10,6.88690648045556e-11,True,literature_focus,True
x_f02_p1_a3,f02_750_50,750.0,50.0,5.0,64.0,65.56034302357506,59.81412980176697,13.112068604715011,0.9522733926030945,0.047726607501973994,13.62502974383724,271.8557630132273,12.97475329848196,-1.0506854193556261e-10,-1.0506848724389784e-10,6.83704948033641e-11,True,literature_focus,True
x_f03_p0_a0,f03_1000_100,1000.0,100.0,4.0,16.0,40.83619946789992,34.11204098038781,10.20904986697498,0.9434765639021436,0.056523436217438335,10.581187049574389,176.61880925169882,9.983101999538306,-1.1958195334649582e-10,-1.1958196238781582e-10,6.86156000906105e-11,True,literature_focus,True
x_f03_p0_a1,f03_1000_100,1000.0,100.0,4.0,32.0,39.92724826034038,34.112040980388215,9.981812065085094,0.9434765639021345,0.05652343621743218,10.409049505823548,173.74552784554257,9.820694261241613,-1.1956695314846406e-10,-1.1956670376012113e-10,6.847657486473383e-11,True,literature_focus,True
x_f03_p0_a2,f03_1000_100,1000.0,100.0,4.0,48.0,39.686581657308295,34.112040980388606,9.921645414327074,0.9434765639021354,0.05652343621743673,10.340549993242377,172.60214929171184,9.756066576482567,-1.195720700770335e-10,-1.195721438529418e-10,6.837192707866852e-11,True,literature_focus,True
x_f03_p0_a3,f03_1000_100,1000.0,100.0,4.0,64.0,39.38689138049551,34.11204098038881,9.846722845123878,0.943476563902139,0.05652343621744645,10.291887982307424,171.7898938815047,9.710155109613126,-1.1958532261430914e-10,-1.1958541795697997e-10,6.759750263975865e-11,True,literature_focus,True
x_f03_p1_a0,f03_1000_100,1000.0,100.0,7.0,16.0,71.46334906585577,59.6960717130368,10.209049866550824,0.9434765638595476,0.056523436214958256,10.5811870496007,176.61880925191352,9.983101999112412,-7.450569093821165e-11,-7.45057983562804e-11,6.900641425353455e-11,True,literature_focus,True
x_f03_p1_a1,f03_1000_100,1000.0,100.0,7.0,32.0,69.87268445263584,59.696071713037526,9.981812064662263,0.9434765638595591,0.05652343621496053,10.409049505842038,173.74552784560828,9.820694260815888,-7.451977485074372e-11,-7.451962063293699e-11,6.846739255370665e-11,True,literature_focus,True
x_f03_p1_a2,f03_1000_100,1000.0,100.0,7.0,48.0,69.45151789731847,59.69607171303783,9.921645413902638,0.9434765638595515,0.0565234362149604,10.340549993257826,172.60214929174114,9.756066576056801,-7.451179801145414e-11,-7.451187286225799e-11,6.867438413641421e-11,True,literature_focus,True
x_f03_p1_a3,f03_1000_100,1000.0,100.0,7.0,64.0,68.92705991288318,59.69607171304008,9.846722844697597,0.9434765638595578,0.05652343621495733,10.291887982320825,171.78989388154025,9.710155109187529,-7.451505821644995e-11,-7.45151559503451e-11,6.83651695164633e-11,True,literature_focus,True
x_f04_p0_a0,f04_1500_200,1500.0,200.0,6.0,16.0,42.48913932764589,32.69017220342172,7.081523221274314,0.9459596145768806,0.05404038550461702,7.246994481961846,126.85631390271467,6.855364106997409,-8.149766980928343e-11,-8.149758645714655e-11,6.853848847016475e-11,True,literature_focus,True
x_f04_p0_a1,f04_1500_200,1500.0,200.0,6.0,32.0,41.125717162390686,32.69017220342083,6.854286193731781,0.9459596145768717,0.054040385504613535,7.075318253207184,123.85117658424515,6.692965327812573,-8.148511909457443e-11,-8.148521672228053e-11,6.761418185967418e-11,True,literature_focus,True
x_f04_p0_a2,f04_1500_200,1500.0,200.0,6.0,48.0,40.76460419270222,32.690172203420595,6.794100698783704,0.945959614576885,0.054040385504614485,7.007010227289756,122.65546650064732,6.628348693943309,-8.149934878453017e-11,-8.149949234000549e-11,6.79425223261891e-11,True,literature_focus,True
x_f04_p0_a3,f04_1500_200,1500.0,200.0,6.0,64.0,40.31517833146171,32.6901722034228,6.719196388576951,0.9459596145768897,0.0540403855046098,6.958488385816098,121.80610722924725,6.58244899148436,-8.149958649436621e-11,-8.149954785115672e-11,6.741539451912686e-11,True,literature_focus,True
x_f04_p1_a0,f04_1500_200,1500.0,200.0,10.0,16.0,70.81523221095284,54.48362033751473,7.081523221095284,0.9459596145497169,0.05404038550311865,7.246994481978488,126.85631390288057,6.855364106816296,-5.2835582109977996e-11,-5.2835580355292675e-11,6.929209929580293e-11,True,literature_focus,True
x_f04_p1_a1,f04_1500_200,1500.0,200.0,10.0,32.0,68.54286193552628,54.48362033751421,6.854286193552627,0.9459596145497058,0.054040385503121104,7.0753182532188985,123.85117658431386,6.6929653276314465,-5.282691789688508e-11,-5.282684290008888e-11,6.870708186074994e-11,True,literature_focus,True
x_f04_p1_a2,f04_1500_200,1500.0,200.0,10.0,48.0,67.94100698602881,54.48362033751506,6.794100698602881,0.9459596145497045,0.05404038550312566,7.007010227299635,122.65546650067513,6.6283486937622005,-5.2830302209751684e-11,-5.2830162466932505e-11,6.863584714882994e-11,True,literature_focus,True
x_f04_p1_a3,f04_1500_200,1500.0,200.0,10.0,64.0,67.19196388394158,54.48362033751603,6.719196388394158,0.9459596145496988,0.05404038550313437,6.958488385824718,121.8061072292225,6.582448991303306,-5.2833161299628156e-11,-5.283318227355949e-11,6.778771792736577e-11,True,literature_focus,True
x_f05_p0_a0,f05_2000_20,2000.0,20.0,8.0,16.0,45.96285375309304,39.818238840861206,5.74535671913663,0.9908609632822585,0.009139036778863838,5.566267408505197,603.4987296510006,5.515397086278099,-6.112224432696136e-11,-6.112231554222802e-11,6.879515166854436e-11,True,literature_focus,True
x_f05_p0_a1,f05_2000_20,2000.0,20.0,8.0,32.0,44.1459457063977,39.818238840855614,5.518243213299712,0.9908609632822676,0.009139036778859723,5.402376633425908,585.729573535856,5.353004115010009,-6.112746804005599e-11,-6.112730460694493e-11,6.839812699294535e-11,True,literature_focus,True
x_f05_p0_a2,f05_2000_20,2000.0,20.0,8.0,48.0,43.66299012026832,39.81823884083314,5.45787376503354,0.9908609632822765,0.009139036778843677,5.33717103121314,578.6599350855475,5.288394429190113,-6.112018896888699e-11,-6.112014019898915e-11,6.828268201194862e-11,True,literature_focus,True
x_f05_p0_a3,f05_2000_20,2000.0,20.0,8.0,64.0,43.06383430575596,39.818238840818566,5.382979288219495,0.9908609632822495,0.009139036778833189,5.2908556809923,573.6383913890672,5.242502356655393,-6.10827597564e-11,-6.1082673641355e-11,6.757011168765738e-11,True,literature_focus,True
x_f05_p1_a0,f05_2000_20,2000.0,20.0,13.0,16.0,74.68963734746444,64.70463811509282,5.745356719035726,0.9908609632619106,0.009139036778673313,5.566267408516535,603.4987296524182,5.5153970861760735,-4.058401335001184e-11,-4.0583931514549275e-11,6.91171797639828e-11,True,literature_focus,True
x_f05_p1_a1,f05_2000_20,2000.0,20.0,13.0,32.0,71.73716177157024,64.70463811508714,5.518243213197711,0.990860963261908,0.00913903677867082,5.402376633433948,585.7295735367995,5.353004114907986,-4.0578921089533733e-11,-4.057884156899023e-11,6.848520004774066e-11,True,literature_focus,True
x_f05_p1_a2,f05_2000_20,2000.0,20.0,13.0,48.0,70.95235894410251,64.7046381150645,5.457873764930962,0.9908609632619041,0.009139036778661264,5.337171031219956,578.659935085939,5.288394429088135,-4.0565296197250575e-11,-4.0565322468621136e-11,6.846896119676295e-11,True,literature_focus,True
x_f05_p1_a3,f05_2000_20,2000.0,20.0,13.0,64.0,69.97873074549193,64.70463811506298,5.382979288114764,0.9908609632619011,0.00913903677866079,5.2908556809980585,573.6383913887324,5.242502356553438,-4.0561908498132504e-11,-4.056184234644779e-11,6.82361667716868e-11,True,literature_focus,True
x_f06_p0_a0,f06_2500_100,2500.0,100.0,10.0,16.0,46.88418550575233,36.28178167403421,4.688418550575233,0.9756947822319246,0.02430521781678362,4.5708205689270285,183.4884103174282,4.459725779620459,-4.870822995718477e-11,-4.870820413671595e-11,5.823345156135815e-11,True,literature_focus,True
x_f06_p0_a1,f06_2500_100,2500.0,100.0,10.0,32.0,44.61252430860185,36.281781674032096,4.461252430860185,0.9756947822319308,0.02430521781678685,4.404391611589382,176.8073813091198,4.2973419143338445,-4.8717577561814465e-11,-4.8717652134655507e-11,5.858950172036313e-11,True,literature_focus,True
x_f06_p0_a2,f06_2500_100,2500.0,100.0,10.0,48.0,44.00924589693409,36.281781674030995,4.400924589693409,0.9756947822319365,0.024305217816784325,4.338183993600137,174.1495805067328,4.232743486917758,-4.872078716649625e-11,-4.8720810719160566e-11,5.800215411659499e-11,True,literature_focus,True
x_f06_p0_a3,f06_2500_100,2500.0,100.0,10.0,64.0,43.26048783112827,36.281781674033965,4.326048783112827,0.9756947822319179,0.02430521781677305,4.291160966766152,172.26191497455534,4.186863364991007,-4.8690821396644314e-11,-4.8690884657531797e-11,5.792891964331308e-11,True,literature_focus,True
x_f06_p1_a0,f06_2500_100,2500.0,100.0,16.0,16.0,75.01469680821515,58.05085067756342,4.688418550513447,0.9756947822162988,0.024305217816410967,4.570820568936,183.48841031766304,4.45972577955779,-3.2709878453843484e-11,-3.270976198233022e-11,5.674988760051215e-11,True,literature_focus,True
x_f06_p1_a1,f06_2500_100,2500.0,100.0,16.0,32.0,71.38003889274842,58.050850677561975,4.461252430796776,0.9756947822162931,0.02430521781640821,4.404391611595807,176.80738130929842,4.2973419142712395,-3.27012559267593e-11,-3.270134163457783e-11,5.7959668218718524e-11,True,literature_focus,True
x_f06_p1_a2,f06_2500_100,2500.0,100.0,16.0,48.0,70.41479343408457,58.05085067756105,4.400924589630286,0.9756947822163016,0.0243052178164108,4.338183993605511,174.1495805068342,4.232743486855174,-3.271246257836563e-11,-3.271237100643809e-11,5.788382609115773e-11,True,literature_focus,True
x_f06_p1_a3,f06_2500_100,2500.0,100.0,16.0,64.0,69.2167805287441,58.0508506775598,4.326048783046506,0.9756947822163087,0.024305217816415516,4.291160966770653,172.26191497451418,4.186863364928417,-3.272408943388185e-11,-3.2724191412203396e-11,5.827559886214338e-11,True,literature_focus,True
x_f07_p0_a0,f07_2500_200,2500.0,200.0,10.0,16.0,46.46305020111248,33.998180462453156,4.646305020111248,0.9660271182736396,0.033972881775014244,4.573819635002997,130.05766866545085,4.418433801505335,-4.865385025176982e-11,-4.8653892026351285e-11,5.7957487741934335e-11,True,literature_focus,True
x_f07_p0_a1,f07_2500_200,2500.0,200.0,10.0,32.0,44.19111499055248,33.998180462451565,4.419111499055248,0.9660271182736491,0.033972881775001,4.405726097544666,125.27788823160436,4.2560508859140835,-4.865014254324196e-11,-4.865006175691633e-11,5.808673005000838e-11,True,literature_focus,True
x_f07_p0_a2,f07_2500_200,2500.0,200.0,10.0,48.0,43.588232667238,33.99818046244934,4.3588232667238005,0.9660271182736316,0.033972881774991984,4.338857173428285,123.3764541850907,4.1914536918478005,-4.862351144129749e-11,-4.862363844893025e-11,5.794696770178869e-11,True,literature_focus,True
x_f07_p0_a3,f07_2500_200,2500.0,200.0,10.0,64.0,42.839500268975996,33.99818046244932,4.2839500268976,0.9660271182736189,0.03397288177500967,4.291364845816968,122.02599835127168,4.145574815465278,-4.862857808788343e-11,-4.862854008358397e-11,5.738379096895938e-11,True,literature_focus,True
x_f07_p1_a0,f07_2500_200,2500.0,200.0,16.0,16.0,74.34088032080518,54.39708873908894,4.646305020050324,0.9660271182581626,0.03397288177449513,4.573819635012098,130.05766866561325,4.418433801443339,-3.2657755459096216e-11,-3.265769599192225e-11,5.662536102787487e-11,True,literature_focus,True
x_f07_p1_a1,f07_2500_200,2500.0,200.0,16.0,32.0,70.70578398387966,54.39708873908642,4.4191114989924785,0.9660271182581508,0.033972881774490024,4.405726097551168,125.27788823166362,4.256050885852083,-3.2640792727717496e-11,-3.264082060194795e-11,5.7657922870597843e-11,True,literature_focus,True
x_f07_p1_a2,f07_2500_200,2500.0,200.0,16.0,48.0,69.74117226656216,54.397088739085106,4.358823266660135,0.9660271182581568,0.033972881774487255,4.338857173433626,123.37645418509916,4.191453691785817,-3.2643963639580984e-11,-3.264404718761327e-11,5.841408047211703e-11,True,literature_focus,True
x_f07_p1_a3,f07_2500_200,2500.0,200.0,16.0,64.0,68.54320042934427,54.39708873908891,4.283950026834017,0.9660271182581658,0.03397288177448629,4.29136484582152,122.02599835132905,4.145574815403361,-3.2651938928857006e-11,-3.265207548786009e-11,5.769637659747113e-11,True,literature_focus,True
