sample_id,group_id,split_role,design_block,top_h_W_m2K,bottom_h_W_m2K,package_total_power_W,source_count,total_source_area_mm2,layout_kind,alignment_relation,peak_deltaT_K,mean_deltaT_K,Rth_peak_K_W,top_heat_flux_W,bottom_heat_flux_W,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,junction_temperature_K,top_surface_mean_temperature_K,bottom_surface_mean_temperature_K,top_branch_R_ambient_K_W,bottom_branch_R_ambient_K_W,top_internal_R_junction_to_surface_K_W,bottom_internal_R_junction_to_surface_K_W,top_film_R_surface_to_ambient_K_W,bottom_film_R_surface_to_ambient_K_W,effective_R_junction_to_ambient_K_W,parallel_branch_R_effective_K_W,parallel_branch_relative_closure_error,in_30_80_K_window,solver_peak_minus_projected_peak_K,projected_field_cv_rms_deltaT_K,minimum_source_control_volume_count,minimum_source_in_plane_interval_count,all_layers_covered_by_1024_points,all_interfaces_covered_by_1024_points
p1e_g00_t0_b0_p0,p1e_g00,train,complete_factorial,500.0,1.0,2.0,3,16.656663618624556,distributed,partly_aligned,44.10976943269759,40.24541651398739,22.054884716348795,1.9959827370402752,0.0040172634384697875,0.9979913685201376,0.0020086317192348937,-2.3937248320657356e-10,7.087336267396489e-11,342.547124496501,339.91996460502014,340.1726196089331,21.31637899814285,10591.0715461338,1.3162237542076731,591.0752242009784,20.000155243935176,9999.996321932822,21.2735622482505,21.273562243158196,-2.393723913450157e-10,True,0.029722735406551237,40.78338512024153,702,12,True,True
p1e_g00_t0_b0_p1,p1e_g00,train,complete_factorial,500.0,1.0,6.0,3,16.656663618624556,distributed,partly_aligned,132.32930828137518,120.73624952532718,22.05488471356253,5.987948210286293,0.012051790313759404,0.9979913683810487,0.0020086317189599006,-1.0000867553076424e-10,7.129111614674267e-11,427.64137347281684,419.7598937983704,420.5178588102996,21.31637899832706,10591.07154619924,1.3162237543917592,591.0752242664248,20.0001552439353,9999.996321932816,21.273562245469474,21.27356224334193,-1.0000876026311824e-10,False,0.08916820621521993,122.35015534408409,702,12,True,True
p1e_g00_t0_b0_p2,p1e_g00,train,complete_factorial,500.0,1.0,10.0,3,16.656663618624556,distributed,partly_aligned,220.54884713005413,201.2270825366552,22.054884713005414,9.979913683532196,0.020086317189046077,0.9979913683532196,0.0020086317189046076,-7.212420660707153e-11,7.217127198245513e-11,512.7356224491302,499.5998229917184,500.8630980116367,21.316378998363902,10591.07154621376,1.3162237544285742,591.0752242809422,20.00015524393533,9999.996321932816,21.273562244913023,21.273562243378684,-7.212421034657216e-11,False,0.14861367702508232,203.91692556791716,702,12,True,True
p1e_g00_t0_b0_p3,p1e_g00,train,complete_factorial,500.0,1.0,14.0,3,16.656663618624556,distributed,partly_aligned,308.7683859787303,281.717915547976,22.054884712766448,13.971879156777998,0.02812084406433104,0.9979913683412855,0.0020086317188807885,-6.016636544140371e-11,1.3001650123885623e-10,597.8298714254416,579.4397521850643,581.2083372129567,21.316378998379705,10591.071546220554,1.3162237544443658,591.0752242877354,20.00015524393534,9999.996321932818,21.2735622446744,21.273562243394448,-6.016641246579531e-11,False,0.2080591478339784,285.4836957917444,702,12,True,True
p1e_g00_t0_b1_p0,p1e_g00,train,complete_factorial,500.0,20.0,2.0,3,16.656663618624556,distributed,partly_aligned,42.79670200077618,37.68991969365397,21.39835100038809,1.9314842316877678,0.06851576878900675,0.9657421158438839,0.03425788439450338,-2.3838729601433073e-10,7.039893529785547e-11,341.2395325973165,338.62999449771087,334.25786950229616,21.351213704333794,601.8984144265096,1.3510532764356895,101.89863178095922,20.000160427898106,499.99978264555034,20.61976629865825,20.61976629374276,-2.383872052434661e-10,True,0.029696495010227864,38.58221450588798,702,12,True,True
p1e_g00_t0_b1_p1,p1e_g00,train,complete_factorial,500.0,20.0,6.0,3,16.656663618624556,distributed,partly_aligned,128.39010598615346,113.069759065353,21.398350997692244,5.794452694255318,0.20554730633874282,0.9657421157092196,0.03425788438979047,-9.901011029563496e-11,7.17664471713905e-11,423.71859777580147,415.8899834769734,402.7736084927498,21.351213704524227,601.8984144307525,1.3510532766260146,101.89863178520191,20.000160427898212,499.99978264555057,20.61976629596691,20.619766293925345,-9.901018693514604e-11,False,0.08908948502948988,115.74664350191458,702,12,True,True
p1e_g00_t0_b1_p2,p1e_g00,train,complete_factorial,500.0,20.0,10.0,3,16.656663618624556,distributed,partly_aligned,213.9835099715308,188.44959843705047,21.39835099715308,9.657421156822725,0.34257884388848225,0.9657421156822725,0.03425788438884823,-7.112070932180359e-11,7.208224216934801e-11,506.19766295428343,493.1499724562332,471.2893474832051,21.351213704562316,601.8984144315864,1.3510532766640702,101.89863178603585,20.000160427898248,499.99978264555057,20.61976629542834,20.61976629396185,-7.112072387426084e-11,False,0.14848247505062773,192.9110724979391,702,12,True,True
p1e_g00_t0_b1_p3,p1e_g00,train,complete_factorial,500.0,20.0,14.0,3,16.656663618624556,distributed,partly_aligned,299.5769139569087,263.8294378087496,21.39835099692205,13.520389619390208,0.47961038143822526,0.9657421156707292,0.03425788438844466,-5.917382060540076e-11,1.2898922929413589e-10,588.6767281327669,570.4099614354944,539.8050864736622,21.351213704578633,601.8984144319425,1.3510532766803764,101.89863178639202,20.00016042789826,499.99978264555045,20.61976629519764,20.619766293977488,-5.917385647376497e-11,False,0.20787546506846866,270.07550149396525,702,12,True,True
p1e_g00_t0_b2_p0,p1e_g00,train,complete_factorial,500.0,80.0,2.0,3,16.656663618624556,distributed,partly_aligned,40.382832153998265,32.992263595634256,20.191416076999133,1.8129194991588473,0.18708050131401088,0.9064597495794237,0.09354025065700544,-2.364290985212847e-10,7.061092119530242e-11,338.83577233582497,336.25869984647926,323.38504776874566,21.42167501306256,207.58856248006254,1.4215040935581595,82.58864210089737,20.0001709195044,124.99992037916516,19.417886167912485,19.417886163321533,-2.3642901081850097e-10,True,0.029646062234462534,34.727077621989764,702,12,True,True
p1e_g00_t0_b2_p1,p1e_g00,train,complete_factorial,500.0,80.0,6.0,3,16.656663618624556,distributed,partly_aligned,121.14849644680925,98.9767907732755,20.191416074468208,5.438758496717428,0.5612415038657207,0.9064597494529046,0.09354025064428678,-9.719145858492577e-11,7.14573987334769e-11,416.50731699231795,408.77609952425604,370.15514329669764,21.421675013265645,207.58856248128222,1.4215040937611227,82.58864210211769,20.000170919504523,124.99992037916452,19.417886165386324,19.417886163499073,-9.719138469018735e-11,False,0.08893818669548637,104.18123285184141,702,12,True,True
